P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[543, 618, 423, 471, 720, 720, 702, 696, 669, 531]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[543, 618, 423, 471, 720, 720, 702, 696, 669, 531]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",609.3,3.0,609.3,3.0
"First by Grofman,Random: 0.5","[0, 10, 0]","[339, 456, 540, 512, 325, 547, 383, 472, 460, 556]","[2.1731, 2.1111, 2.126, 2.1695, 2.1959, 2.1284, 2.1397, 2.1071, 2.1005, 2.1385]","[389, 566, 665, 612, 370, 672, 458, 587, 575, 681]","[2.4936, 2.6204, 2.6181, 2.5932, 2.5, 2.6148, 2.5587, 2.6205, 2.6256, 2.6192]",459.0,2.13898,557.5,2.58641
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[748, 604, 541, 433, 754, 598, 547, 589, 772, 574]","[2.9801, 2.9754, 2.9725, 2.9658, 2.9802, 2.9751, 2.9728, 2.9747, 2.9807, 2.9741]","[753, 609, 546, 438, 759, 603, 552, 594, 777, 579]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",616.0,2.97514,621.0,3.0
"First by Shubik,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[730, 730, 541, 541, 724, 475, 700, 544, 415, 679]","[2.9796, 2.9796, 2.9725, 2.9725, 2.9794, 2.9688, 2.9787, 2.9727, 2.9643, 2.9781]","[735, 735, 546, 546, 729, 480, 705, 549, 420, 684]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",607.9,2.97462,612.9,3.0
"Tit For Tat,First by Nydegger","[0, 0, 10]","[453, 708, 447, 570, 621, 657, 519, 606, 510, 780]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[453, 708, 447, 570, 621, 657, 519, 606, 510, 780]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",587.1,3.0,587.1,3.0
"First by Shubik,First by Graaskamp: 0.05","[10, 0, 0]","[685, 580, 736, 476, 764, 625, 511, 635, 783, 759]","[3.5309, 3.5152, 3.5048, 3.4, 3.1833, 3.4916, 3.4762, 3.5083, 3.0115, 3.2436]","[375, 325, 386, 306, 424, 360, 306, 360, 448, 414]","[1.933, 1.9697, 1.8381, 2.1857, 1.7667, 2.0112, 2.0816, 1.989, 1.7231, 1.7692]",655.4,3.38654,370.4,1.92673
"Tit For Tat,First by Grofman","[0, 0, 10]","[657, 627, 714, 714, 633, 639, 474, 495, 621, 735]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[657, 627, 714, 714, 633, 639, 474, 495, 621, 735]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",630.9,3.0,630.9,3.0
"First by Stein and Rapoport: 0.05: (D, D),Grudger","[10, 0, 0]","[717, 480, 615, 501, 582, 426, 537, 438, 603, 702]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[712, 475, 610, 496, 577, 421, 532, 433, 598, 697]","[2.9791, 2.9688, 2.9756, 2.9701, 2.9742, 2.9648, 2.9721, 2.9658, 2.9751, 2.9786]",560.1,3.0,555.1,2.97242
"Tit For Tat,First by Shubik","[0, 0, 10]","[573, 633, 573, 741, 618, 558, 687, 675, 426, 438]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[573, 633, 573, 741, 618, 558, 687, 675, 426, 438]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",592.2,3.0,592.2,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Graaskamp: 0.05","[6, 0, 4]","[456, 631, 661, 581, 511, 486, 516, 511, 651, 636]","[2.6512, 2.5967, 2.5922, 2.6171, 2.6205, 2.6413, 2.6327, 2.6205, 2.604, 2.6066]","[451, 631, 661, 576, 511, 481, 511, 511, 646, 631]","[2.6221, 2.5967, 2.5922, 2.5946, 2.6205, 2.6141, 2.6071, 2.6205, 2.584, 2.5861]",564.0,2.61828,561.0,2.60379
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[535, 502, 475, 766, 718, 670, 586, 502, 748, 514]","[2.9722, 2.9704, 2.9688, 2.9805, 2.9793, 2.9778, 2.9746, 2.9704, 2.9801, 2.9711]","[540, 507, 480, 771, 723, 675, 591, 507, 753, 519]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",601.6,2.97452,606.6,3.0
"Grudger,First by Downing","[10, 0, 0]","[176, 230, 231, 238, 235, 214, 155, 230, 174, 204]","[1.0667, 1.0502, 1.05, 1.0485, 1.0491, 1.0542, 1.0764, 1.0502, 1.0675, 1.057]","[166, 220, 221, 228, 225, 204, 145, 220, 164, 194]","[1.0061, 1.0046, 1.0045, 1.0044, 1.0045, 1.0049, 1.0069, 1.0046, 1.0061, 1.0052]",208.7,1.05698,198.7,1.00518
"Tit For Tat,Grudger","[0, 0, 10]","[573, 477, 537, 504, 675, 735, 633, 615, 576, 630]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[573, 477, 537, 504, 675, 735, 633, 615, 576, 630]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",595.5,3.0,595.5,3.0
"Grudger,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[200, 272, 265, 209, 198, 242, 216, 223, 242, 280]","[1.3423, 1.2308, 1.2383, 1.3228, 1.3469, 1.267, 1.3091, 1.2965, 1.267, 1.2227]","[200, 272, 265, 209, 198, 242, 216, 223, 242, 280]","[1.3423, 1.2308, 1.2383, 1.3228, 1.3469, 1.267, 1.3091, 1.2965, 1.267, 1.2227]",234.7,1.28434,234.7,1.28434
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[609, 504, 573, 450, 636, 582, 774, 750, 450, 696]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[609, 504, 573, 450, 636, 582, 774, 750, 450, 696]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",602.4,3.0,602.4,3.0
