Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
0,Tit For Tat,Tit For Tat,756,0,3.0,"[0, 0, 1]"
0,Tit For Tat,Tit For Tat,756,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,510,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,510,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,525,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,525,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,435,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,435,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,621,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,621,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,642,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,642,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,534,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,534,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,780,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,780,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,768,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,768,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,738,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,738,0,3.0,"[0, 0, 1]"
10,First by Grofman,First by Downing,78,-480,0.4561403508771929,"[0, 1, 0]"
10,First by Downing,First by Grofman,558,480,3.263157894736842,"[0, 1, 0]"
11,First by Grofman,First by Downing,105,-670,0.4449152542372881,"[0, 1, 0]"
11,First by Downing,First by Grofman,775,670,3.2838983050847457,"[0, 1, 0]"
12,First by Grofman,First by Downing,76,-475,0.4523809523809524,"[0, 1, 0]"
12,First by Downing,First by Grofman,551,475,3.2797619047619047,"[0, 1, 0]"
13,First by Grofman,First by Downing,83,-510,0.456043956043956,"[0, 1, 0]"
13,First by Downing,First by Grofman,593,510,3.258241758241758,"[0, 1, 0]"
14,First by Grofman,First by Downing,81,-500,0.4550561797752809,"[0, 1, 0]"
14,First by Downing,First by Grofman,581,500,3.264044943820225,"[0, 1, 0]"
15,First by Grofman,First by Downing,100,-635,0.4464285714285714,"[0, 1, 0]"
15,First by Downing,First by Grofman,735,635,3.28125,"[0, 1, 0]"
16,First by Grofman,First by Downing,85,-525,0.4545454545454545,"[0, 1, 0]"
16,First by Downing,First by Grofman,610,525,3.262032085561497,"[0, 1, 0]"
17,First by Grofman,First by Downing,80,-495,0.4545454545454545,"[0, 1, 0]"
17,First by Downing,First by Grofman,575,495,3.2670454545454546,"[0, 1, 0]"
18,First by Grofman,First by Downing,108,-690,0.4444444444444444,"[0, 1, 0]"
18,First by Downing,First by Grofman,798,690,3.2839506172839505,"[0, 1, 0]"
19,First by Grofman,First by Downing,104,-660,0.4463519313304721,"[0, 1, 0]"
19,First by Downing,First by Grofman,764,660,3.278969957081545,"[0, 1, 0]"
20,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",742,-5,2.97991967871486,"[0, 1, 0]"
20,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,747,5,3.0,"[0, 1, 0]"
21,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",481,-5,2.969135802469136,"[0, 1, 0]"
21,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,486,5,3.0,"[0, 1, 0]"
22,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",724,-5,2.9794238683127574,"[0, 1, 0]"
22,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,729,5,3.0,"[0, 1, 0]"
23,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",649,-5,2.977064220183486,"[0, 1, 0]"
23,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,654,5,3.0,"[0, 1, 0]"
24,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",625,-5,2.9761904761904763,"[0, 1, 0]"
24,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,630,5,3.0,"[0, 1, 0]"
25,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",526,-5,2.9717514124293785,"[0, 1, 0]"
25,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,531,5,3.0,"[0, 1, 0]"
26,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",547,-5,2.972826086956522,"[0, 1, 0]"
26,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,552,5,3.0,"[0, 1, 0]"
27,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",580,-5,2.9743589743589745,"[0, 1, 0]"
27,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,585,5,3.0,"[0, 1, 0]"
28,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",733,-5,2.9796747967479678,"[0, 1, 0]"
28,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,738,5,3.0,"[0, 1, 0]"
29,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",529,-5,2.9719101123595504,"[0, 1, 0]"
29,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,534,5,3.0,"[0, 1, 0]"
30,First by Grofman,First by Joss: 0.9,514,-65,2.436018957345972,"[0, 1, 0]"
30,First by Joss: 0.9,First by Grofman,579,65,2.744075829383886,"[0, 1, 0]"
31,First by Grofman,First by Joss: 0.9,582,-80,2.3852459016393444,"[0, 1, 0]"
31,First by Joss: 0.9,First by Grofman,662,80,2.7131147540983607,"[0, 1, 0]"
32,First by Grofman,First by Joss: 0.9,514,-65,2.436018957345972,"[0, 1, 0]"
32,First by Joss: 0.9,First by Grofman,579,65,2.744075829383886,"[0, 1, 0]"
33,First by Grofman,First by Joss: 0.9,606,-80,2.3671875,"[0, 1, 0]"
33,First by Joss: 0.9,First by Grofman,686,80,2.6796875,"[0, 1, 0]"
34,First by Grofman,First by Joss: 0.9,417,-50,2.43859649122807,"[0, 1, 0]"
34,First by Joss: 0.9,First by Grofman,467,50,2.7309941520467835,"[0, 1, 0]"
35,First by Grofman,First by Joss: 0.9,327,-50,2.3191489361702127,"[0, 1, 0]"
35,First by Joss: 0.9,First by Grofman,377,50,2.673758865248227,"[0, 1, 0]"
36,First by Grofman,First by Joss: 0.9,465,-55,2.4473684210526314,"[0, 1, 0]"
36,First by Joss: 0.9,First by Grofman,520,55,2.736842105263158,"[0, 1, 0]"
37,First by Grofman,First by Joss: 0.9,576,-80,2.3900414937759336,"[0, 1, 0]"
37,First by Joss: 0.9,First by Grofman,656,80,2.7219917012448134,"[0, 1, 0]"
38,First by Grofman,First by Joss: 0.9,559,-85,2.388888888888889,"[0, 1, 0]"
38,First by Joss: 0.9,First by Grofman,644,85,2.752136752136752,"[0, 1, 0]"
39,First by Grofman,First by Joss: 0.9,514,-70,2.4245283018867925,"[0, 1, 0]"
39,First by Joss: 0.9,First by Grofman,584,70,2.7547169811320757,"[0, 1, 0]"
40,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
40,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
41,Tit For Tat,First by Nydegger,591,0,3.0,"[0, 0, 1]"
41,First by Nydegger,Tit For Tat,591,0,3.0,"[0, 0, 1]"
42,Tit For Tat,First by Nydegger,702,0,3.0,"[0, 0, 1]"
42,First by Nydegger,Tit For Tat,702,0,3.0,"[0, 0, 1]"
43,Tit For Tat,First by Nydegger,585,0,3.0,"[0, 0, 1]"
43,First by Nydegger,Tit For Tat,585,0,3.0,"[0, 0, 1]"
44,Tit For Tat,First by Nydegger,732,0,3.0,"[0, 0, 1]"
44,First by Nydegger,Tit For Tat,732,0,3.0,"[0, 0, 1]"
45,Tit For Tat,First by Nydegger,618,0,3.0,"[0, 0, 1]"
45,First by Nydegger,Tit For Tat,618,0,3.0,"[0, 0, 1]"
46,Tit For Tat,First by Nydegger,618,0,3.0,"[0, 0, 1]"
46,First by Nydegger,Tit For Tat,618,0,3.0,"[0, 0, 1]"
47,Tit For Tat,First by Nydegger,420,0,3.0,"[0, 0, 1]"
47,First by Nydegger,Tit For Tat,420,0,3.0,"[0, 0, 1]"
48,Tit For Tat,First by Nydegger,468,0,3.0,"[0, 0, 1]"
48,First by Nydegger,Tit For Tat,468,0,3.0,"[0, 0, 1]"
49,Tit For Tat,First by Nydegger,612,0,3.0,"[0, 0, 1]"
49,First by Nydegger,Tit For Tat,612,0,3.0,"[0, 0, 1]"
50,First by Grofman,First by Anonymous,346,-110,2.0595238095238093,"[0, 1, 0]"
50,First by Anonymous,First by Grofman,456,110,2.7142857142857144,"[0, 1, 0]"
51,First by Grofman,First by Anonymous,385,-120,2.047872340425532,"[0, 1, 0]"
51,First by Anonymous,First by Grofman,505,120,2.686170212765957,"[0, 1, 0]"
52,First by Grofman,First by Anonymous,303,-105,2.033557046979866,"[0, 1, 0]"
52,First by Anonymous,First by Grofman,408,105,2.738255033557047,"[0, 1, 0]"
53,First by Grofman,First by Anonymous,441,-160,1.9775784753363228,"[0, 1, 0]"
