P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[756, 510, 525, 435, 621, 642, 534, 780, 768, 738]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[756, 510, 525, 435, 621, 642, 534, 780, 768, 738]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",630.9,3.0,630.9,3.0
"First by Grofman,First by Downing","[0, 10, 0]","[78, 105, 76, 83, 81, 100, 85, 80, 108, 104]","[0.4561, 0.4449, 0.4524, 0.456, 0.4551, 0.4464, 0.4545, 0.4545, 0.4444, 0.4464]","[558, 775, 551, 593, 581, 735, 610, 575, 798, 764]","[3.2632, 3.2839, 3.2798, 3.2582, 3.264, 3.2812, 3.262, 3.267, 3.284, 3.279]",90.0,0.45107,654.0,3.27223
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[742, 481, 724, 649, 625, 526, 547, 580, 733, 529]","[2.9799, 2.9691, 2.9794, 2.9771, 2.9762, 2.9718, 2.9728, 2.9744, 2.9797, 2.9719]","[747, 486, 729, 654, 630, 531, 552, 585, 738, 534]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",613.6,2.97523,618.6,3.0
"First by Grofman,First by Joss: 0.9","[0, 10, 0]","[514, 582, 514, 606, 417, 327, 465, 576, 559, 514]","[2.436, 2.3852, 2.436, 2.3672, 2.4386, 2.3191, 2.4474, 2.39, 2.3889, 2.4245]","[579, 662, 579, 686, 467, 377, 520, 656, 644, 584]","[2.7441, 2.7131, 2.7441, 2.6797, 2.731, 2.6738, 2.7368, 2.722, 2.7521, 2.7547]",507.4,2.40329,575.4,2.72514
"Tit For Tat,First by Nydegger","[0, 0, 10]","[600, 591, 702, 585, 732, 618, 618, 420, 468, 612]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 591, 702, 585, 732, 618, 618, 420, 468, 612]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",594.6,3.0,594.6,3.0
"First by Grofman,First by Anonymous","[0, 10, 0]","[346, 385, 303, 441, 462, 349, 461, 359, 415, 442]","[2.0595, 2.0479, 2.0336, 1.9776, 1.9331, 2.0651, 1.9617, 2.0282, 2.0146, 1.9732]","[456, 505, 408, 601, 647, 459, 631, 484, 550, 602]","[2.7143, 2.6862, 2.7383, 2.6951, 2.7071, 2.716, 2.6851, 2.7345, 2.6699, 2.6875]",396.3,2.00945,534.3,2.7034000000000002
"Tit For Tat,First by Grofman","[0, 0, 10]","[699, 699, 495, 750, 501, 663, 492, 522, 444, 744]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[699, 699, 495, 750, 501, 663, 492, 522, 444, 744]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600.9,3.0,600.9,3.0
"First by Shubik,First by Shubik","[0, 0, 10]","[465, 576, 474, 627, 564, 684, 669, 438, 759, 642]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[465, 576, 474, 627, 564, 684, 669, 438, 759, 642]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",589.8,3.0,589.8,3.0
"Tit For Tat,First by Shubik","[0, 0, 10]","[591, 450, 687, 669, 501, 711, 441, 546, 642, 708]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[591, 450, 687, 669, 501, 711, 441, 546, 642, 708]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",594.6,3.0,594.6,3.0
"First by Shubik,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[673, 499, 733, 739, 421, 661, 703, 526, 454, 691]","[2.9779, 2.9702, 2.9797, 2.9798, 2.9648, 2.9775, 2.9788, 2.9718, 2.9673, 2.9784]","[678, 504, 738, 744, 426, 666, 708, 531, 459, 696]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",610.0,2.97462,615.0,3.0
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[586, 484, 457, 736, 427, 706, 658, 514, 739, 529]","[2.9746, 2.9693, 2.9675, 2.9798, 2.9653, 2.9789, 2.9774, 2.9711, 2.9798, 2.9719]","[591, 489, 462, 741, 432, 711, 663, 519, 744, 534]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",583.6,2.97356,588.6,3.0
