P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Shubik,First by Downing","[0, 10, 0]","[247, 312, 307, 231, 195, 279, 252, 286, 204, 282]","[1.3069, 1.2332, 1.2379, 1.343, 1.3448, 1.2511, 1.299, 1.2435, 1.3247, 1.2478]","[257, 332, 327, 236, 205, 299, 262, 306, 214, 302]","[1.3598, 1.3123, 1.3185, 1.3721, 1.4138, 1.3408, 1.3505, 1.3304, 1.3896, 1.3363]",259.5,1.28319,274.0,1.35241
"Tit For Tat,Grudger","[0, 0, 10]","[609, 777, 468, 537, 681, 771, 519, 588, 552, 528]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[609, 777, 468, 537, 681, 771, 519, 588, 552, 528]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",603.0,3.0,603.0,3.0
"First by Shubik,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[267, 309, 308, 347, 345, 235, 233, 311, 322, 321]","[1.517, 1.4306, 1.4326, 1.3555, 1.3583, 1.5667, 1.5743, 1.4266, 1.4061, 1.4079]","[272, 319, 318, 367, 365, 240, 238, 321, 332, 331]","[1.5455, 1.4769, 1.4791, 1.4336, 1.437, 1.6, 1.6081, 1.4725, 1.4498, 1.4518]",299.8,1.44756,310.3,1.49543
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[687, 693, 768, 507, 543, 627, 504, 555, 462, 561]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[687, 693, 768, 507, 543, 627, 504, 555, 462, 561]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",590.7,3.0,590.7,3.0
"First by Shubik,First by Joss: 0.9","[0, 10, 0]","[256, 308, 219, 244, 214, 261, 289, 285, 219, 263]","[1.2736, 1.247, 1.3193, 1.2708, 1.3292, 1.267, 1.2511, 1.2555, 1.3193, 1.2644]","[266, 318, 224, 254, 219, 271, 299, 295, 224, 273]","[1.3234, 1.2874, 1.3494, 1.3229, 1.3602, 1.3155, 1.2944, 1.2996, 1.3494, 1.3125]",255.8,1.27972,264.3,1.32147
"Tit For Tat,First by Graaskamp: 0.05","[0, 5, 5]","[470, 600, 395, 460, 525, 620, 590, 475, 520, 560]","[2.6404, 2.5974, 2.6689, 2.6286, 2.6119, 2.605, 2.6106, 2.6243, 2.6131, 2.6168]","[470, 605, 395, 465, 530, 620, 590, 480, 525, 560]","[2.6404, 2.619, 2.6689, 2.6571, 2.6368, 2.605, 2.6106, 2.6519, 2.6382, 2.6168]",521.5,2.6217,524.0,2.63447
"First by Shubik,First by Tullock","[0, 10, 0]","[294, 258, 279, 307, 232, 294, 291, 295, 330, 337]","[1.4135, 1.5266, 1.4531, 1.3891, 1.6338, 1.4135, 1.4265, 1.4115, 1.3469, 1.332]","[344, 293, 324, 357, 262, 344, 336, 345, 385, 397]","[1.6538, 1.7337, 1.6875, 1.6154, 1.8451, 1.6538, 1.6471, 1.6507, 1.5714, 1.5692]",291.7,1.43465,338.7,1.66277
"Tit For Tat,First by Downing","[0, 0, 10]","[705, 702, 717, 480, 600, 441, 438, 513, 573, 465]","[2.9873, 2.9872, 2.9875, 2.9814, 2.9851, 2.9797, 2.9796, 2.9826, 2.9844, 2.9808]","[705, 702, 717, 480, 600, 441, 438, 513, 573, 465]","[2.9873, 2.9872, 2.9875, 2.9814, 2.9851, 2.9797, 2.9796, 2.9826, 2.9844, 2.9808]",563.4,2.9835599999999998,563.4,2.9835599999999998
"First by Shubik,First by Anonymous","[10, 0, 0]","[609, 594, 551, 550, 440, 415, 416, 481, 432, 517]","[2.6828, 2.7123, 2.701, 2.7228, 2.6667, 2.7124, 2.7013, 2.7022, 2.7, 2.7068]","[244, 229, 221, 215, 180, 165, 166, 186, 172, 207]","[1.0749, 1.0457, 1.0833, 1.0644, 1.0909, 1.0784, 1.0779, 1.0449, 1.075, 1.0838]",500.5,2.70083,198.5,1.07192
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[218, 191, 242, 181, 247, 215, 285, 198, 250, 211]","[1.1414, 1.1646, 1.1256, 1.1753, 1.1227, 1.1436, 1.1047, 1.1579, 1.1211, 1.1467]","[223, 196, 247, 186, 252, 220, 290, 203, 255, 216]","[1.1675, 1.1951, 1.1488, 1.2078, 1.1455, 1.1702, 1.124, 1.1871, 1.1435, 1.1739]",223.8,1.14036,228.8,1.16634
"First by Shubik,Random: 0.5","[10, 0, 0]","[652, 460, 369, 460, 572, 406, 438, 555, 446, 671]","[2.6942, 2.5698, 2.6357, 2.5698, 2.6605, 2.6364, 2.6386, 2.6429, 2.578, 2.6948]","[257, 210, 174, 210, 237, 186, 193, 235, 206, 266]","[1.062, 1.1732, 1.2429, 1.1732, 1.1023, 1.2078, 1.1627, 1.119, 1.1908, 1.0683]",502.9,2.6320699999999997,217.4,1.15022
"Tit For Tat,First by Joss: 0.9","[0, 10, 0]","[307, 310, 224, 301, 252, 305, 254, 330, 233, 304]","[1.3465, 1.342, 1.5448, 1.3559, 1.4566, 1.3496, 1.4514, 1.3147, 1.513, 1.3511]","[312, 315, 229, 306, 257, 310, 259, 335, 238, 309]","[1.3684, 1.3636, 1.5793, 1.3784, 1.4855, 1.3717, 1.48, 1.3347, 1.5455, 1.3733]",282.0,1.40256,287.0,1.42804
"First by Stein and Rapoport: 0.05: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[704, 671, 629, 416, 449, 647, 674, 692, 641, 428]","[2.9831, 2.9822, 2.981, 2.9714, 2.9735, 2.9816, 2.9823, 2.9828, 2.9814, 2.9722]","[704, 671, 629, 416, 449, 647, 674, 692, 641, 428]","[2.9831, 2.9822, 2.981, 2.9714, 2.9735, 2.9816, 2.9823, 2.9828, 2.9814, 2.9722]",595.1,2.9791499999999997,595.1,2.9791499999999997
"Tit For Tat,First by Tullock","[0, 10, 0]","[287, 245, 328, 307, 294, 287, 239, 316, 326, 266]","[1.4422, 1.5605, 1.3667, 1.4018, 1.4272, 1.4422, 1.5828, 1.386, 1.3697, 1.4944]","[292, 250, 333, 312, 299, 292, 244, 321, 331, 271]","[1.4673, 1.5924, 1.3875, 1.4247, 1.4515, 1.4673, 1.6159, 1.4079, 1.3908, 1.5225]",289.5,1.44735,294.5,1.47278
"First by Stein and Rapoport: 0.05: (D, D),First by Davis: 10","[10, 0, 0]","[690, 600, 555, 735, 735, 780, 612, 492, 696, 492]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[685, 595, 550, 730, 730, 775, 607, 487, 691, 487]","[2.9783, 2.975, 2.973, 2.9796, 2.9796, 2.9808, 2.9755, 2.9695, 2.9784, 2.9695]",638.7,3.0,633.7,2.97592
"Tit For Tat,First by Anonymous","[0, 3, 7]","[419, 317, 499, 505, 513, 484, 499, 502, 425, 369]","[2.1378, 2.1419, 2.1982, 2.2052, 2.183, 2.1802, 2.1982, 2.2018, 2.1465, 2.1579]","[419, 322, 499, 505, 518, 484, 499, 502, 425, 374]","[2.1378, 2.1757, 2.1982, 2.2052, 2.2043, 2.1802, 2.1982, 2.2018, 2.1465, 2.1871]",453.2,2.17507,454.7,2.1835
"First by Stein and Rapoport: 0.05: (D, D),First by Graaskamp: 0.05","[6, 0, 4]","[456, 666, 436, 391, 466, 636, 671, 581, 436, 591]","[2.6512, 2.5914, 2.6424, 2.6781, 2.6328, 2.6066, 2.5907, 2.6171, 2.6585, 2.615]","[451, 666, 436, 386, 466, 631, 671, 576, 431, 586]","[2.6221, 2.5914, 2.6424, 2.6438, 2.6328, 2.5861, 2.5907, 2.5946, 2.628, 2.5929]",533.0,2.62838,530.0,2.61248
"Tit For Tat,Random: 0.5","[0, 5, 5]","[344, 564, 588, 408, 405, 491, 498, 334, 498, 524]","[2.3243, 2.321, 2.3241, 2.2921, 2.2881, 2.3381, 2.3163, 2.3034, 2.3163, 2.3393]","[344, 569, 593, 408, 405, 491, 503, 339, 503, 524]","[2.3243, 2.3416, 2.3439, 2.2921, 2.2881, 2.3381, 2.3395, 2.3379, 2.3395, 2.3393]",465.4,2.3163,467.9,2.32843
"Grudger,Grudger","[0, 0, 10]","[561, 582, 753, 492, 630, 519, 681, 645, 621, 636]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[561, 582, 753, 492, 630, 519, 681, 645, 621, 636]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",612.0,3.0,612.0,3.0
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[491, 479, 530, 671, 563, 716, 587, 611, 710, 710]","[2.9758, 2.9752, 2.9775, 2.9822, 2.9788, 2.9833, 2.9797, 2.9805, 2.9832, 2.9832]","[491, 479, 530, 671, 563, 716, 587, 611, 710, 710]","[2.9758, 2.9752, 2.9775, 2.9822, 2.9788, 2.9833, 2.9797, 2.9805, 2.9832, 2.9832]",606.8,2.97994,606.8,2.97994
"Grudger,First by Graaskamp: 0.05","[10, 0, 0]","[369, 362, 446, 426, 356, 369, 434, 428, 368, 428]","[2.3354, 2.3974, 1.8979, 1.9814, 2.4552, 2.3354, 1.9462, 1.9724, 2.3439, 1.9724]","[234, 227, 311, 291, 221, 234, 299, 293, 233, 293]","[1.481, 1.5033, 1.3234, 1.3535, 1.5241, 1.481, 1.3408, 1.3502, 1.4841, 1.3502]",398.6,2.16376,263.6,1.41916
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[586, 760, 523, 637, 535, 664, 670, 520, 457, 523]","[3.0206, 3.0159, 3.0231, 3.019, 3.0226, 3.0182, 3.018, 3.0233, 3.0265, 3.0231]","[576, 750, 513, 627, 525, 654, 660, 510, 447, 513]","[2.9691, 2.9762, 2.9653, 2.9716, 2.9661, 2.9727, 2.973, 2.9651, 2.9603, 2.9653]",587.5,3.02103,577.5,2.96847
"First by Davis: 10,First by Downing","[0, 10, 0]","[147, 146, 252, 238, 257, 185, 208, 176, 195, 176]","[1.0352, 1.0355, 1.037, 1.0393, 1.0363, 1.0511, 1.0452, 1.0539, 1.0484, 1.0539]","[177, 176, 277, 263, 282, 210, 233, 201, 220, 201]","[1.2465, 1.2482, 1.1399, 1.1485, 1.1371, 1.1932, 1.1709, 1.2036, 1.1828, 1.2036]",198.0,1.04358,224.0,1.18743
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[657, 636, 630, 603, 645, 420, 741, 429, 645, 549]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[652, 631, 625, 598, 640, 415, 736, 424, 640, 544]","[2.9772, 2.9764, 2.9762, 2.9751, 2.9767, 2.9643, 2.9798, 2.965, 2.9767, 2.9727]",595.5,3.0,590.5,2.97401
"First by Davis: 10,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[248, 193, 275, 206, 216, 227, 187, 275, 250, 267]","[1.1222, 1.1627, 1.1089, 1.1508, 1.1429, 1.135, 1.1687, 1.1089, 1.1211, 1.1125]","[248, 193, 275, 206, 216, 227, 187, 275, 250, 267]","[1.1222, 1.1627, 1.1089, 1.1508, 1.1429, 1.135, 1.1687, 1.1089, 1.1211, 1.1125]",234.4,1.13337,234.4,1.13337
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[552, 525, 723, 711, 516, 693, 651, 654, 627, 432]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[547, 520, 718, 706, 511, 688, 646, 649, 622, 427]","[2.9728, 2.9714, 2.9793, 2.9789, 2.9709, 2.9784, 2.977, 2.9771, 2.9761, 2.9653]",608.4,3.0,603.4,2.97472
"First by Davis: 10,First by Joss: 0.9","[0, 0, 10]","[256, 278, 213, 186, 208, 226, 228, 260, 205, 201]","[1.0987, 1.0902, 1.1211, 1.1411, 1.1243, 1.1133, 1.1122, 1.097, 1.1264, 1.1292]","[256, 278, 213, 186, 208, 226, 228, 260, 205, 201]","[1.0987, 1.0902, 1.1211, 1.1411, 1.1243, 1.1133, 1.1122, 1.097, 1.1264, 1.1292]",226.1,1.11535,226.1,1.11535
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[647, 542, 767, 440, 617, 494, 632, 668, 584, 650]","[2.9816, 2.978, 2.9844, 2.973, 2.9807, 2.9759, 2.9811, 2.9821, 2.9796, 2.9817]","[647, 542, 767, 440, 617, 494, 632, 668, 584, 650]","[2.9816, 2.978, 2.9844, 2.973, 2.9807, 2.9759, 2.9811, 2.9821, 2.9796, 2.9817]",604.1,2.97981,604.1,2.97981
"First by Davis: 10,First by Tullock","[10, 0, 0]","[288, 282, 279, 294, 274, 354, 289, 359, 273, 365]","[1.7041, 1.7301, 1.7437, 1.68, 1.7677, 1.5064, 1.7, 1.4958, 1.7727, 1.4837]","[263, 257, 254, 269, 249, 329, 264, 334, 248, 340]","[1.5562, 1.5767, 1.5875, 1.5371, 1.6065, 1.4, 1.5529, 1.3917, 1.6104, 1.3821]",305.7,1.65842,280.7,1.52011
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[705, 429, 744, 651, 510, 441, 582, 483, 660, 618]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[700, 424, 739, 646, 505, 436, 577, 478, 655, 613]","[2.9787, 2.965, 2.9798, 2.977, 2.9706, 2.966, 2.9742, 2.9689, 2.9773, 2.9757]",582.3,3.0,577.3,2.97332
"First by Davis: 10,First by Anonymous","[10, 0, 0]","[679, 673, 602, 622, 461, 529, 658, 616, 439, 643]","[2.865, 2.8638, 2.8396, 2.8273, 2.8282, 2.7696, 2.8362, 2.8257, 2.7962, 2.8578]","[159, 158, 147, 152, 121, 139, 158, 151, 119, 153]","[0.6709, 0.6723, 0.6934, 0.6909, 0.7423, 0.7277, 0.681, 0.6927, 0.758, 0.68]",592.2,2.83094,145.7,0.70092
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[663, 651, 729, 714, 483, 501, 642, 438, 627, 729]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[658, 646, 724, 709, 478, 496, 637, 433, 622, 724]","[2.9774, 2.977, 2.9794, 2.979, 2.9689, 2.9701, 2.9766, 2.9658, 2.9761, 2.9794]",617.7,3.0,612.7,2.97497
"First by Davis: 10,Random: 0.5","[10, 0, 0]","[709, 714, 726, 738, 716, 551, 765, 534, 476, 714]","[3.0693, 3.0776, 3.0763, 3.075, 3.0598, 3.185, 3.0972, 3.1786, 3.1733, 3.0776]","[144, 144, 146, 148, 146, 111, 150, 109, 101, 144]","[0.6234, 0.6207, 0.6186, 0.6167, 0.6239, 0.6416, 0.6073, 0.6488, 0.6733, 0.6207]",664.3,3.10697,134.3,0.6295
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[511, 629, 714, 526, 532, 532, 693, 476, 669, 699]","[3.0237, 3.024, 2.9874, 3.023, 3.0056, 3.0056, 3.0262, 3.0318, 3.0135, 3.0]","[456, 564, 659, 471, 482, 482, 618, 421, 604, 639]","[2.6982, 2.7115, 2.7573, 2.7069, 2.7232, 2.7232, 2.6987, 2.6815, 2.7207, 2.7425]",598.1,3.01408,539.6,2.71637
"First by Graaskamp: 0.05,First by Graaskamp: 0.05","[0, 0, 10]","[246, 304, 271, 318, 350, 279, 280, 353, 287, 285]","[1.6849, 1.4902, 1.5848, 1.4587, 1.4, 1.5587, 1.5556, 1.3953, 1.5348, 1.5405]","[246, 304, 271, 318, 350, 279, 280, 353, 287, 285]","[1.6849, 1.4902, 1.5848, 1.4587, 1.4, 1.5587, 1.5556, 1.3953, 1.5348, 1.5405]",297.3,1.52035,297.3,1.52035
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[228, 232, 285, 217, 237, 276, 189, 243, 257, 188]","[1.1692, 1.1658, 1.131, 1.1793, 1.1618, 1.1358, 1.2115, 1.1571, 1.1473, 1.2129]","[198, 202, 255, 187, 207, 246, 159, 213, 227, 158]","[1.0154, 1.0151, 1.0119, 1.0163, 1.0147, 1.0123, 1.0192, 1.0143, 1.0134, 1.0194]",235.2,1.16717,205.2,1.0152
"First by Graaskamp: 0.05,First by Joss: 0.9","[0, 10, 0]","[663, 521, 435, 370, 608, 561, 393, 666, 669, 596]","[2.631, 2.605, 2.574, 2.5694, 2.6207, 2.6093, 2.5855, 2.6324, 2.6339, 2.614]","[753, 596, 505, 430, 693, 641, 453, 756, 759, 681]","[2.9881, 2.98, 2.9882, 2.9861, 2.9871, 2.9814, 2.9803, 2.9881, 2.9882, 2.9868]",548.2,2.60752,626.7,2.98543
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[344, 286, 294, 274, 331, 283, 328, 339, 334, 239]","[1.3333, 1.43, 1.4135, 1.4574, 1.351, 1.4365, 1.3554, 1.3399, 1.3468, 1.5621]","[349, 291, 299, 279, 336, 288, 333, 344, 339, 244]","[1.3527, 1.455, 1.4375, 1.484, 1.3714, 1.4619, 1.376, 1.3597, 1.3669, 1.5948]",305.2,1.40259,310.2,1.42599
"First by Graaskamp: 0.05,First by Anonymous","[10, 0, 0]","[576, 582, 565, 612, 706, 648, 637, 565, 496, 664]","[2.8374, 2.839, 2.8827, 2.8465, 2.8816, 2.9058, 2.8955, 2.8827, 2.9006, 2.8745]","[196, 197, 190, 202, 216, 203, 202, 190, 176, 209]","[0.9655, 0.961, 0.9694, 0.9395, 0.8816, 0.9103, 0.9182, 0.9694, 1.0292, 0.9048]",605.1,2.87463,198.1,0.94489
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 0, 10]","[254, 190, 274, 182, 211, 162, 187, 234, 269, 162]","[1.0583, 1.0795, 1.0538, 1.0833, 1.0711, 1.0946, 1.0809, 1.0636, 1.0549, 1.0946]","[254, 190, 274, 182, 211, 162, 187, 234, 269, 162]","[1.0583, 1.0795, 1.0538, 1.0833, 1.0711, 1.0946, 1.0809, 1.0636, 1.0549, 1.0946]",212.5,1.07346,212.5,1.07346
"First by Downing,First by Downing","[0, 0, 10]","[230, 189, 153, 205, 199, 196, 210, 169, 167, 259]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[230, 189, 153, 205, 199, 196, 210, 169, 167, 259]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",197.7,1.0,197.7,1.0
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[0, 0, 10]","[288, 253, 236, 310, 316, 310, 291, 298, 314, 234]","[1.2414, 1.2843, 1.3111, 1.2205, 1.2154, 1.2205, 1.2383, 1.2314, 1.2171, 1.3146]","[288, 253, 236, 310, 316, 310, 291, 298, 314, 234]","[1.2414, 1.2843, 1.3111, 1.2205, 1.2154, 1.2205, 1.2383, 1.2314, 1.2171, 1.3146]",285.0,1.24946,285.0,1.24946
"First by Downing,First by Joss: 0.9","[0, 10, 0]","[627, 495, 573, 699, 702, 714, 447, 423, 576, 441]","[2.8761, 2.8779, 2.8939, 2.8765, 2.877, 2.879, 2.8839, 2.8973, 2.8945, 2.9013]","[667, 525, 603, 744, 747, 759, 472, 443, 606, 461]","[3.0596, 3.0523, 3.0455, 3.0617, 3.0615, 3.0605, 3.0452, 3.0342, 3.0452, 3.0329]",569.7,2.88574,602.7,3.04986
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[614, 468, 711, 708, 684, 499, 453, 571, 711, 378]","[2.7909, 2.6897, 2.8214, 2.8434, 2.8382, 2.712, 2.7126, 2.7452, 2.8214, 2.7]","[204, 173, 226, 223, 219, 184, 168, 196, 226, 153]","[0.9273, 0.9943, 0.8968, 0.8956, 0.9087, 1.0, 1.006, 0.9423, 0.8968, 1.0929]",579.7,2.76748,197.2,0.95607
"First by Downing,First by Anonymous","[0, 10, 0]","[331, 262, 334, 349, 370, 376, 349, 364, 238, 343]","[1.5395, 1.6074, 1.5392, 1.5307, 1.498, 1.51, 1.5043, 1.5041, 1.6081, 1.5381]","[846, 632, 854, 899, 980, 986, 919, 959, 573, 878]","[3.9349, 3.8773, 3.9355, 3.943, 3.9676, 3.9598, 3.9612, 3.9628, 3.8716, 3.9372]",331.6,1.53794,852.6,3.9350899999999998
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[749, 475, 510, 719, 571, 749, 453, 666, 577, 526]","[2.9031, 2.8614, 2.8177, 2.8645, 2.7718, 2.9031, 2.8312, 2.8462, 2.774, 2.8432]","[204, 145, 155, 199, 171, 204, 143, 191, 172, 156]","[0.7907, 0.8735, 0.8564, 0.7928, 0.8301, 0.7907, 0.8938, 0.8162, 0.8269, 0.8432]",599.5,2.84162,174.0,0.83143
"First by Feld: 1.0, 0.5, 200,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[267, 219, 321, 220, 228, 272, 335, 330, 279, 337]","[1.4053, 1.5423, 1.3156, 1.5385, 1.5099, 1.3949, 1.2984, 1.3043, 1.3812, 1.2962]","[267, 219, 321, 220, 228, 272, 335, 330, 279, 337]","[1.4053, 1.5423, 1.3156, 1.5385, 1.5099, 1.3949, 1.2984, 1.3043, 1.3812, 1.2962]",280.8,1.39866,280.8,1.39866
"First by Nydegger,First by Nydegger","[0, 0, 10]","[702, 768, 471, 735, 576, 678, 492, 471, 720, 462]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[702, 768, 471, 735, 576, 678, 492, 471, 720, 462]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",607.5,3.0,607.5,3.0
"First by Feld: 1.0, 0.5, 200,First by Anonymous","[10, 0, 0]","[354, 348, 528, 433, 515, 545, 373, 520, 465, 619]","[2.4414, 2.4336, 2.4444, 2.4602, 2.4641, 2.4439, 2.4221, 2.4762, 2.4219, 2.4859]","[289, 283, 403, 338, 395, 410, 303, 395, 360, 444]","[1.9931, 1.979, 1.8657, 1.9205, 1.89, 1.8386, 1.9675, 1.881, 1.875, 1.7831]",470.0,2.44937,362.0,1.89935
