,utility_vectors inverse main diagonal
Cooperator,"[390, 720, 765, 618, 366, 714, 624, 441, 384, 417, 507, 327, 489, 636, 378, 531, 444, 420, 330, 555, 411, 510, 663, 489, 345, 648, 807, 696, 798, 408, 504, 558, 702, 879, 528, 318, 486, 507, 582, 855, 321, 711, 501, 867, 417, 588, 333, 618, 831, 489, 474, 738, 477, 585, 468, 636, 378, 390, 594, 381, 636, 753, 417, 885, 873, 465, 726, 657, 525, 741, 840, 738, 816, 513, 483, 636, 567, 453, 558, 441, 606, 393, 582, 885, 588, 414, 711, 759, 480, 417, 480, 576, 789, 612, 759, 387, 831, 471, 639, 696]"
Defector,"[214, 295, 109, 270, 272, 243, 137, 105, 249, 149, 178, 165, 134, 163, 230, 270, 244, 123, 120, 234, 220, 278, 195, 114, 212, 271, 237, 290, 149, 128, 118, 208, 286, 183, 209, 230, 234, 242, 143, 209, 109, 214, 267, 181, 235, 204, 107, 190, 181, 259, 248, 281, 288, 208, 275, 232, 244, 230, 169, 170, 218, 118, 270, 220, 175, 108, 166, 215, 173, 209, 148, 178, 256, 288, 128, 237, 242, 286, 192, 135, 110, 244, 200, 162, 215, 184, 126, 145, 237, 143, 205, 167, 201, 177, 202, 123, 132, 115, 141, 247]"
Tit For Tat,"[501, 357, 648, 723, 765, 504, 474, 459, 405, 771, 690, 777, 756, 558, 645, 768, 861, 555, 699, 684, 825, 747, 411, 411, 867, 360, 879, 510, 651, 711, 417, 540, 318, 666, 396, 351, 654, 564, 828, 786, 699, 633, 507, 348, 585, 591, 486, 336, 870, 402, 666, 351, 711, 525, 342, 381, 537, 765, 735, 831, 318, 600, 561, 861, 765, 399, 831, 825, 564, 618, 429, 768, 315, 366, 846, 603, 501, 534, 471, 375, 681, 795, 414, 387, 315, 426, 531, 465, 801, 336, 333, 396, 411, 315, 843, 681, 789, 873, 882, 375]"
