,Cooperator,Defector,Tit For Tat
Cooperator,"[390, 720, 765, 618, 366, 714, 624, 441, 384, 417, 507, 327, 489, 636, 378, 531, 444, 420, 330, 555, 411, 510, 663, 489, 345, 648, 807, 696, 798, 408, 504, 558, 702, 879, 528, 318, 486, 507, 582, 855, 321, 711, 501, 867, 417, 588, 333, 618, 831, 489, 474, 738, 477, 585, 468, 636, 378, 390, 594, 381, 636, 753, 417, 885, 873, 465, 726, 657, 525, 741, 840, 738, 816, 513, 483, 636, 567, 453, 558, 441, 606, 393, 582, 885, 588, 414, 711, 759, 480, 417, 480, 576, 789, 612, 759, 387, 831, 471, 639, 696]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[756, 693, 585, 696, 774, 564, 792, 510, 672, 606, 378, 417, 480, 720, 861, 879, 636, 438, 876, 636, 408, 825, 723, 816, 405, 609, 753, 843, 708, 519, 870, 633, 393, 318, 639, 624, 879, 867, 534, 546, 729, 675, 390, 534, 498, 561, 735, 801, 327, 402, 549, 423, 567, 720, 588, 594, 561, 765, 861, 807, 852, 513, 780, 657, 831, 720, 594, 567, 774, 708, 795, 756, 609, 375, 351, 864, 759, 819, 636, 522, 606, 804, 327, 864, 573, 363, 693, 684, 576, 681, 750, 525, 558, 480, 555, 837, 489, 483, 537, 387]"
Defector,"[750, 815, 1050, 1365, 1440, 1255, 1080, 535, 1295, 1145, 560, 775, 545, 1105, 1350, 590, 680, 1150, 955, 1430, 1065, 905, 970, 575, 605, 610, 845, 855, 590, 610, 1050, 1180, 905, 940, 1225, 1010, 1155, 910, 975, 1070, 1325, 1190, 605, 1090, 1330, 610, 550, 1395, 1315, 1180, 975, 1200, 865, 835, 1295, 1105, 1065, 1470, 700, 545, 1380, 1265, 890, 945, 700, 665, 1320, 1155, 955, 1300, 1455, 670, 1180, 1355, 1080, 585, 1395, 540, 1110, 1435, 550, 940, 745, 950, 585, 1180, 1430, 1050, 1270, 865, 975, 1135, 860, 1245, 1475, 860, 1255, 1220, 865, 975]","[214, 295, 109, 270, 272, 243, 137, 105, 249, 149, 178, 165, 134, 163, 230, 270, 244, 123, 120, 234, 220, 278, 195, 114, 212, 271, 237, 290, 149, 128, 118, 208, 286, 183, 209, 230, 234, 242, 143, 209, 109, 214, 267, 181, 235, 204, 107, 190, 181, 259, 248, 281, 288, 208, 275, 232, 244, 230, 169, 170, 218, 118, 270, 220, 175, 108, 166, 215, 173, 209, 148, 178, 256, 288, 128, 237, 242, 286, 192, 135, 110, 244, 200, 162, 215, 184, 126, 145, 237, 143, 205, 167, 201, 177, 202, 123, 132, 115, 141, 247]","[157, 148, 146, 236, 257, 211, 145, 254, 260, 241, 218, 136, 292, 213, 124, 243, 141, 150, 143, 221, 201, 126, 295, 290, 212, 166, 133, 122, 152, 130, 182, 194, 162, 236, 168, 258, 272, 166, 289, 179, 195, 289, 275, 183, 166, 268, 265, 275, 281, 159, 255, 177, 119, 178, 119, 118, 205, 250, 129, 228, 246, 258, 288, 299, 149, 235, 295, 180, 256, 127, 246, 195, 255, 268, 146, 166, 266, 270, 179, 121, 142, 280, 223, 220, 133, 173, 248, 227, 163, 291, 278, 179, 281, 282, 161, 179, 281, 219, 298, 159]"
Tit For Tat,"[756, 693, 585, 696, 774, 564, 792, 510, 672, 606, 378, 417, 480, 720, 861, 879, 636, 438, 876, 636, 408, 825, 723, 816, 405, 609, 753, 843, 708, 519, 870, 633, 393, 318, 639, 624, 879, 867, 534, 546, 729, 675, 390, 534, 498, 561, 735, 801, 327, 402, 549, 423, 567, 720, 588, 594, 561, 765, 861, 807, 852, 513, 780, 657, 831, 720, 594, 567, 774, 708, 795, 756, 609, 375, 351, 864, 759, 819, 636, 522, 606, 804, 327, 864, 573, 363, 693, 684, 576, 681, 750, 525, 558, 480, 555, 837, 489, 483, 537, 387]","[152, 143, 141, 231, 252, 206, 140, 249, 255, 236, 213, 131, 287, 208, 119, 238, 136, 145, 138, 216, 196, 121, 290, 285, 207, 161, 128, 117, 147, 125, 177, 189, 157, 231, 163, 253, 267, 161, 284, 174, 190, 284, 270, 178, 161, 263, 260, 270, 276, 154, 250, 172, 114, 173, 114, 113, 200, 245, 124, 223, 241, 253, 283, 294, 144, 230, 290, 175, 251, 122, 241, 190, 250, 263, 141, 161, 261, 265, 174, 116, 137, 275, 218, 215, 128, 168, 243, 222, 158, 286, 273, 174, 276, 277, 156, 174, 276, 214, 293, 154]","[501, 357, 648, 723, 765, 504, 474, 459, 405, 771, 690, 777, 756, 558, 645, 768, 861, 555, 699, 684, 825, 747, 411, 411, 867, 360, 879, 510, 651, 711, 417, 540, 318, 666, 396, 351, 654, 564, 828, 786, 699, 633, 507, 348, 585, 591, 486, 336, 870, 402, 666, 351, 711, 525, 342, 381, 537, 765, 735, 831, 318, 600, 561, 861, 765, 399, 831, 825, 564, 618, 429, 768, 315, 366, 846, 603, 501, 534, 471, 375, 681, 795, 414, 387, 315, 426, 531, 465, 801, 336, 333, 396, 411, 315, 843, 681, 789, 873, 882, 375]"
