P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[588, 567, 579, 570, 489, 447, 747, 696, 624, 633]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[588, 567, 579, 570, 489, 447, 747, 696, 624, 633]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",594.0,3.0,594.0,3.0
"First by Grofman,First by Downing","[0, 10, 0]","[74, 72, 80, 82, 120, 79, 107, 92, 84, 102]","[0.4684, 0.4706, 0.4678, 0.4659, 0.4633, 0.4675, 0.4632, 0.467, 0.4641, 0.4615]","[529, 512, 570, 587, 850, 564, 762, 652, 604, 732]","[3.3481, 3.3464, 3.3333, 3.3352, 3.2819, 3.3373, 3.2987, 3.3096, 3.337, 3.3122]",89.2,0.46593,636.2,3.32397
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[430, 568, 757, 508, 637, 739, 544, 481, 472, 451]","[2.9655, 2.9738, 2.9803, 2.9708, 2.9766, 2.9798, 2.9727, 2.9691, 2.9686, 2.9671]","[435, 573, 762, 513, 642, 744, 549, 486, 477, 456]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",558.7,2.97243,563.7,3.0
"First by Grofman,First by Joss: 0.9","[0, 10, 0]","[418, 644, 506, 602, 596, 485, 445, 550, 355, 367]","[2.4444, 2.4769, 2.3981, 2.4472, 2.4426, 2.3892, 2.4185, 2.4229, 2.3826, 2.3831]","[473, 734, 586, 692, 686, 560, 510, 635, 410, 422]","[2.7661, 2.8231, 2.7773, 2.813, 2.8115, 2.7586, 2.7717, 2.7974, 2.7517, 2.7403]",496.8,2.42055,570.8,2.78107
"Tit For Tat,First by Nydegger","[0, 0, 10]","[456, 540, 729, 498, 573, 645, 456, 687, 507, 603]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[456, 540, 729, 498, 573, 645, 456, 687, 507, 603]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",569.4,3.0,569.4,3.0
"First by Grofman,First by Anonymous","[0, 10, 0]","[361, 310, 494, 443, 440, 443, 518, 302, 514, 497]","[1.9727, 2.013, 2.0756, 2.0701, 2.0853, 2.0798, 2.0556, 2.0544, 2.081, 2.0795]","[506, 420, 644, 583, 570, 578, 688, 392, 669, 647]","[2.765, 2.7273, 2.7059, 2.7243, 2.7014, 2.7136, 2.7302, 2.6667, 2.7085, 2.7071]",432.2,2.0567,569.7,2.715
"Tit For Tat,First by Grofman","[0, 0, 10]","[612, 501, 576, 573, 423, 705, 747, 543, 579, 540]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[612, 501, 576, 573, 423, 705, 747, 543, 579, 540]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",579.9,3.0,579.9,3.0
"First by Shubik,First by Shubik","[0, 0, 10]","[426, 477, 645, 666, 585, 447, 720, 633, 576, 447]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[426, 477, 645, 666, 585, 447, 720, 633, 576, 447]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",562.2,3.0,562.2,3.0
"Tit For Tat,First by Shubik","[0, 0, 10]","[477, 774, 552, 741, 669, 675, 672, 492, 456, 564]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[477, 774, 552, 741, 669, 675, 672, 492, 456, 564]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",607.2,3.0,607.2,3.0
"First by Shubik,Grudger","[0, 0, 10]","[600, 633, 729, 597, 504, 675, 663, 474, 660, 687]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 633, 729, 597, 504, 675, 663, 474, 660, 687]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",622.2,3.0,622.2,3.0
