P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[753, 465, 579, 768, 738, 540, 504, 594, 645, 468]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[753, 465, 579, 768, 738, 540, 504, 594, 645, 468]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",605.4,3.0,605.4,3.0
"First by Shubik,First by Shubik","[0, 0, 10]","[582, 573, 618, 534, 426, 498, 534, 576, 564, 570]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[582, 573, 618, 534, 426, 498, 534, 576, 564, 570]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",547.5,3.0,547.5,3.0
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[457, 568, 499, 469, 436, 508, 595, 454, 682, 472]","[2.9675, 2.9738, 2.9702, 2.9684, 2.966, 2.9708, 2.975, 2.9673, 2.9782, 2.9686]","[462, 573, 504, 474, 441, 513, 600, 459, 687, 477]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",514.0,2.97058,519.0,3.0
"First by Shubik,Grudger","[0, 0, 10]","[624, 609, 444, 774, 630, 699, 525, 516, 750, 705]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[624, 609, 444, 774, 630, 699, 525, 516, 750, 705]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",627.6,3.0,627.6,3.0
"Tit For Tat,First by Nydegger","[0, 0, 10]","[480, 777, 453, 561, 552, 744, 582, 489, 717, 642]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[480, 777, 453, 561, 552, 744, 582, 489, 717, 642]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",599.7,3.0,599.7,3.0
"First by Shubik,First by Davis: 10","[0, 0, 10]","[600, 462, 612, 447, 699, 744, 654, 528, 570, 468]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 462, 612, 447, 699, 744, 654, 528, 570, 468]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",578.4,3.0,578.4,3.0
"Tit For Tat,First by Grofman","[0, 0, 10]","[510, 426, 633, 564, 591, 426, 552, 480, 669, 576]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[510, 426, 633, 564, 591, 426, 552, 480, 669, 576]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",542.7,3.0,542.7,3.0
"First by Shubik,First by Graaskamp: 0.05","[10, 0, 0]","[608, 643, 630, 653, 492, 671, 607, 477, 592, 649]","[3.435, 3.0047, 3.15, 2.9022, 3.4167, 2.75, 3.4686, 3.383, 3.5238, 2.95]","[333, 378, 360, 393, 302, 416, 327, 302, 322, 384]","[1.8814, 1.7664, 1.8, 1.7467, 2.0972, 1.7049, 1.8686, 2.1418, 1.9167, 1.7455]",602.2,3.1984,351.7,1.86692
"Tit For Tat,First by Shubik","[0, 0, 10]","[531, 456, 726, 507, 720, 468, 726, 495, 672, 498]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[531, 456, 726, 507, 720, 468, 726, 495, 672, 498]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",579.9,3.0,579.9,3.0
"First by Stein and Rapoport: 0.05: (D, D),Grudger","[10, 0, 0]","[723, 609, 678, 744, 717, 525, 666, 609, 570, 720]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[718, 604, 673, 739, 712, 520, 661, 604, 565, 715]","[2.9793, 2.9754, 2.9779, 2.9798, 2.9791, 2.9714, 2.9775, 2.9754, 2.9737, 2.9792]",656.1,3.0,651.1,2.97687
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[628, 712, 595, 727, 763, 535, 595, 676, 424, 637]","[2.9763, 2.9791, 2.975, 2.9795, 2.9805, 2.9722, 2.975, 2.978, 2.965, 2.9766]","[633, 717, 600, 732, 768, 540, 600, 681, 429, 642]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",629.2,2.97572,634.2,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Downing","[10, 0, 0]","[513, 527, 510, 517, 476, 546, 559, 495, 530, 568]","[2.4663, 2.4174, 2.4878, 2.4387, 2.6011, 2.3038, 2.2724, 2.5515, 2.3982, 2.2903]","[228, 237, 225, 232, 206, 256, 264, 215, 240, 268]","[1.0962, 1.0872, 1.0976, 1.0943, 1.1257, 1.0802, 1.0732, 1.1082, 1.086, 1.0806]",524.1,2.42275,237.1,1.09292
"Tit For Tat,Grudger","[0, 0, 10]","[564, 723, 582, 492, 420, 462, 660, 744, 420, 594]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[564, 723, 582, 492, 420, 462, 660, 744, 420, 594]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",566.1,3.0,566.1,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[310, 243, 248, 243, 248, 237, 277, 269, 210, 243]","[1.2757, 1.3807, 1.3702, 1.3807, 1.3702, 1.3941, 1.319, 1.3317, 1.4685, 1.3807]","[315, 248, 253, 248, 253, 242, 282, 274, 215, 248]","[1.2963, 1.4091, 1.3978, 1.4091, 1.3978, 1.4235, 1.3429, 1.3564, 1.5035, 1.4091]",252.8,1.36715,257.8,1.39455
