P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[714, 606, 504, 420, 627, 597, 525, 486, 735, 423]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[714, 606, 504, 420, 627, 597, 525, 486, 735, 423]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",563.7,3.0,563.7,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Joss: 0.9","[0, 10, 0]","[215, 212, 233, 305, 247, 260, 265, 318, 262, 200]","[1.3694, 1.3766, 1.3314, 1.2348, 1.3069, 1.2871, 1.2802, 1.2231, 1.2843, 1.4085]","[220, 217, 238, 310, 252, 265, 270, 323, 267, 205]","[1.4013, 1.4091, 1.36, 1.2551, 1.3333, 1.3119, 1.3043, 1.2423, 1.3088, 1.4437]",251.7,1.31023,256.7,1.33698
"Tit For Tat,First by Graaskamp: 0.05","[0, 3, 7]","[430, 620, 560, 500, 525, 440, 435, 520, 435, 500]","[2.638, 2.5941, 2.6168, 2.6316, 2.625, 2.6506, 2.6364, 2.6263, 2.6524, 2.6316]","[435, 625, 560, 500, 525, 440, 440, 520, 435, 500]","[2.6687, 2.6151, 2.6168, 2.6316, 2.625, 2.6506, 2.6667, 2.6263, 2.6524, 2.6316]",496.5,2.63028,498.0,2.63848
"First by Stein and Rapoport: 0.05: (D, D),First by Tullock","[1, 7, 2]","[483, 492, 525, 429, 511, 471, 417, 447, 522, 511]","[2.6393, 2.5625, 2.3333, 2.8224, 2.4218, 2.7069, 2.8958, 2.7938, 2.3514, 2.4218]","[488, 497, 530, 429, 516, 476, 407, 447, 527, 516]","[2.6667, 2.5885, 2.3556, 2.8224, 2.4455, 2.7356, 2.8264, 2.7938, 2.3739, 2.4455]",480.8,2.5949,483.3,2.60539
"Tit For Tat,First by Downing","[0, 0, 10]","[576, 651, 687, 417, 471, 768, 432, 774, 447, 684]","[2.9845, 2.9862, 2.987, 2.9786, 2.981, 2.9883, 2.9793, 2.9884, 2.98, 2.9869]","[576, 651, 687, 417, 471, 768, 432, 774, 447, 684]","[2.9845, 2.9862, 2.987, 2.9786, 2.981, 2.9883, 2.9793, 2.9884, 2.98, 2.9869]",590.7,2.98402,590.7,2.98402
"First by Stein and Rapoport: 0.05: (D, D),First by Anonymous","[10, 0, 0]","[661, 736, 613, 487, 774, 505, 462, 609, 639, 570]","[2.991, 3.0164, 2.9902, 2.9877, 3.0, 2.9882, 3.0, 3.0299, 3.0284, 3.0]","[141, 151, 133, 112, 159, 115, 107, 129, 134, 125]","[0.638, 0.6189, 0.6488, 0.6871, 0.6163, 0.6805, 0.6948, 0.6418, 0.6351, 0.6579]",605.6,3.00318,130.6,0.65192
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[302, 307, 310, 312, 373, 279, 368, 327, 386, 362]","[1.7257, 1.7056, 1.694, 1.6865, 1.5163, 1.8355, 1.527, 1.635, 1.4903, 1.5404]","[307, 312, 315, 317, 378, 284, 373, 332, 391, 367]","[1.7543, 1.7333, 1.7213, 1.7135, 1.5366, 1.8684, 1.5477, 1.66, 1.5097, 1.5617]",332.6,1.63563,337.6,1.66065
"First by Stein and Rapoport: 0.05: (D, D),Random: 0.5","[10, 0, 0]","[711, 490, 491, 480, 415, 747, 716, 600, 647, 731]","[2.8902, 2.8994, 2.8882, 2.9448, 2.9225, 2.8953, 2.8988, 2.8986, 2.9144, 2.878]","[161, 120, 121, 115, 105, 167, 161, 140, 147, 166]","[0.6545, 0.7101, 0.7118, 0.7055, 0.7394, 0.6473, 0.6518, 0.6763, 0.6622, 0.6535]",602.8,2.90302,140.3,0.68124
"Tit For Tat,First by Joss: 0.9","[0, 10, 0]","[277, 245, 227, 280, 219, 198, 254, 236, 195, 248]","[1.0906, 1.1036, 1.1127, 1.0895, 1.1173, 1.1314, 1.0996, 1.108, 1.1337, 1.1022]","[282, 250, 232, 285, 224, 203, 259, 241, 200, 253]","[1.1102, 1.1261, 1.1373, 1.1089, 1.1429, 1.16, 1.1212, 1.1315, 1.1628, 1.1244]",237.9,1.10886,242.9,1.13253
"Grudger,First by Davis: 10","[0, 0, 10]","[717, 462, 615, 651, 525, 750, 477, 504, 756, 675]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[717, 462, 615, 651, 525, 750, 477, 504, 756, 675]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",613.2,3.0,613.2,3.0
"Tit For Tat,First by Tullock","[0, 10, 0]","[309, 339, 289, 327, 303, 318, 283, 272, 306, 251]","[1.3733, 1.3294, 1.4098, 1.3457, 1.3836, 1.359, 1.4221, 1.4468, 1.3784, 1.503]","[314, 344, 294, 332, 308, 323, 288, 277, 311, 256]","[1.3956, 1.349, 1.4341, 1.3663, 1.4064, 1.3803, 1.4472, 1.4734, 1.4009, 1.5329]",299.7,1.3951099999999999,304.7,1.41861
"Grudger,First by Downing","[10, 0, 0]","[182, 227, 260, 181, 241, 215, 168, 154, 176, 271]","[1.0643, 1.0509, 1.0442, 1.0647, 1.0478, 1.0539, 1.0701, 1.0769, 1.0667, 1.0423]","[172, 217, 250, 171, 231, 205, 158, 144, 166, 261]","[1.0058, 1.0046, 1.004, 1.0059, 1.0043, 1.0049, 1.0064, 1.007, 1.0061, 1.0038]",207.5,1.0581800000000001,197.5,1.00528
"Tit For Tat,First by Anonymous","[0, 4, 6]","[443, 323, 423, 367, 362, 412, 338, 500, 505, 520]","[2.2953, 2.2746, 2.2989, 2.2795, 2.2767, 2.3017, 2.2838, 2.3041, 2.3059, 2.3009]","[443, 328, 423, 367, 362, 412, 338, 505, 510, 525]","[2.2953, 2.3099, 2.2989, 2.2795, 2.2767, 2.3017, 2.2838, 2.3272, 2.3288, 2.323]",419.3,2.29214,421.3,2.30248
"Grudger,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[268, 239, 198, 272, 242, 197, 228, 229, 194, 301]","[1.2465, 1.2849, 1.3655, 1.242, 1.2804, 1.3681, 1.3029, 1.3011, 1.3759, 1.2137]","[268, 239, 198, 272, 242, 197, 228, 229, 194, 301]","[1.2465, 1.2849, 1.3655, 1.242, 1.2804, 1.3681, 1.3029, 1.3011, 1.3759, 1.2137]",236.8,1.2981,236.8,1.2981
"Tit For Tat,Random: 0.5","[0, 5, 5]","[475, 533, 306, 441, 448, 395, 476, 372, 366, 431]","[2.1396, 2.1067, 2.1702, 2.1304, 2.1232, 2.1944, 2.125, 2.2143, 2.2182, 2.1658]","[475, 538, 306, 446, 453, 395, 481, 377, 366, 431]","[2.1396, 2.1265, 2.1702, 2.1546, 2.1469, 2.1944, 2.1473, 2.244, 2.2182, 2.1658]",424.3,2.15878,426.8,2.17075
"Grudger,First by Joss: 0.9","[0, 0, 10]","[176, 276, 244, 246, 263, 268, 198, 254, 239, 224]","[1.121, 1.0739, 1.0844, 1.0837, 1.0779, 1.0763, 1.1061, 1.0809, 1.0864, 1.0927]","[176, 276, 244, 246, 263, 268, 198, 254, 239, 224]","[1.121, 1.0739, 1.0844, 1.0837, 1.0779, 1.0763, 1.1061, 1.0809, 1.0864, 1.0927]",238.8,1.08833,238.8,1.08833
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[596, 536, 500, 452, 635, 536, 602, 668, 545, 503]","[2.98, 2.9778, 2.9762, 2.9737, 2.9812, 2.9778, 2.9802, 2.9821, 2.9781, 2.9763]","[596, 536, 500, 452, 635, 536, 602, 668, 545, 503]","[2.98, 2.9778, 2.9762, 2.9737, 2.9812, 2.9778, 2.9802, 2.9821, 2.9781, 2.9763]",557.3,2.9783399999999998,557.3,2.9783399999999998
"Grudger,First by Tullock","[10, 0, 0]","[236, 315, 207, 296, 210, 305, 243, 221, 202, 312]","[1.3333, 1.2305, 1.3986, 1.2489, 1.3907, 1.2398, 1.3207, 1.3642, 1.4126, 1.2332]","[216, 295, 187, 276, 190, 285, 223, 201, 182, 292]","[1.2203, 1.1523, 1.2635, 1.1646, 1.2583, 1.1585, 1.212, 1.2407, 1.2727, 1.1542]",254.7,1.31725,234.7,1.20971
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[763, 700, 562, 451, 784, 559, 754, 472, 481, 571]","[3.0158, 3.0172, 3.0215, 3.0268, 3.0154, 3.0216, 3.016, 3.0256, 3.0252, 3.0212]","[753, 690, 552, 441, 774, 549, 744, 462, 471, 561]","[2.9763, 2.9741, 2.9677, 2.9597, 2.9769, 2.9676, 2.976, 2.9615, 2.9623, 2.9683]",609.7,3.02063,599.7,2.96904
"Grudger,First by Anonymous","[10, 0, 0]","[465, 729, 713, 774, 463, 746, 539, 553, 661, 762]","[3.1, 3.1696, 3.1549, 3.1336, 3.1284, 3.1213, 3.1337, 3.1067, 3.1476, 3.1358]","[75, 109, 108, 119, 73, 116, 84, 88, 101, 117]","[0.5, 0.4739, 0.4779, 0.4818, 0.4932, 0.4854, 0.4884, 0.4944, 0.481, 0.4815]",640.5,3.13316,99.0,0.48575
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[690, 471, 582, 456, 426, 510, 759, 456, 504, 681]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[685, 466, 577, 451, 421, 505, 754, 451, 499, 676]","[2.9783, 2.9682, 2.9742, 2.9671, 2.9648, 2.9706, 2.9802, 2.9671, 2.9702, 2.978]",553.5,3.0,548.5,2.97187
"Grudger,Random: 0.5","[10, 0, 0]","[687, 406, 693, 692, 657, 464, 626, 667, 559, 621]","[2.8156, 2.7619, 2.8171, 2.8245, 2.8077, 2.7456, 2.8072, 2.8263, 2.795, 2.7973]","[137, 86, 138, 137, 132, 99, 126, 132, 114, 126]","[0.5615, 0.585, 0.561, 0.5592, 0.5641, 0.5858, 0.565, 0.5593, 0.57, 0.5676]",607.2,2.79982,122.7,0.56785
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[567, 678, 762, 660, 744, 573, 642, 489, 435, 627]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[562, 673, 757, 655, 739, 568, 637, 484, 430, 622]","[2.9735, 2.9779, 2.9803, 2.9773, 2.9798, 2.9738, 2.9766, 2.9693, 2.9655, 2.9761]",617.7,3.0,612.7,2.97501
"First by Davis: 10,First by Davis: 10","[0, 0, 10]","[528, 624, 573, 666, 423, 717, 618, 594, 531, 492]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[528, 624, 573, 666, 423, 717, 618, 594, 531, 492]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",576.6,3.0,576.6,3.0
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[428, 446, 584, 536, 455, 698, 431, 506, 728, 704]","[2.9722, 2.9733, 2.9796, 2.9778, 2.9739, 2.9829, 2.9724, 2.9765, 2.9836, 2.9831]","[428, 446, 584, 536, 455, 698, 431, 506, 728, 704]","[2.9722, 2.9733, 2.9796, 2.9778, 2.9739, 2.9829, 2.9724, 2.9765, 2.9836, 2.9831]",551.6,2.97753,551.6,2.97753
"First by Davis: 10,First by Graaskamp: 0.05","[10, 0, 0]","[393, 397, 439, 407, 396, 461, 356, 401, 462, 455]","[2.1593, 2.1344, 1.9254, 2.0765, 2.1405, 1.844, 2.4552, 2.1105, 1.8406, 1.8648]","[258, 262, 304, 272, 261, 326, 221, 266, 327, 320]","[1.4176, 1.4086, 1.3333, 1.3878, 1.4108, 1.304, 1.5241, 1.4, 1.3028, 1.3115]",416.7,2.05512,281.7,1.38005
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[477, 723, 558, 630, 441, 561, 741, 681, 507, 552]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[472, 718, 553, 625, 436, 556, 736, 676, 502, 547]","[2.9686, 2.9793, 2.9731, 2.9762, 2.966, 2.9733, 2.9798, 2.978, 2.9704, 2.9728]",587.1,3.0,582.1,2.97375
"First by Graaskamp: 0.05,First by Downing","[10, 0, 0]","[723, 740, 465, 601, 810, 450, 796, 627, 616, 549]","[3.1435, 3.1489, 3.1, 3.1302, 3.1518, 3.1034, 3.1462, 3.135, 3.1269, 3.1193]","[633, 645, 420, 531, 705, 405, 696, 552, 546, 489]","[2.7522, 2.7447, 2.8, 2.7656, 2.7432, 2.7931, 2.751, 2.76, 2.7716, 2.7784]",637.7,3.1305199999999997,562.2,2.76598
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[735, 513, 555, 540, 744, 741, 699, 567, 738, 486]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[730, 508, 550, 535, 739, 736, 694, 562, 733, 481]","[2.9796, 2.9708, 2.973, 2.9722, 2.9798, 2.9798, 2.9785, 2.9735, 2.9797, 2.9691]",631.8,3.0,626.8,2.9756
"First by Graaskamp: 0.05,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[302, 335, 290, 225, 330, 250, 290, 286, 258, 313]","[1.3917, 1.34, 1.4146, 1.6071, 1.3469, 1.5152, 1.4146, 1.4229, 1.4913, 1.3728]","[302, 335, 290, 225, 330, 250, 290, 286, 258, 313]","[1.3917, 1.34, 1.4146, 1.6071, 1.3469, 1.5152, 1.4146, 1.4229, 1.4913, 1.3728]",287.9,1.43171,287.9,1.43171
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[530, 662, 608, 715, 572, 772, 742, 501, 777, 602]","[3.0286, 3.0228, 3.0249, 3.0169, 3.0426, 3.0039, 3.004, 3.0364, 3.0116, 3.0251]","[465, 587, 538, 640, 497, 697, 667, 436, 697, 532]","[2.6571, 2.6804, 2.6766, 2.7004, 2.6436, 2.7121, 2.7004, 2.6424, 2.7016, 2.6734]",648.1,3.02168,575.6,2.6788
"First by Graaskamp: 0.05,First by Tullock","[0, 10, 0]","[405, 402, 483, 451, 515, 596, 506, 509, 637, 469]","[2.7181, 2.7347, 2.6685, 2.6845, 2.6684, 2.6489, 2.6772, 2.6789, 2.6542, 2.6497]","[435, 427, 538, 496, 575, 676, 561, 564, 722, 529]","[2.9195, 2.9048, 2.9724, 2.9524, 2.9793, 3.0044, 2.9683, 2.9684, 3.0083, 2.9887]",497.3,2.67831,552.3,2.96665
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[198, 263, 287, 248, 226, 223, 204, 183, 291, 273]","[1.2, 1.1435, 1.1299, 1.1535, 1.171, 1.1737, 1.193, 1.22, 1.1279, 1.1375]","[168, 233, 257, 218, 196, 193, 174, 153, 261, 243]","[1.0182, 1.013, 1.0118, 1.014, 1.0155, 1.0158, 1.0175, 1.02, 1.0116, 1.0125]",239.6,1.165,209.6,1.01499
"First by Graaskamp: 0.05,Random: 0.5","[10, 0, 0]","[730, 651, 633, 666, 674, 582, 366, 587, 427, 577]","[2.8295, 2.8182, 2.8133, 2.8462, 2.8319, 2.8252, 2.5775, 2.8357, 2.6855, 2.8146]","[235, 221, 218, 221, 224, 207, 181, 207, 187, 207]","[0.9109, 0.9567, 0.9689, 0.9444, 0.9412, 1.0049, 1.2746, 1.0, 1.1761, 1.0098]",589.3,2.78776,210.8,1.01875
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[315, 273, 301, 317, 286, 260, 222, 278, 267, 307]","[1.255, 1.3062, 1.27, 1.253, 1.2883, 1.3265, 1.4051, 1.2991, 1.3153, 1.2634]","[315, 273, 301, 317, 286, 260, 222, 278, 267, 307]","[1.255, 1.3062, 1.27, 1.253, 1.2883, 1.3265, 1.4051, 1.2991, 1.3153, 1.2634]",282.6,1.29819,282.6,1.29819
"First by Downing,First by Tullock","[10, 0, 0]","[238, 205, 192, 212, 180, 224, 208, 253, 218, 246]","[1.19, 1.2349, 1.2549, 1.2254, 1.2766, 1.2043, 1.2308, 1.1767, 1.2179, 1.1827]","[208, 170, 157, 177, 145, 194, 173, 223, 183, 216]","[1.04, 1.0241, 1.0261, 1.0231, 1.0284, 1.043, 1.0237, 1.0372, 1.0223, 1.0385]",217.6,1.21942,184.6,1.03064
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 0, 10]","[244, 183, 230, 251, 221, 165, 241, 211, 274, 212]","[1.0609, 1.0828, 1.0648, 1.0591, 1.0676, 1.0927, 1.0617, 1.0711, 1.0538, 1.0707]","[244, 183, 230, 251, 221, 165, 241, 211, 274, 212]","[1.0609, 1.0828, 1.0648, 1.0591, 1.0676, 1.0927, 1.0617, 1.0711, 1.0538, 1.0707]",223.2,1.06852,223.2,1.06852
"First by Downing,Random: 0.5","[10, 0, 0]","[436, 624, 714, 599, 529, 599, 523, 576, 782, 701]","[2.966, 3.0739, 3.0644, 3.0876, 3.0756, 3.0876, 3.0765, 3.0802, 3.0428, 3.0746]","[81, 104, 119, 99, 89, 99, 88, 96, 132, 116]","[0.551, 0.5123, 0.5107, 0.5103, 0.5174, 0.5103, 0.5176, 0.5134, 0.5136, 0.5088]",608.3,3.06292,102.3,0.51654
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[10, 0, 0]","[240, 248, 259, 210, 262, 188, 235, 204, 215, 208]","[1.25, 1.24, 1.2275, 1.2963, 1.2243, 1.3429, 1.2567, 1.3077, 1.2874, 1.3]","[235, 243, 254, 205, 257, 183, 230, 199, 210, 203]","[1.224, 1.215, 1.2038, 1.2654, 1.2009, 1.3071, 1.2299, 1.2756, 1.2575, 1.2688]",226.9,1.27328,221.9,1.2448000000000001
"First by Feld: 1.0, 0.5, 200,First by Joss: 0.9","[0, 0, 10]","[219, 263, 167, 246, 217, 252, 188, 272, 253, 161]","[1.095, 1.0779, 1.1284, 1.0837, 1.096, 1.0815, 1.1124, 1.0751, 1.0812, 1.1338]","[219, 263, 167, 246, 217, 252, 188, 272, 253, 161]","[1.095, 1.0779, 1.1284, 1.0837, 1.096, 1.0815, 1.1124, 1.0751, 1.0812, 1.1338]",223.8,1.0965,223.8,1.0965
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[695, 657, 632, 526, 688, 554, 608, 408, 639, 602]","[2.7148, 2.7605, 2.7598, 2.7684, 2.7194, 2.798, 2.7636, 2.6667, 2.7543, 2.7615]","[180, 167, 162, 136, 178, 139, 153, 108, 164, 152]","[0.7031, 0.7017, 0.7074, 0.7158, 0.7036, 0.702, 0.6955, 0.7059, 0.7069, 0.6972]",600.9,2.7467,153.9,0.70391
"First by Feld: 1.0, 0.5, 200,First by Anonymous","[10, 0, 0]","[501, 518, 421, 511, 428, 455, 410, 410, 393, 351]","[2.5303, 2.5268, 2.4335, 2.555, 2.4318, 2.4728, 2.426, 2.426, 2.411, 2.4207]","[361, 373, 331, 361, 333, 345, 320, 320, 308, 271]","[1.8232, 1.8195, 1.9133, 1.805, 1.892, 1.875, 1.8935, 1.8935, 1.8896, 1.869]",439.8,2.46339,332.3,1.86736
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[591, 739, 436, 724, 587, 666, 737, 596, 684, 548]","[2.8829, 2.8423, 2.7949, 2.8617, 2.9204, 2.8707, 2.8566, 2.8932, 2.8739, 2.8842]","[151, 189, 116, 184, 147, 166, 187, 151, 169, 143]","[0.7366, 0.7269, 0.7436, 0.7273, 0.7313, 0.7155, 0.7248, 0.733, 0.7101, 0.7526]",630.8,2.86808,160.3,0.73017
"First by Joss: 0.9,First by Joss: 0.9","[5, 5, 0]","[248, 176, 216, 174, 224, 175, 237, 244, 254, 256]","[1.0644, 1.0932, 1.0746, 1.0943, 1.0718, 1.0938, 1.0676, 1.0655, 1.0628, 1.0622]","[243, 171, 211, 169, 219, 170, 232, 239, 249, 251]","[1.0429, 1.0621, 1.0498, 1.0629, 1.0478, 1.0625, 1.045, 1.0437, 1.0418, 1.0415]",220.4,1.07502,215.4,1.05
"First by Nydegger,First by Nydegger","[0, 0, 10]","[765, 489, 693, 426, 453, 702, 627, 576, 426, 459]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[765, 489, 693, 426, 453, 702, 627, 576, 426, 459]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",561.6,3.0,561.6,3.0
"First by Joss: 0.9,First by Anonymous","[10, 0, 0]","[417, 469, 407, 481, 399, 488, 428, 545, 445, 447]","[2.3296, 2.3218, 2.3801, 2.3237, 2.375, 2.3238, 2.3516, 2.3491, 2.3177, 2.3041]","[367, 409, 352, 426, 344, 428, 368, 475, 390, 392]","[2.0503, 2.0248, 2.0585, 2.058, 2.0476, 2.0381, 2.022, 2.0474, 2.0312, 2.0206]",452.6,2.33765,395.1,2.03985
