,Cooperator,Defector,Tit For Tat
Cooperator,"[783, 732, 777, 657, 669, 717, 651, 405, 408, 390, 486, 447, 582, 771, 663, 501, 741, 657, 519, 348, 678, 822, 672, 819, 423, 447, 552, 645, 579, 501, 795, 411, 852, 522, 642, 393, 543, 585, 795, 507, 771, 750, 381, 516, 444, 615, 804, 357, 786, 780, 423, 510, 825, 693, 420, 531, 483, 399, 711, 735, 468, 510, 684, 528, 729, 777, 513, 855, 453, 681, 669, 609, 459, 666, 633, 747, 393, 627, 813, 684, 681, 555, 693, 390, 687, 441, 843, 588, 360, 393, 378, 345, 399, 633, 726, 381, 492, 630, 702, 789]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[492, 519, 651, 534, 450, 468, 711, 780, 717, 678, 546, 405, 495, 630, 813, 564, 636, 363, 552, 714, 513, 771, 708, 639, 798, 600, 387, 615, 711, 846, 651, 648, 795, 561, 372, 684, 639, 390, 555, 540, 618, 633, 402, 612, 384, 345, 417, 801, 579, 564, 789, 828, 582, 411, 708, 582, 486, 747, 597, 483, 555, 681, 555, 855, 582, 351, 348, 630, 750, 765, 435, 414, 384, 657, 528, 618, 855, 609, 408, 390, 759, 387, 750, 609, 471, 543, 822, 801, 423, 822, 567, 801, 723, 696, 363, 609, 522, 549, 648, 450]"
Defector,"[1305, 620, 960, 730, 920, 1365, 765, 635, 1090, 1070, 1005, 1020, 1335, 920, 735, 1040, 605, 1265, 1110, 725, 1265, 700, 930, 635, 1100, 840, 920, 610, 620, 965, 1370, 695, 1355, 725, 760, 580, 1245, 940, 1145, 830, 615, 1300, 1405, 725, 640, 1055, 815, 1240, 1105, 1265, 665, 865, 1275, 1120, 1375, 660, 620, 860, 980, 1205, 1235, 720, 955, 855, 1425, 865, 1160, 665, 630, 1255, 920, 845, 1215, 900, 630, 805, 855, 930, 1305, 900, 1080, 885, 1115, 1080, 770, 1290, 1125, 880, 1050, 1095, 1390, 1325, 755, 1060, 940, 595, 1210, 720, 990, 1375]","[215, 218, 140, 168, 257, 191, 262, 205, 261, 245, 202, 283, 132, 278, 144, 146, 150, 250, 263, 122, 242, 240, 264, 213, 215, 277, 165, 238, 162, 214, 186, 238, 160, 149, 193, 262, 169, 128, 207, 284, 116, 189, 131, 276, 138, 187, 278, 242, 146, 212, 253, 218, 126, 241, 155, 202, 153, 216, 247, 146, 235, 185, 156, 179, 145, 216, 179, 257, 231, 228, 225, 158, 233, 211, 156, 158, 226, 176, 180, 219, 133, 175, 212, 258, 139, 282, 164, 265, 142, 124, 188, 270, 283, 186, 208, 250, 268, 284, 198, 256]","[203, 232, 187, 152, 287, 234, 275, 234, 253, 122, 162, 255, 214, 242, 155, 119, 195, 249, 237, 125, 227, 263, 269, 271, 209, 195, 127, 205, 235, 235, 184, 227, 238, 127, 221, 247, 127, 285, 145, 194, 246, 151, 230, 286, 283, 186, 157, 199, 179, 129, 263, 175, 199, 285, 286, 228, 184, 200, 124, 189, 255, 177, 201, 165, 208, 220, 137, 182, 141, 175, 182, 132, 159, 207, 209, 135, 279, 139, 161, 194, 280, 174, 255, 207, 186, 249, 160, 269, 131, 267, 166, 182, 200, 205, 200, 181, 249, 197, 280, 277]"
Tit For Tat,"[492, 519, 651, 534, 450, 468, 711, 780, 717, 678, 546, 405, 495, 630, 813, 564, 636, 363, 552, 714, 513, 771, 708, 639, 798, 600, 387, 615, 711, 846, 651, 648, 795, 561, 372, 684, 639, 390, 555, 540, 618, 633, 402, 612, 384, 345, 417, 801, 579, 564, 789, 828, 582, 411, 708, 582, 486, 747, 597, 483, 555, 681, 555, 855, 582, 351, 348, 630, 750, 765, 435, 414, 384, 657, 528, 618, 855, 609, 408, 390, 759, 387, 750, 609, 471, 543, 822, 801, 423, 822, 567, 801, 723, 696, 363, 609, 522, 549, 648, 450]","[198, 227, 182, 147, 282, 229, 270, 229, 248, 117, 157, 250, 209, 237, 150, 114, 190, 244, 232, 120, 222, 258, 264, 266, 204, 190, 122, 200, 230, 230, 179, 222, 233, 122, 216, 242, 122, 280, 140, 189, 241, 146, 225, 281, 278, 181, 152, 194, 174, 124, 258, 170, 194, 280, 281, 223, 179, 195, 119, 184, 250, 172, 196, 160, 203, 215, 132, 177, 136, 170, 177, 127, 154, 202, 204, 130, 274, 134, 156, 189, 275, 169, 250, 202, 181, 244, 155, 264, 126, 262, 161, 177, 195, 200, 195, 176, 244, 192, 275, 272]","[741, 354, 402, 393, 714, 414, 735, 801, 372, 405, 405, 597, 390, 363, 576, 522, 816, 696, 675, 507, 747, 822, 621, 687, 480, 396, 474, 786, 369, 438, 498, 684, 642, 348, 636, 666, 813, 678, 732, 714, 819, 804, 825, 498, 699, 462, 609, 486, 480, 480, 687, 516, 432, 678, 714, 837, 630, 426, 834, 387, 804, 621, 849, 465, 810, 783, 534, 573, 642, 429, 504, 558, 471, 504, 426, 729, 696, 846, 435, 711, 381, 786, 789, 348, 789, 630, 795, 624, 447, 840, 645, 780, 582, 648, 762, 834, 369, 519, 369, 501]"
