,utility_vectors inverse main diagonal
Cooperator,"[783, 732, 777, 657, 669, 717, 651, 405, 408, 390, 486, 447, 582, 771, 663, 501, 741, 657, 519, 348, 678, 822, 672, 819, 423, 447, 552, 645, 579, 501, 795, 411, 852, 522, 642, 393, 543, 585, 795, 507, 771, 750, 381, 516, 444, 615, 804, 357, 786, 780, 423, 510, 825, 693, 420, 531, 483, 399, 711, 735, 468, 510, 684, 528, 729, 777, 513, 855, 453, 681, 669, 609, 459, 666, 633, 747, 393, 627, 813, 684, 681, 555, 693, 390, 687, 441, 843, 588, 360, 393, 378, 345, 399, 633, 726, 381, 492, 630, 702, 789]"
Defector,"[215, 218, 140, 168, 257, 191, 262, 205, 261, 245, 202, 283, 132, 278, 144, 146, 150, 250, 263, 122, 242, 240, 264, 213, 215, 277, 165, 238, 162, 214, 186, 238, 160, 149, 193, 262, 169, 128, 207, 284, 116, 189, 131, 276, 138, 187, 278, 242, 146, 212, 253, 218, 126, 241, 155, 202, 153, 216, 247, 146, 235, 185, 156, 179, 145, 216, 179, 257, 231, 228, 225, 158, 233, 211, 156, 158, 226, 176, 180, 219, 133, 175, 212, 258, 139, 282, 164, 265, 142, 124, 188, 270, 283, 186, 208, 250, 268, 284, 198, 256]"
Tit For Tat,"[741, 354, 402, 393, 714, 414, 735, 801, 372, 405, 405, 597, 390, 363, 576, 522, 816, 696, 675, 507, 747, 822, 621, 687, 480, 396, 474, 786, 369, 438, 498, 684, 642, 348, 636, 666, 813, 678, 732, 714, 819, 804, 825, 498, 699, 462, 609, 486, 480, 480, 687, 516, 432, 678, 714, 837, 630, 426, 834, 387, 804, 621, 849, 465, 810, 783, 534, 573, 642, 429, 504, 558, 471, 504, 426, 729, 696, 846, 435, 711, 381, 786, 789, 348, 789, 630, 795, 624, 447, 840, 645, 780, 582, 648, 762, 834, 369, 519, 369, 501]"
