,utility_vectors inverse main diagonal
Cooperator,"[624, 591, 585, 651, 615, 588, 600, 555, 576, 600]"
Defector,"[202, 219, 220, 206, 182, 181, 216, 205, 201, 217]"
Tit For Tat,"[570, 561, 618, 555, 576, 648, 609, 567, 651, 645]"
