,Cooperator,Defector,Tit For Tat
Cooperator,"[624, 591, 585, 651, 615, 588, 600, 555, 576, 600]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[636, 579, 627, 567, 576, 555, 600, 657, 612, 588]"
Defector,"[935, 1080, 970, 960, 1035, 1065, 945, 960, 1045, 1060]","[202, 219, 220, 206, 182, 181, 216, 205, 201, 217]","[217, 196, 217, 206, 203, 195, 220, 213, 199, 224]"
Tit For Tat,"[636, 579, 627, 567, 576, 555, 600, 657, 612, 588]","[212, 191, 212, 201, 198, 190, 215, 208, 194, 219]","[570, 561, 618, 555, 576, 648, 609, 567, 651, 645]"
