,utility_vectors inverse main diagonal
Cooperator,"[564, 366, 747, 414, 393, 510, 483, 375, 669, 516, 837, 693, 414, 678, 525, 561, 759, 576, 600, 603, 678, 402, 867, 366, 471, 441, 339, 513, 387, 534, 588, 420, 762, 837, 372, 420, 744, 594, 444, 609, 528, 645, 864, 483, 354, 681, 393, 831, 531, 735, 435, 714, 723, 804, 453, 417, 354, 795, 672, 702, 663, 834, 576, 381, 705, 795, 441, 534, 816, 711, 411, 360, 603, 345, 465, 519, 657, 522, 366, 558, 453, 723, 771, 363, 846, 714, 693, 423, 513, 492, 369, 372, 657, 450, 330, 585, 603, 468, 525, 660]"
Defector,"[204, 248, 116, 262, 262, 114, 288, 217, 190, 211, 209, 125, 266, 281, 151, 280, 110, 118, 198, 288, 235, 125, 261, 186, 273, 167, 187, 150, 110, 269, 164, 268, 240, 250, 130, 263, 110, 190, 235, 120, 268, 163, 287, 185, 269, 234, 152, 243, 181, 159, 194, 143, 164, 154, 274, 156, 201, 243, 121, 249, 224, 207, 160, 138, 159, 281, 253, 183, 249, 156, 254, 262, 157, 173, 263, 253, 160, 199, 180, 289, 274, 138, 280, 199, 117, 170, 140, 257, 213, 200, 184, 198, 267, 148, 216, 212, 254, 240, 206, 284]"
Tit For Tat,"[348, 810, 624, 654, 609, 354, 792, 441, 774, 618, 813, 441, 864, 408, 582, 534, 735, 780, 525, 414, 798, 774, 864, 864, 375, 342, 507, 759, 426, 681, 522, 714, 828, 594, 831, 762, 441, 777, 471, 600, 636, 843, 750, 450, 816, 585, 690, 555, 603, 417, 846, 543, 414, 420, 783, 486, 645, 393, 645, 555, 636, 531, 393, 861, 405, 453, 333, 681, 537, 450, 597, 720, 330, 357, 414, 627, 459, 387, 762, 591, 330, 345, 573, 711, 621, 441, 606, 336, 708, 414, 795, 387, 570, 759, 558, 369, 675, 450, 666, 720]"
