P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[447, 771, 570, 663, 540, 771, 438, 594, 711, 696]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[447, 771, 570, 663, 540, 771, 438, 594, 711, 696]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",620.1,3.0,620.1,3.0
"First by Grofman,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[320, 372, 419, 373, 485, 397, 461, 373, 450, 451]","[2.1769, 2.1503, 2.0846, 2.1314, 1.917, 2.1005, 1.8971, 2.1193, 1.9397, 1.9274]","[415, 477, 554, 483, 705, 522, 681, 488, 645, 651]","[2.8231, 2.7572, 2.7562, 2.76, 2.7866, 2.7619, 2.8025, 2.7727, 2.7802, 2.7821]",410.1,2.04442,562.1,2.77825
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[763, 460, 547, 703, 460, 526, 664, 526, 706, 625]","[2.9805, 2.9677, 2.9728, 2.9788, 2.9677, 2.9718, 2.9776, 2.9718, 2.9789, 2.9762]","[768, 465, 552, 708, 465, 531, 669, 531, 711, 630]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",598.0,2.97438,603.0,3.0
"First by Grofman,First by Tullock","[7, 2, 1]","[646, 499, 573, 493, 520, 618, 410, 406, 620, 525]","[2.5234, 2.712, 2.7156, 2.7088, 2.7225, 2.6076, 2.7891, 2.8194, 2.5726, 2.7202]","[671, 494, 553, 488, 515, 618, 385, 376, 630, 520]","[2.6211, 2.6848, 2.6209, 2.6813, 2.6963, 2.6076, 2.619, 2.6111, 2.6141, 2.6943]",531.0,2.68912,525.0,2.64505
"Tit For Tat,First by Nydegger","[0, 0, 10]","[531, 723, 660, 717, 618, 423, 717, 558, 657, 426]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[531, 723, 660, 717, 618, 423, 717, 558, 657, 426]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",603.0,3.0,603.0,3.0
"First by Grofman,Random: 0.5","[0, 10, 0]","[424, 478, 444, 333, 415, 333, 468, 412, 394, 339]","[2.1307, 1.9834, 2.0748, 2.22, 2.1173, 2.22, 2.0348, 2.1128, 2.1648, 2.2303]","[499, 628, 544, 358, 490, 358, 593, 487, 449, 359]","[2.5075, 2.6058, 2.5421, 2.3867, 2.5, 2.3867, 2.5783, 2.4974, 2.467, 2.3618]",404.0,2.12889,476.5,2.48333
"Tit For Tat,First by Grofman","[0, 0, 10]","[654, 678, 765, 504, 723, 690, 717, 672, 531, 684]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[654, 678, 765, 504, 723, 690, 717, 672, 531, 684]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",661.8,3.0,661.8,3.0
"First by Shubik,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[454, 595, 568, 580, 523, 562, 502, 592, 487, 508]","[2.9673, 2.975, 2.9738, 2.9744, 2.9716, 2.9735, 2.9704, 2.9749, 2.9695, 2.9708]","[459, 600, 573, 585, 528, 567, 507, 597, 492, 513]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",537.1,2.97212,542.1,3.0
"Tit For Tat,First by Shubik","[0, 0, 10]","[708, 537, 459, 585, 552, 465, 753, 660, 573, 699]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[708, 537, 459, 585, 552, 465, 753, 660, 573, 699]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",599.1,3.0,599.1,3.0
"First by Shubik,First by Graaskamp: 0.05","[10, 0, 0]","[723, 606, 700, 679, 481, 695, 611, 717, 679, 689]","[3.0506, 3.4828, 3.3019, 3.5737, 3.3636, 3.3575, 3.4914, 3.1039, 3.5737, 3.4279]","[413, 346, 380, 354, 311, 375, 346, 407, 354, 369]","[1.7426, 1.9885, 1.7925, 1.8632, 2.1748, 1.8116, 1.9771, 1.7619, 1.8632, 1.8358]",658.0,3.3727,365.5,1.88112
