P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[576, 663, 693, 684, 567, 561, 693, 711, 603, 486]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[576, 663, 693, 684, 567, 561, 693, 711, 603, 486]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",623.7,3.0,623.7,3.0
"First by Grofman,First by Downing","[0, 10, 0]","[91, 105, 100, 97, 106, 68, 74, 91, 92, 98]","[0.4596, 0.4468, 0.4505, 0.4512, 0.4492, 0.4755, 0.4744, 0.4619, 0.46, 0.4516]","[661, 790, 745, 722, 791, 478, 519, 656, 667, 728]","[3.3384, 3.3617, 3.3559, 3.3581, 3.3517, 3.3427, 3.3269, 3.3299, 3.335, 3.3548]",92.2,0.45807,675.7,3.34551
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[505, 649, 601, 607, 649, 754, 748, 769, 622, 565]","[2.9706, 2.9771, 2.9752, 2.9755, 2.9771, 2.9802, 2.9801, 2.9806, 2.9761, 2.9737]","[510, 654, 606, 612, 654, 759, 753, 774, 627, 570]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",646.9,2.97662,651.9,3.0
"First by Grofman,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[500, 324, 449, 506, 355, 366, 356, 330, 473, 446]","[2.0161, 2.2817, 2.0409, 2.0159, 2.1914, 2.1279, 2.1707, 2.2297, 2.0655, 2.0365]","[695, 399, 614, 701, 460, 491, 466, 420, 638, 611]","[2.8024, 2.8099, 2.7909, 2.7928, 2.8395, 2.8547, 2.8415, 2.8378, 2.786, 2.79]",410.5,2.11763,549.5,2.81455
"Tit For Tat,First by Nydegger","[0, 0, 10]","[699, 693, 459, 699, 513, 588, 597, 624, 459, 429]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[699, 693, 459, 699, 513, 588, 597, 624, 459, 429]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",576.0,3.0,576.0,3.0
"First by Grofman,First by Joss: 0.9","[0, 10, 0]","[459, 475, 356, 528, 389, 362, 512, 398, 509, 392]","[2.3906, 2.3632, 2.4054, 2.3784, 2.4465, 2.4133, 2.3704, 2.4417, 2.3674, 2.4348]","[539, 570, 416, 628, 449, 422, 612, 463, 609, 457]","[2.8073, 2.8358, 2.8108, 2.8288, 2.8239, 2.8133, 2.8333, 2.8405, 2.8326, 2.8385]",438.0,2.40117,516.5,2.82648
"Tit For Tat,First by Grofman","[0, 0, 10]","[579, 675, 561, 705, 621, 546, 696, 450, 771, 483]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[579, 675, 561, 705, 621, 546, 696, 450, 771, 483]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",608.7,3.0,608.7,3.0
"First by Grofman,First by Anonymous","[0, 10, 0]","[476, 471, 405, 482, 363, 339, 273, 451, 307, 287]","[1.8889, 1.8992, 1.8664, 1.8902, 1.8333, 1.8324, 1.8446, 1.8792, 1.8383, 1.828]","[726, 716, 625, 737, 578, 544, 433, 696, 492, 467]","[2.881, 2.8871, 2.8802, 2.8902, 2.9192, 2.9405, 2.9257, 2.9, 2.9461, 2.9745]",385.4,1.86005,601.4,2.91445
"Tit For Tat,First by Shubik","[0, 0, 10]","[522, 501, 645, 537, 576, 531, 609, 624, 765, 492]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[522, 501, 645, 537, 576, 531, 609, 624, 765, 492]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",580.2,3.0,580.2,3.0
"First by Shubik,First by Shubik","[0, 0, 10]","[465, 429, 516, 762, 489, 519, 714, 699, 576, 450]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[465, 429, 516, 762, 489, 519, 714, 699, 576, 450]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",561.9,3.0,561.9,3.0
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[469, 655, 448, 430, 709, 592, 430, 748, 457, 745]","[2.9684, 2.9773, 2.9669, 2.9655, 2.979, 2.9749, 2.9655, 2.9801, 2.9675, 2.98]","[474, 660, 453, 435, 714, 597, 435, 753, 462, 750]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",568.3,2.9725099999999998,573.3,3.0
"First by Shubik,Grudger","[0, 0, 10]","[777, 753, 756, 645, 750, 552, 699, 456, 606, 495]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[777, 753, 756, 645, 750, 552, 699, 456, 606, 495]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",648.9,3.0,648.9,3.0
"Tit For Tat,Grudger","[0, 0, 10]","[594, 528, 462, 498, 627, 516, 624, 651, 753, 762]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[594, 528, 462, 498, 627, 516, 624, 651, 753, 762]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",601.5,3.0,601.5,3.0
"First by Shubik,First by Davis: 10","[0, 0, 10]","[606, 486, 708, 639, 705, 654, 531, 669, 534, 585]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[606, 486, 708, 639, 705, 654, 531, 669, 534, 585]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",611.7,3.0,611.7,3.0
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[675, 711, 732, 741, 459, 600, 546, 432, 426, 495]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[675, 711, 732, 741, 459, 600, 546, 432, 426, 495]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",581.7,3.0,581.7,3.0
"First by Shubik,First by Downing","[0, 10, 0]","[284, 194, 280, 307, 247, 193, 312, 254, 275, 282]","[1.2456, 1.3472, 1.25, 1.2379, 1.3069, 1.3497, 1.2332, 1.2893, 1.2557, 1.2478]","[304, 204, 300, 327, 257, 203, 332, 269, 295, 302]","[1.3333, 1.4167, 1.3393, 1.3185, 1.3598, 1.4196, 1.3123, 1.3655, 1.347, 1.3363]",262.8,1.27633,279.3,1.35483
"Tit For Tat,First by Graaskamp: 0.05","[0, 3, 7]","[645, 395, 525, 650, 480, 435, 555, 380, 555, 385]","[2.6008, 2.6689, 2.625, 2.5896, 2.623, 2.6364, 2.6179, 2.6761, 2.6179, 2.6736]","[645, 395, 525, 655, 485, 440, 555, 380, 555, 385]","[2.6008, 2.6689, 2.625, 2.6096, 2.6503, 2.6667, 2.6179, 2.6761, 2.6179, 2.6736]",500.5,2.63292,502.0,2.64068
"First by Shubik,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[219, 315, 239, 248, 269, 326, 315, 321, 293, 261]","[1.4129, 1.2702, 1.358, 1.3333, 1.3186, 1.2587, 1.2702, 1.2638, 1.3022, 1.305]","[224, 335, 249, 263, 284, 346, 335, 341, 308, 281]","[1.4452, 1.3508, 1.4148, 1.414, 1.3922, 1.3359, 1.3508, 1.3425, 1.3689, 1.405]",280.6,1.30929,296.6,1.38201
"Tit For Tat,First by Downing","[0, 0, 10]","[612, 528, 681, 624, 492, 597, 441, 426, 669, 501]","[2.9854, 2.9831, 2.9868, 2.9856, 2.9818, 2.985, 2.9797, 2.979, 2.9866, 2.9821]","[612, 528, 681, 624, 492, 597, 441, 426, 669, 501]","[2.9854, 2.9831, 2.9868, 2.9856, 2.9818, 2.985, 2.9797, 2.979, 2.9866, 2.9821]",557.1,2.98351,557.1,2.98351
"First by Shubik,First by Joss: 0.9","[0, 10, 0]","[214, 282, 302, 217, 191, 232, 305, 225, 246, 188]","[1.297, 1.2368, 1.2327, 1.2917, 1.3172, 1.2609, 1.2298, 1.2712, 1.2615, 1.3239]","[224, 297, 317, 227, 201, 247, 320, 240, 261, 198]","[1.3576, 1.3026, 1.2939, 1.3512, 1.3862, 1.3424, 1.2903, 1.3559, 1.3385, 1.3944]",240.2,1.27227,253.2,1.3413
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[247, 261, 242, 225, 273, 224, 285, 205, 219, 221]","[1.3, 1.2794, 1.3081, 1.3393, 1.2639, 1.3413, 1.25, 1.3851, 1.3519, 1.3476]","[252, 266, 247, 230, 278, 229, 290, 210, 224, 226]","[1.3263, 1.3039, 1.3351, 1.369, 1.287, 1.3713, 1.2719, 1.4189, 1.3827, 1.378]",240.2,1.31666,245.2,1.3444099999999999
