P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Shubik,First by Tullock","[0, 10, 0]","[290, 296, 211, 229, 271, 300, 246, 240, 311, 271]","[1.2236, 1.2131, 1.3701, 1.3237, 1.2431, 1.2097, 1.288, 1.2973, 1.1962, 1.2488]","[365, 376, 266, 289, 346, 380, 311, 305, 396, 341]","[1.5401, 1.541, 1.7273, 1.6705, 1.5872, 1.5323, 1.6283, 1.6486, 1.5231, 1.5714]",266.5,1.26136,337.5,1.59698
"Tit For Tat,First by Joss: 0.9","[0, 10, 0]","[246, 297, 297, 249, 209, 235, 260, 263, 240, 262]","[1.3743, 1.2913, 1.2913, 1.3681, 1.4718, 1.3988, 1.3472, 1.3418, 1.3873, 1.3436]","[251, 302, 302, 254, 214, 240, 265, 268, 245, 267]","[1.4022, 1.313, 1.313, 1.3956, 1.507, 1.4286, 1.3731, 1.3673, 1.4162, 1.3692]",255.8,1.36155,260.8,1.38852
"First by Shubik,First by Anonymous","[10, 0, 0]","[488, 498, 395, 439, 667, 663, 670, 641, 460, 403]","[2.7263, 2.7514, 2.7431, 2.7267, 2.7224, 2.751, 2.7016, 2.7277, 2.6901, 2.723]","[203, 203, 175, 189, 267, 263, 270, 261, 200, 178]","[1.1341, 1.1215, 1.2153, 1.1739, 1.0898, 1.0913, 1.0887, 1.1106, 1.1696, 1.2027]",532.4,2.72633,220.9,1.13975
"Tit For Tat,First by Tullock","[0, 10, 0]","[213, 286, 301, 258, 212, 283, 294, 213, 210, 269]","[1.4392, 1.2941, 1.2754, 1.3368, 1.4422, 1.2982, 1.2838, 1.4392, 1.4483, 1.3186]","[218, 291, 306, 263, 217, 288, 299, 218, 215, 274]","[1.473, 1.3167, 1.2966, 1.3627, 1.4762, 1.3211, 1.3057, 1.473, 1.4828, 1.3431]",253.9,1.35758,258.9,1.38509
"First by Shubik,Random: 0.5","[10, 0, 0]","[640, 444, 627, 391, 736, 633, 485, 543, 737, 543]","[2.8959, 2.8645, 2.9028, 2.7929, 2.9206, 2.9037, 2.8698, 2.8883, 2.913, 2.8883]","[250, 189, 247, 181, 271, 248, 205, 218, 272, 218]","[1.1312, 1.2194, 1.1435, 1.2929, 1.0754, 1.1376, 1.213, 1.1596, 1.0751, 1.1596]",577.9,2.88398,229.9,1.16073
"Tit For Tat,First by Anonymous","[0, 5, 5]","[494, 543, 451, 393, 326, 581, 458, 499, 519, 437]","[2.2353, 2.2625, 2.2778, 2.2717, 2.2329, 2.2432, 2.2562, 2.2477, 2.2565, 2.2526]","[499, 543, 451, 393, 331, 586, 463, 499, 519, 442]","[2.2579, 2.2625, 2.2778, 2.2717, 2.2671, 2.2625, 2.2808, 2.2477, 2.2565, 2.2784]",470.1,2.25364,472.6,2.26629
"First by Stein and Rapoport: 0.05: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[485, 755, 626, 497, 719, 743, 632, 590, 659, 470]","[2.9755, 2.9842, 2.981, 2.976, 2.9834, 2.9839, 2.9811, 2.9798, 2.9819, 2.9747]","[485, 755, 626, 497, 719, 743, 632, 590, 659, 470]","[2.9755, 2.9842, 2.981, 2.976, 2.9834, 2.9839, 2.9811, 2.9798, 2.9819, 2.9747]",617.6,2.98015,617.6,2.98015
"Tit For Tat,Random: 0.5","[0, 4, 6]","[508, 475, 438, 462, 381, 573, 336, 448, 511, 580]","[2.2578, 2.2196, 2.2234, 2.2427, 2.2544, 2.2559, 2.2252, 2.2178, 2.2611, 2.2481]","[508, 480, 438, 462, 381, 578, 336, 453, 511, 585]","[2.2578, 2.243, 2.2234, 2.2427, 2.2544, 2.2756, 2.2252, 2.2426, 2.2611, 2.2674]",471.2,2.2406,473.2,2.24932
"First by Stein and Rapoport: 0.05: (D, D),First by Davis: 10","[10, 0, 0]","[423, 516, 639, 549, 543, 495, 525, 636, 747, 558]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[418, 511, 634, 544, 538, 490, 520, 631, 742, 553]","[2.9645, 2.9709, 2.9765, 2.9727, 2.9724, 2.9697, 2.9714, 2.9764, 2.9799, 2.9731]",563.1,3.0,558.1,2.97275
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[527, 662, 509, 614, 539, 587, 611, 470, 671, 446]","[2.9774, 2.982, 2.9766, 2.9806, 2.9779, 2.9797, 2.9805, 2.9747, 2.9822, 2.9733]","[527, 662, 509, 614, 539, 587, 611, 470, 671, 446]","[2.9774, 2.982, 2.9766, 2.9806, 2.9779, 2.9797, 2.9805, 2.9747, 2.9822, 2.9733]",563.6,2.97849,563.6,2.97849
"First by Stein and Rapoport: 0.05: (D, D),First by Downing","[10, 0, 0]","[508, 512, 426, 520, 517, 606, 597, 530, 603, 539]","[2.5025, 2.4734, 2.4624, 2.4186, 2.4387, 2.3308, 2.323, 2.3982, 2.3282, 2.3435]","[223, 227, 206, 235, 232, 301, 292, 240, 298, 249]","[1.0985, 1.0966, 1.1908, 1.093, 1.0943, 1.1577, 1.1362, 1.086, 1.1506, 1.0826]",535.8,2.40193,250.3,1.11863
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[724, 784, 469, 763, 754, 706, 523, 652, 469, 622]","[3.0167, 3.0154, 3.0258, 3.0158, 3.016, 3.0171, 3.0231, 3.0185, 3.0258, 3.0194]","[714, 774, 459, 753, 744, 696, 513, 642, 459, 612]","[2.975, 2.9769, 2.9613, 2.9763, 2.976, 2.9744, 2.9653, 2.9722, 2.9613, 2.9709]",646.6,3.01936,636.6,2.97096
"First by Stein and Rapoport: 0.05: (D, D),First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[323, 241, 268, 276, 277, 272, 235, 308, 228, 307]","[1.2869, 1.426, 1.3673, 1.3529, 1.3512, 1.36, 1.4417, 1.3051, 1.4615, 1.3064]","[328, 246, 273, 281, 282, 277, 240, 313, 233, 312]","[1.3068, 1.4556, 1.3929, 1.3775, 1.3756, 1.385, 1.4724, 1.3263, 1.4936, 1.3277]",273.5,1.3659,278.5,1.39134
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[666, 543, 537, 762, 714, 513, 666, 633, 528, 735]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[661, 538, 532, 757, 709, 508, 661, 628, 523, 730]","[2.9775, 2.9724, 2.9721, 2.9803, 2.979, 2.9708, 2.9775, 2.9763, 2.9716, 2.9796]",629.7,3.0,624.7,2.9757100000000003
"First by Stein and Rapoport: 0.05: (D, D),First by Joss: 0.9","[0, 10, 0]","[246, 304, 252, 311, 238, 318, 205, 252, 247, 269]","[1.3085, 1.2358, 1.299, 1.2292, 1.3222, 1.2231, 1.3946, 1.299, 1.3069, 1.2749]","[256, 314, 262, 321, 248, 328, 215, 262, 257, 279]","[1.3617, 1.2764, 1.3505, 1.2688, 1.3778, 1.2615, 1.4626, 1.3505, 1.3598, 1.3223]",264.2,1.28932,274.2,1.3391899999999999
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[768, 648, 609, 645, 702, 573, 747, 711, 555, 558]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[763, 643, 604, 640, 697, 568, 742, 706, 550, 553]","[2.9805, 2.9769, 2.9754, 2.9767, 2.9786, 2.9738, 2.9799, 2.9789, 2.973, 2.9731]",651.6,3.0,646.6,2.97668
"First by Stein and Rapoport: 0.05: (D, D),First by Tullock","[0, 10, 0]","[349, 312, 342, 328, 359, 400, 318, 376, 285, 291]","[1.686, 1.8353, 1.71, 1.7634, 1.6544, 1.5504, 1.8068, 1.6068, 1.993, 1.953]","[354, 317, 347, 333, 364, 405, 323, 381, 290, 296]","[1.7101, 1.8647, 1.735, 1.7903, 1.6774, 1.5698, 1.8352, 1.6282, 2.028, 1.9866]",336.0,1.75591,341.0,1.78253
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[671, 776, 689, 629, 737, 575, 713, 419, 572, 503]","[2.9822, 2.9846, 2.9827, 2.981, 2.9838, 2.9793, 2.9833, 2.9716, 2.9792, 2.9763]","[671, 776, 689, 629, 737, 575, 713, 419, 572, 503]","[2.9822, 2.9846, 2.9827, 2.981, 2.9838, 2.9793, 2.9833, 2.9716, 2.9792, 2.9763]",628.4,2.9804,628.4,2.9804
"First by Stein and Rapoport: 0.05: (D, D),First by Anonymous","[10, 0, 0]","[732, 577, 401, 409, 569, 632, 572, 511, 696, 495]","[2.8482, 2.801, 2.8239, 2.8014, 2.8168, 2.8597, 2.7902, 2.8389, 2.8408, 2.8125]","[172, 147, 111, 114, 144, 152, 147, 131, 166, 130]","[0.6693, 0.7136, 0.7817, 0.7808, 0.7129, 0.6878, 0.7171, 0.7278, 0.6776, 0.7386]",559.4,2.82334,141.4,0.72072
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[486, 528, 426, 525, 528, 507, 588, 696, 453, 534]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[481, 523, 421, 520, 523, 502, 583, 691, 448, 529]","[2.9691, 2.9716, 2.9648, 2.9714, 2.9716, 2.9704, 2.9745, 2.9784, 2.9669, 2.9719]",527.1,3.0,522.1,2.97106
"First by Stein and Rapoport: 0.05: (D, D),Random: 0.5","[10, 0, 0]","[669, 620, 453, 713, 473, 554, 659, 706, 517, 495]","[2.9866, 2.9384, 2.9803, 2.9708, 2.9562, 2.8705, 2.9685, 2.9789, 2.9375, 2.9118]","[144, 140, 108, 153, 113, 134, 144, 151, 122, 120]","[0.6429, 0.6635, 0.7105, 0.6375, 0.7063, 0.6943, 0.6486, 0.6371, 0.6932, 0.7059]",585.9,2.94995,132.9,0.67398
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[582, 540, 711, 561, 756, 462, 486, 576, 654, 588]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[577, 535, 706, 556, 751, 457, 481, 571, 649, 583]","[2.9742, 2.9722, 2.9789, 2.9733, 2.9802, 2.9675, 2.9691, 2.974, 2.9771, 2.9745]",591.6,3.0,586.6,2.9741
"Grudger,Grudger","[0, 0, 10]","[576, 552, 747, 732, 606, 633, 738, 516, 693, 591]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[576, 552, 747, 732, 606, 633, 738, 516, 693, 591]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",638.4,3.0,638.4,3.0
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[601, 574, 607, 723, 583, 760, 482, 511, 548, 467]","[2.99, 2.9896, 2.9755, 2.9753, 2.9897, 2.9921, 2.9938, 2.9883, 2.9945, 3.0129]","[556, 529, 567, 673, 538, 700, 442, 471, 503, 422]","[2.7662, 2.7552, 2.7794, 2.7695, 2.759, 2.7559, 2.7453, 2.7544, 2.7486, 2.7226]",585.6,2.99017,540.1,2.75561
"Grudger,First by Davis: 10","[0, 0, 10]","[471, 423, 540, 705, 507, 621, 615, 585, 684, 726]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[471, 423, 540, 705, 507, 621, 615, 585, 684, 726]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",587.7,3.0,587.7,3.0
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[220, 257, 185, 173, 250, 211, 243, 270, 200, 281]","[1.1765, 1.1473, 1.2171, 1.2357, 1.1521, 1.1854, 1.1571, 1.1392, 1.1976, 1.1331]","[190, 227, 155, 143, 220, 181, 213, 240, 170, 251]","[1.016, 1.0134, 1.0197, 1.0214, 1.0138, 1.0169, 1.0143, 1.0127, 1.018, 1.0121]",229.0,1.17411,199.0,1.01583
"Grudger,First by Graaskamp: 0.05","[10, 0, 0]","[362, 421, 381, 371, 363, 415, 348, 443, 367, 352]","[2.3355, 1.9673, 2.1897, 2.2622, 2.3269, 1.9952, 2.4681, 1.8771, 2.2938, 2.4276]","[232, 291, 251, 241, 233, 285, 218, 313, 237, 222]","[1.4968, 1.3598, 1.4425, 1.4695, 1.4936, 1.3702, 1.5461, 1.3263, 1.4812, 1.531]",382.3,2.21434,252.3,1.4517
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[285, 251, 329, 268, 293, 252, 256, 332, 319, 263]","[1.3507, 1.4181, 1.2902, 1.3814, 1.3379, 1.4157, 1.4066, 1.2868, 1.302, 1.3915]","[285, 251, 329, 268, 293, 252, 256, 332, 319, 263]","[1.3507, 1.4181, 1.2902, 1.3814, 1.3379, 1.4157, 1.4066, 1.2868, 1.302, 1.3915]",284.8,1.35809,284.8,1.35809
"First by Davis: 10,First by Graaskamp: 0.05","[10, 0, 0]","[384, 416, 413, 420, 459, 395, 445, 451, 371, 376]","[2.2197, 2.0293, 2.0446, 2.0096, 1.8508, 2.1467, 1.9017, 1.8792, 2.3188, 2.2788]","[249, 281, 278, 285, 324, 260, 310, 316, 236, 241]","[1.4393, 1.3707, 1.3762, 1.3636, 1.3065, 1.413, 1.3248, 1.3167, 1.475, 1.4606]",413.0,2.06792,278.0,1.38464
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 0, 10]","[264, 276, 213, 282, 224, 202, 198, 178, 238, 228]","[1.1092, 1.104, 1.139, 1.1016, 1.1313, 1.1477, 1.1512, 1.1711, 1.1226, 1.1287]","[264, 276, 213, 282, 224, 202, 198, 178, 238, 228]","[1.1092, 1.104, 1.139, 1.1016, 1.1313, 1.1477, 1.1512, 1.1711, 1.1226, 1.1287]",230.3,1.13064,230.3,1.13064
"First by Graaskamp: 0.05,First by Downing","[10, 0, 0]","[570, 779, 449, 489, 675, 576, 762, 617, 701, 695]","[3.1492, 3.1667, 3.1181, 3.1346, 3.1542, 3.1475, 3.1618, 3.148, 3.1577, 3.1591]","[495, 669, 399, 429, 585, 501, 657, 537, 606, 600]","[2.7348, 2.7195, 2.7708, 2.75, 2.7336, 2.7377, 2.7261, 2.7398, 2.7297, 2.7273]",631.3,3.14969,547.8,2.73693
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[10, 0, 0]","[316, 269, 242, 258, 248, 233, 327, 248, 326, 265]","[1.3621, 1.4541, 1.5316, 1.4828, 1.5122, 1.5638, 1.3457, 1.5122, 1.3471, 1.4641]","[301, 254, 227, 243, 233, 218, 312, 233, 311, 250]","[1.2974, 1.373, 1.4367, 1.3966, 1.4207, 1.4631, 1.284, 1.4207, 1.2851, 1.3812]",273.2,1.45757,258.2,1.37585
"First by Graaskamp: 0.05,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[294, 303, 221, 307, 210, 274, 253, 259, 291, 219]","[1.225, 1.2169, 1.3234, 1.2134, 1.3462, 1.2455, 1.2714, 1.2634, 1.2278, 1.3273]","[299, 308, 226, 312, 215, 279, 258, 264, 296, 224]","[1.2458, 1.2369, 1.3533, 1.2332, 1.3782, 1.2682, 1.2965, 1.2878, 1.2489, 1.3576]",263.1,1.26603,268.1,1.29064
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[487, 553, 698, 781, 493, 575, 783, 551, 743, 779]","[2.9695, 3.0385, 3.0614, 3.0627, 2.9699, 3.0585, 3.0467, 3.0611, 3.083, 3.0791]","[172, 178, 208, 221, 173, 180, 223, 176, 213, 219]","[1.0488, 0.978, 0.9123, 0.8667, 1.0422, 0.9574, 0.8677, 0.9778, 0.8838, 0.8656]",644.3,3.04304,196.3,0.94003
"First by Graaskamp: 0.05,First by Tullock","[0, 0, 10]","[252, 341, 249, 237, 322, 271, 242, 294, 343, 254]","[1.4911, 1.3217, 1.5, 1.539, 1.3473, 1.4415, 1.522, 1.3934, 1.3192, 1.4854]","[252, 341, 249, 237, 322, 271, 242, 294, 343, 254]","[1.4911, 1.3217, 1.5, 1.539, 1.3473, 1.4415, 1.522, 1.3934, 1.3192, 1.4854]",280.5,1.43606,280.5,1.43606
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[680, 739, 448, 476, 494, 616, 437, 523, 601, 748]","[2.906, 2.9209, 2.9281, 2.8848, 2.8391, 2.892, 2.9133, 2.8579, 2.8756, 2.9105]","[185, 194, 118, 126, 149, 171, 117, 153, 166, 203]","[0.7906, 0.7668, 0.7712, 0.7636, 0.8563, 0.8028, 0.78, 0.8361, 0.7943, 0.7899]",576.2,2.89282,158.2,0.79516
"First by Graaskamp: 0.05,Random: 0.5","[10, 0, 0]","[559, 655, 457, 427, 703, 569, 694, 503, 635, 742]","[2.7811, 2.8603, 2.7365, 2.7197, 2.8233, 2.803, 2.8443, 2.779, 2.8733, 2.8538]","[199, 210, 182, 177, 223, 199, 219, 188, 205, 227]","[0.99, 0.917, 1.0898, 1.1274, 0.8956, 0.9803, 0.8975, 1.0387, 0.9276, 0.8731]",594.4,2.80743,202.9,0.9737
"First by Nydegger,First by Nydegger","[0, 0, 10]","[582, 549, 723, 618, 459, 474, 696, 438, 648, 762]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[582, 549, 723, 618, 459, 474, 696, 438, 648, 762]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",594.9,3.0,594.9,3.0
"First by Downing,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[495, 417, 390, 519, 420, 507, 519, 444, 516, 519]","[2.1064, 2.3427, 2.3636, 2.0273, 2.2826, 2.0779, 2.0433, 2.1872, 2.0476, 2.0433]","[840, 607, 560, 929, 635, 877, 919, 714, 911, 919]","[3.5745, 3.4101, 3.3939, 3.6289, 3.4511, 3.5943, 3.6181, 3.5172, 3.6151, 3.6181]",474.6,2.15219,791.1,3.54213
