,utility_vectors inverse main diagonal
Cooperator,"[483, 372, 834, 615, 570, 315, 615, 579, 324, 819, 789, 771, 741, 684, 672, 675, 378, 837, 603, 693, 414, 900, 795, 438, 498, 771, 321, 681, 561, 630, 870, 441, 639, 486, 819, 819, 372, 516, 693, 540, 621, 567, 861, 858, 819, 708, 588, 624, 900, 303, 852, 867, 744, 870, 405, 807, 804, 333, 678, 372, 666, 384, 423, 393, 792, 357, 456, 429, 846, 849, 828, 501, 864, 684, 615, 456, 438, 537, 753, 528, 516, 774, 828, 552, 624, 837, 450, 486, 531, 336, 576, 825, 507, 666, 351, 462, 375, 762, 705, 702]"
Defector,"[229, 222, 134, 235, 230, 237, 145, 126, 157, 184, 244, 250, 241, 259, 119, 100, 197, 275, 252, 164, 259, 276, 187, 240, 242, 212, 204, 200, 133, 290, 292, 193, 263, 278, 232, 273, 238, 115, 293, 259, 231, 256, 275, 290, 187, 142, 276, 129, 238, 129, 275, 208, 252, 240, 201, 267, 228, 172, 162, 223, 218, 111, 160, 103, 236, 119, 296, 235, 178, 211, 201, 163, 271, 289, 209, 179, 226, 206, 138, 105, 265, 283, 153, 239, 124, 186, 257, 220, 163, 235, 166, 211, 141, 136, 219, 220, 140, 131, 215, 226]"
Tit For Tat,"[414, 444, 318, 867, 870, 597, 381, 576, 693, 696, 348, 681, 729, 708, 321, 327, 591, 378, 669, 513, 516, 369, 663, 711, 438, 711, 615, 330, 783, 633, 393, 339, 576, 543, 636, 768, 750, 795, 585, 780, 594, 324, 816, 387, 612, 312, 747, 603, 852, 516, 504, 438, 642, 843, 360, 417, 300, 621, 354, 873, 333, 798, 768, 846, 441, 324, 525, 852, 360, 537, 531, 831, 723, 417, 447, 750, 774, 534, 786, 732, 537, 639, 345, 327, 534, 606, 540, 687, 333, 897, 303, 549, 498, 561, 867, 489, 744, 588, 801, 840]"
