,Cooperator,Defector,Tit For Tat
Cooperator,"[483, 372, 834, 615, 570, 315, 615, 579, 324, 819, 789, 771, 741, 684, 672, 675, 378, 837, 603, 693, 414, 900, 795, 438, 498, 771, 321, 681, 561, 630, 870, 441, 639, 486, 819, 819, 372, 516, 693, 540, 621, 567, 861, 858, 819, 708, 588, 624, 900, 303, 852, 867, 744, 870, 405, 807, 804, 333, 678, 372, 666, 384, 423, 393, 792, 357, 456, 429, 846, 849, 828, 501, 864, 684, 615, 456, 438, 537, 753, 528, 516, 774, 828, 552, 624, 837, 450, 486, 531, 336, 576, 825, 507, 666, 351, 462, 375, 762, 705, 702]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[690, 498, 414, 675, 642, 900, 621, 762, 492, 630, 627, 837, 309, 786, 534, 573, 795, 714, 681, 435, 741, 657, 588, 486, 882, 453, 465, 867, 849, 750, 432, 522, 519, 666, 885, 393, 411, 654, 855, 564, 783, 714, 852, 612, 513, 474, 411, 459, 507, 309, 453, 597, 537, 417, 384, 330, 384, 810, 753, 774, 315, 711, 687, 606, 618, 615, 747, 774, 384, 420, 768, 525, 891, 618, 744, 789, 681, 870, 723, 816, 633, 588, 636, 369, 414, 447, 630, 435, 813, 834, 837, 717, 537, 627, 396, 687, 441, 492, 390, 555]"
Defector,"[965, 685, 1380, 790, 1410, 835, 1185, 1295, 1290, 1375, 630, 1365, 675, 895, 975, 695, 925, 825, 805, 1455, 920, 515, 840, 670, 1185, 500, 1240, 540, 1150, 1440, 515, 1070, 1350, 1045, 1205, 1475, 920, 670, 575, 730, 1185, 1110, 830, 1130, 1225, 1245, 670, 1185, 1500, 940, 1355, 1045, 640, 880, 1350, 505, 1485, 545, 1250, 885, 1140, 700, 1245, 1215, 730, 650, 1245, 945, 1025, 700, 1005, 560, 795, 610, 1385, 1200, 895, 1440, 725, 1045, 725, 1055, 685, 970, 965, 920, 1215, 855, 1070, 640, 590, 805, 585, 975, 1220, 1125, 1035, 905, 825, 1495]","[229, 222, 134, 235, 230, 237, 145, 126, 157, 184, 244, 250, 241, 259, 119, 100, 197, 275, 252, 164, 259, 276, 187, 240, 242, 212, 204, 200, 133, 290, 292, 193, 263, 278, 232, 273, 238, 115, 293, 259, 231, 256, 275, 290, 187, 142, 276, 129, 238, 129, 275, 208, 252, 240, 201, 267, 228, 172, 162, 223, 218, 111, 160, 103, 236, 119, 296, 235, 178, 211, 201, 163, 271, 289, 209, 179, 226, 206, 138, 105, 265, 283, 153, 239, 124, 186, 257, 220, 163, 235, 166, 211, 141, 136, 219, 220, 140, 131, 215, 226]","[146, 134, 288, 111, 304, 300, 218, 145, 180, 137, 275, 282, 234, 118, 150, 147, 165, 186, 272, 193, 279, 258, 123, 154, 187, 116, 302, 285, 139, 237, 228, 301, 240, 256, 152, 273, 213, 111, 131, 215, 245, 240, 232, 257, 172, 175, 186, 180, 228, 229, 223, 142, 151, 139, 153, 125, 130, 172, 158, 253, 173, 147, 299, 251, 183, 222, 128, 261, 106, 243, 107, 270, 298, 121, 141, 189, 199, 263, 228, 159, 302, 125, 302, 120, 174, 167, 294, 169, 190, 245, 271, 139, 125, 119, 219, 223, 106, 166, 231, 197]"
Tit For Tat,"[690, 498, 414, 675, 642, 900, 621, 762, 492, 630, 627, 837, 309, 786, 534, 573, 795, 714, 681, 435, 741, 657, 588, 486, 882, 453, 465, 867, 849, 750, 432, 522, 519, 666, 885, 393, 411, 654, 855, 564, 783, 714, 852, 612, 513, 474, 411, 459, 507, 309, 453, 597, 537, 417, 384, 330, 384, 810, 753, 774, 315, 711, 687, 606, 618, 615, 747, 774, 384, 420, 768, 525, 891, 618, 744, 789, 681, 870, 723, 816, 633, 588, 636, 369, 414, 447, 630, 435, 813, 834, 837, 717, 537, 627, 396, 687, 441, 492, 390, 555]","[141, 129, 283, 106, 299, 295, 213, 140, 175, 132, 270, 277, 229, 113, 145, 142, 160, 181, 267, 188, 274, 253, 118, 149, 182, 111, 297, 280, 134, 232, 223, 296, 235, 251, 147, 268, 208, 106, 126, 210, 240, 235, 227, 252, 167, 170, 181, 175, 223, 224, 218, 137, 146, 134, 148, 120, 125, 167, 153, 248, 168, 142, 294, 246, 178, 217, 123, 256, 101, 238, 102, 265, 293, 116, 136, 184, 194, 258, 223, 154, 297, 120, 297, 115, 169, 162, 289, 164, 185, 240, 266, 134, 120, 114, 214, 218, 101, 161, 226, 192]","[414, 444, 318, 867, 870, 597, 381, 576, 693, 696, 348, 681, 729, 708, 321, 327, 591, 378, 669, 513, 516, 369, 663, 711, 438, 711, 615, 330, 783, 633, 393, 339, 576, 543, 636, 768, 750, 795, 585, 780, 594, 324, 816, 387, 612, 312, 747, 603, 852, 516, 504, 438, 642, 843, 360, 417, 300, 621, 354, 873, 333, 798, 768, 846, 441, 324, 525, 852, 360, 537, 531, 831, 723, 417, 447, 750, 774, 534, 786, 732, 537, 639, 345, 327, 534, 606, 540, 687, 333, 897, 303, 549, 498, 561, 867, 489, 744, 588, 801, 840]"
