,utility_per_turn inverse main diagonal
Second by Colbert,"[2.989583333333333, 2.988888888888889, 2.989304812834225, 2.990338164251208, 2.989010989010989, 2.989304812834225, 2.990740740740741, 2.9903846153846154, 2.9899497487437188, 2.9904306220095696, 2.9903846153846154, 2.989795918367347, 2.9903846153846154, 2.989071038251366, 2.989247311827957, 2.9901477832512318, 2.9903846153846154, 2.990610328638497, 2.989690721649485, 2.990049751243781, 2.9903846153846154, 2.989071038251366, 2.990338164251208, 2.9909090909090907, 2.9894736842105263, 2.9901960784313726, 2.989795918367347, 2.989583333333333, 2.9894179894179893, 2.98936170212766, 2.989583333333333, 2.9899497487437188, 2.989304812834225, 2.990338164251208, 2.990610328638497, 2.9894179894179893, 2.98974358974359, 2.98936170212766, 2.989304812834225, 2.9903846153846154, 2.989847715736041, 2.9894179894179893, 2.9894179894179893, 2.989583333333333, 2.989847715736041, 2.9889502762430937, 2.990521327014218, 2.9894736842105263, 2.990610328638497, 2.98974358974359, 2.9906976744186045, 2.9904306220095696, 2.990521327014218, 2.99, 2.9891891891891893, 2.9903846153846154, 2.9901960784313726, 2.9901960784313726, 2.9908256880733943, 2.989583333333333, 2.989690721649485, 2.9889502762430937, 2.9901960784313726, 2.9902439024390244, 2.9903846153846154, 2.9891891891891893, 2.990521327014218, 2.9895287958115184, 2.9906542056074765, 2.990610328638497, 2.990740740740741, 2.9889502762430937, 2.990610328638497, 2.9894179894179893, 2.9906542056074765, 2.989690721649485, 2.9891891891891893, 2.99009900990099, 2.99, 2.9907834101382487, 2.9899497487437188, 2.9902912621359223, 2.9891891891891893, 2.9904306220095696, 2.989071038251366, 2.989010989010989, 2.9899497487437188, 2.9894179894179893, 2.9903846153846154, 2.9901477832512318, 2.9904306220095696, 2.99, 2.989847715736041, 2.9902439024390244, 2.988888888888889, 2.989583333333333, 2.988888888888889, 2.9902912621359223, 2.9908256880733943, 2.9894179894179893]"
Second by Eatherley,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Getzler,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Gladstein,"[2.9906976744186045, 2.989010989010989, 2.990610328638497, 2.9908256880733943, 2.9894736842105263, 2.989130434782609, 2.989247311827957, 2.989247311827957, 2.98989898989899, 2.99009900990099, 2.989690721649485, 2.989130434782609, 2.9907834101382487, 2.9894736842105263, 2.9906976744186045, 2.990049751243781, 2.990521327014218, 2.990867579908676, 2.9889502762430937, 2.9901477832512318, 2.990049751243781, 2.9902439024390244, 2.989583333333333, 2.990521327014218, 2.990566037735849, 2.990338164251208, 2.9909090909090907, 2.9902439024390244, 2.990867579908676, 2.9902912621359223, 2.9908256880733943, 2.989847715736041, 2.98936170212766, 2.989071038251366, 2.9909090909090907, 2.9901477832512318, 2.9907834101382487, 2.9901477832512318, 2.990610328638497, 2.9907834101382487, 2.989847715736041, 2.989247311827957, 2.9907834101382487, 2.9908256880733943, 2.98936170212766, 2.988888888888889, 2.989637305699482, 2.989247311827957, 2.9907834101382487, 2.988888888888889, 2.990867579908676, 2.989847715736041, 2.99009900990099, 2.990338164251208, 2.989304812834225, 2.99, 2.989130434782609, 2.989583333333333, 2.9904306220095696, 2.9891891891891893, 2.9909090909090907, 2.990610328638497, 2.9901960784313726, 2.988888888888889, 2.990740740740741, 2.9894179894179893, 2.989690721649485, 2.990338164251208, 2.989583333333333, 2.9894179894179893, 2.989304812834225, 2.9907834101382487, 2.9903846153846154, 2.990740740740741, 2.9909090909090907, 2.9906542056074765, 2.9901960784313726, 2.99009900990099, 2.9907834101382487, 2.989071038251366, 2.9903846153846154, 2.990610328638497, 2.99009900990099, 2.989637305699482, 2.9901477832512318, 2.9894736842105263, 2.9902912621359223, 2.990338164251208, 2.990049751243781, 2.9908256880733943, 2.9894179894179893, 2.989690721649485, 2.9901960784313726, 2.9894736842105263, 2.9909090909090907, 2.990338164251208, 2.989304812834225, 2.990521327014218, 2.990338164251208, 2.990521327014218]"
Second by GraaskampKatzen,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Harrington,"[2.989304812834225, 2.9907834101382487, 2.989583333333333, 2.989304812834225, 2.989247311827957, 2.9907834101382487, 2.9909090909090907, 2.9904761904761905, 2.989583333333333, 2.989247311827957, 2.990740740740741, 2.9894179894179893, 2.98989898989899, 2.98989898989899, 2.9901960784313726, 2.9891891891891893, 2.9904306220095696, 2.9899497487437188, 2.9889502762430937, 2.989247311827957, 2.9906976744186045, 2.989690721649485, 2.989637305699482, 2.989010989010989, 2.99, 2.989583333333333, 2.98936170212766, 2.98989898989899, 2.990867579908676, 2.9903846153846154, 2.9902439024390244, 2.989637305699482, 2.989247311827957, 2.9902912621359223, 2.9909090909090907, 2.9894179894179893, 2.990049751243781, 2.9901960784313726, 2.98974358974359, 2.988888888888889, 2.9901477832512318, 2.9907834101382487, 2.9902439024390244, 2.9901477832512318, 2.9904306220095696, 2.9899497487437188, 2.990867579908676, 2.989637305699482, 2.9904761904761905, 2.98936170212766, 2.989010989010989, 2.9909090909090907, 2.990566037735849, 2.989583333333333, 2.9903846153846154, 2.9894736842105263, 2.9906542056074765, 2.9902439024390244, 2.98989898989899, 2.98974358974359, 2.9894179894179893, 2.990521327014218, 2.9909090909090907, 2.98989898989899, 2.988888888888889, 2.989304812834225, 2.9907834101382487, 2.989795918367347, 2.9894179894179893, 2.9901960784313726, 2.98936170212766, 2.990521327014218, 2.9901477832512318, 2.9889502762430937, 2.9895287958115184, 2.990338164251208, 2.9891891891891893, 2.98974358974359, 2.98936170212766, 2.9901960784313726, 2.989010989010989, 2.989247311827957, 2.9901960784313726, 2.9902439024390244, 2.9904306220095696, 2.989637305699482, 2.9908256880733943, 2.989304812834225, 2.989010989010989, 2.9906542056074765, 2.988888888888889, 2.990610328638497, 2.990740740740741, 2.990049751243781, 2.9903846153846154, 2.989010989010989, 2.990867579908676, 2.9908256880733943, 2.98936170212766, 2.9902439024390244]"
Second by Kluepfel,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Leyvraz,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Mikkelson,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Grofman,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Tideman and Chieruzzi,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by RichardHufford,"[2.9061032863849765, 2.9166666666666665, 2.913978494623656, 2.915343915343916, 2.911111111111111, 2.9069767441860463, 2.9150943396226414, 2.9086757990867578, 2.9148936170212765, 2.917948717948718, 2.923076923076923, 2.92, 2.921951219512195, 2.911602209944751, 2.912568306010929, 2.923076923076923, 2.913513513513513, 2.917098445595855, 2.9130434782608696, 2.9148936170212765, 2.922705314009662, 2.9203980099502487, 2.9150943396226414, 2.923809523809524, 2.92, 2.919597989949749, 2.912568306010929, 2.9086757990867578, 2.9086757990867578, 2.912568306010929, 2.918781725888325, 2.9203980099502487, 2.912568306010929, 2.92, 2.919191919191919, 2.919191919191919, 2.9162303664921465, 2.9183673469387754, 2.921951219512195, 2.9166666666666665, 2.915343915343916, 2.9207920792079207, 2.9130434782608696, 2.9065420560747666, 2.9223300970873787, 2.914438502673797, 2.909090909090909, 2.9148936170212765, 2.913513513513513, 2.917525773195876, 2.9069767441860463, 2.92156862745098, 2.915343915343916, 2.919597989949749, 2.9157894736842107, 2.913513513513513, 2.9183673469387754, 2.913978494623656, 2.911111111111111, 2.917525773195876, 2.913513513513513, 2.9130434782608696, 2.919597989949749, 2.924170616113744, 2.92, 2.917098445595855, 2.919191919191919, 2.912568306010929, 2.919191919191919, 2.9162303664921465, 2.9065420560747666, 2.909090909090909, 2.917098445595855, 2.909090909090909, 2.912087912087912, 2.9162303664921465, 2.9166666666666665, 2.9061032863849765, 2.911602209944751, 2.92156862745098, 2.919191919191919, 2.9148936170212765, 2.9061032863849765, 2.9069767441860463, 2.92, 2.919191919191919, 2.919191919191919, 2.923809523809524, 2.909090909090909, 2.911111111111111, 2.9061032863849765, 2.924170616113744, 2.915343915343916, 2.92156862745098, 2.913978494623656, 2.9223300970873787, 2.908256880733945, 2.915343915343916, 2.9211822660098523, 2.912568306010929]"
Second by Rowsam,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Tester,"[2.989130434782609, 2.9889502762430937, 2.990610328638497, 2.9891891891891893, 2.9895287958115184, 2.990566037735849, 2.9903846153846154, 2.98989898989899, 2.9907834101382487, 2.989795918367347, 2.990338164251208, 2.990338164251208, 2.990867579908676, 2.990521327014218, 2.9906976744186045, 2.989847715736041, 2.990566037735849, 2.989583333333333, 2.9895287958115184, 2.9906976744186045, 2.989637305699482, 2.9906542056074765, 2.9902439024390244, 2.990521327014218, 2.98936170212766, 2.9902439024390244, 2.98989898989899, 2.98936170212766, 2.989130434782609, 2.9908256880733943, 2.989637305699482, 2.9903846153846154, 2.9894179894179893, 2.9891891891891893, 2.9908256880733943, 2.9904306220095696, 2.989583333333333, 2.990338164251208, 2.9902439024390244, 2.989304812834225, 2.989795918367347, 2.990566037735849, 2.9894736842105263, 2.989304812834225, 2.990740740740741, 2.990867579908676, 2.9899497487437188, 2.99, 2.9902912621359223, 2.9895287958115184, 2.9902439024390244, 2.989795918367347, 2.989795918367347, 2.9894179894179893, 2.9899497487437188, 2.989247311827957, 2.9908256880733943, 2.990610328638497, 2.9894179894179893, 2.9906976744186045, 2.9901477832512318, 2.9902912621359223, 2.990521327014218, 2.990740740740741, 2.98936170212766, 2.989071038251366, 2.990740740740741, 2.989637305699482, 2.9906542056074765, 2.989795918367347, 2.989690721649485, 2.9901960784313726, 2.990338164251208, 2.988888888888889, 2.9901477832512318, 2.989690721649485, 2.990566037735849, 2.990049751243781, 2.989583333333333, 2.990740740740741, 2.9894736842105263, 2.98936170212766, 2.9901960784313726, 2.989847715736041, 2.990867579908676, 2.9901960784313726, 2.989071038251366, 2.9904306220095696, 2.9907834101382487, 2.98936170212766, 2.9901477832512318, 2.9902912621359223, 2.989304812834225, 2.989247311827957, 2.9894179894179893, 2.990049751243781, 2.9891891891891893, 2.9903846153846154, 2.989071038251366, 2.9908256880733943]"
Second by Tranquilizer,"[2.817757009345794, 2.8351063829787235, 2.8056872037914693, 2.82, 2.8046511627906976, 2.8341708542713566, 2.849740932642487, 2.822660098522168, 2.805555555555556, 2.816901408450704, 2.850515463917526, 2.8217821782178216, 2.82, 2.823529411764706, 2.824390243902439, 2.8056872037914693, 2.816901408450704, 2.834224598930481, 2.792626728110599, 2.8045454545454547, 2.850828729281768, 2.8351063829787235, 2.8056872037914693, 2.817757009345794, 2.8045454545454547, 2.8173076923076925, 2.850515463917526, 2.848958333333333, 2.8351063829787235, 2.8181818181818183, 2.8181818181818183, 2.817757009345794, 2.836734693877551, 2.846994535519125, 2.817757009345794, 2.793577981651376, 2.848648648648649, 2.850828729281768, 2.816425120772947, 2.849462365591398, 2.8181818181818183, 2.8351648351648358, 2.823529411764706, 2.847368421052632, 2.848648648648649, 2.816901408450704, 2.8190476190476192, 2.846994535519125, 2.8181818181818183, 2.8217821782178216, 2.793577981651376, 2.848167539267016, 2.850515463917526, 2.817757009345794, 2.834224598930481, 2.824390243902439, 2.850515463917526, 2.8217821782178216, 2.805555555555556, 2.816901408450704, 2.847826086956522, 2.8045454545454547, 2.8181818181818183, 2.850515463917526, 2.823529411764706, 2.8351648351648358, 2.847368421052632, 2.847368421052632, 2.794520547945205, 2.8045454545454547, 2.824390243902439, 2.8341708542713566, 2.792626728110599, 2.8351063829787235, 2.792626728110599, 2.8046511627906976, 2.8217821782178216, 2.847826086956522, 2.847826086956522, 2.805555555555556, 2.824390243902439, 2.8046511627906976, 2.849740932642487, 2.8217821782178216, 2.8223350253807107, 2.8045454545454547, 2.823232323232323, 2.8341708542713566, 2.816901408450704, 2.8056872037914693, 2.8155339805825244, 2.835897435897436, 2.848167539267016, 2.8046511627906976, 2.847826086956522, 2.816425120772947, 2.823529411764706, 2.816425120772947, 2.8045454545454547, 2.848648648648649]"
Second by Weiner,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by White,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by WmAdams,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Yamachi,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
