,utility_per_turn inverse main diagonal
First by Feld,"[1.4450261780104712, 1.4047619047619049, 1.389908256880734, 1.3881278538812785, 1.4271356783919598, 1.3863636363636365, 1.397196261682243, 1.4228855721393034, 1.4594594594594594, 1.4450261780104712, 1.4106280193236715, 1.4594594594594594, 1.3953488372093024, 1.4381443298969072, 1.391705069124424, 1.41871921182266, 1.456989247311828, 1.4207920792079207, 1.4066985645933014, 1.4047619047619049, 1.400943396226415, 1.3935185185185186, 1.456989247311828, 1.4404145077720207, 1.435897435897436, 1.4314720812182742, 1.3990610328638498, 1.425, 1.41871921182266, 1.452127659574468, 1.4066985645933014, 1.4228855721393034, 1.4028436018957346, 1.456989247311828, 1.4594594594594594, 1.4619565217391304, 1.3863636363636365, 1.3953488372093024, 1.389908256880734, 1.4086538461538465, 1.4404145077720207, 1.452127659574468, 1.4404145077720207, 1.4594594594594594, 1.452127659574468, 1.3881278538812785, 1.4473684210526316, 1.467032967032967, 1.4028436018957346, 1.3863636363636365, 1.4497354497354498, 1.46448087431694, 1.467032967032967, 1.4619565217391304, 1.4066985645933014, 1.433673469387755, 1.4497354497354498, 1.4473684210526316, 1.456989247311828, 1.4722222222222223, 1.4619565217391304, 1.4696132596685083, 1.400943396226415, 1.4314720812182742, 1.4450261780104712, 1.4619565217391304, 1.4292929292929293, 1.4473684210526316, 1.4066985645933014, 1.391705069124424, 1.3881278538812785, 1.4722222222222223, 1.4228855721393034, 1.4066985645933014, 1.3953488372093024, 1.3881278538812785, 1.412621359223301, 1.4497354497354498, 1.391705069124424, 1.435897435897436, 1.3863636363636365, 1.3990610328638498, 1.4106280193236715, 1.4545454545454546, 1.3863636363636365, 1.389908256880734, 1.4722222222222223, 1.397196261682243, 1.3953488372093024, 1.3863636363636365, 1.4166666666666667, 1.433673469387755, 1.4404145077720207, 1.467032967032967, 1.4619565217391304, 1.456989247311828, 1.456989247311828, 1.4028436018957346, 1.4427083333333333, 1.425]"
First by Joss,"[1.1650485436893203, 1.158878504672897, 1.1545454545454543, 1.170854271356784, 1.1559633027522935, 1.1626794258373203, 1.1574074074074074, 1.1827956989247312, 1.1642512077294689, 1.160377358490566, 1.1868131868131868, 1.170854271356784, 1.1559633027522935, 1.185792349726776, 1.1780104712041886, 1.173469387755102, 1.1634615384615383, 1.1658536585365853, 1.15962441314554, 1.1559633027522935, 1.1559633027522935, 1.1789473684210523, 1.1666666666666667, 1.1574074074074074, 1.173469387755102, 1.1691542288557213, 1.1789473684210523, 1.1634615384615383, 1.1666666666666667, 1.1827956989247312, 1.173469387755102, 1.1666666666666667, 1.17, 1.15962441314554, 1.161137440758294, 1.158139534883721, 1.1888888888888889, 1.1827956989247312, 1.1574074074074074, 1.1626794258373203, 1.1878453038674033, 1.158139534883721, 1.173469387755102, 1.161904761904762, 1.17989417989418, 1.1868131868131868, 1.1666666666666667, 1.1559633027522935, 1.1559633027522935, 1.1780104712041886, 1.1725888324873095, 1.1574074074074074, 1.181818181818182, 1.1761658031088082, 1.1634615384615383, 1.1650485436893203, 1.1717171717171715, 1.1559633027522935, 1.1780104712041886, 1.1545454545454543, 1.160377358490566, 1.1770833333333333, 1.17, 1.1837837837837837, 1.1658536585365853, 1.167487684729064, 1.1634615384615383, 1.170854271356784, 1.1725888324873095, 1.1545454545454543, 1.1770833333333333, 1.17, 1.17989417989418, 1.161904761904762, 1.1780104712041886, 1.1868131868131868, 1.1559633027522935, 1.1683168316831682, 1.1827956989247312, 1.1780104712041886, 1.1691542288557213, 1.184782608695652, 1.161904761904762, 1.1634615384615383, 1.161904761904762, 1.1725888324873095, 1.17989417989418, 1.161904761904762, 1.1868131868131868, 1.1626794258373203, 1.1574074074074074, 1.17, 1.17, 1.170854271356784, 1.1743589743589744, 1.1634615384615383, 1.161904761904762, 1.181818181818182, 1.181818181818182, 1.1559633027522935]"
First by Tullock,"[1.83, 1.9171270718232043, 1.8258706467661687, 1.8217821782178216, 1.8383838383838385, 1.869109947643979, 1.8217821782178216, 1.855670103092784, 1.8177339901477831, 1.8877005347593585, 1.869109947643979, 1.83, 1.761467889908257, 1.8972972972972968, 1.869109947643979, 1.805825242718447, 1.873684210526316, 1.89247311827957, 1.8019323671497585, 1.7545454545454546, 1.83, 1.7579908675799087, 1.7579908675799087, 1.9222222222222225, 1.8341708542713568, 1.7830188679245282, 1.761467889908257, 1.873684210526316, 1.8829787234042556, 1.7685185185185186, 1.8512820512820516, 1.8645833333333333, 1.8645833333333333, 1.912087912087912, 1.7649769585253456, 1.8512820512820516, 1.7830188679245282, 1.8258706467661687, 1.8512820512820516, 1.8383838383838385, 1.7980769230769231, 1.8341708542713568, 1.7649769585253456, 1.860103626943005, 1.772093023255814, 1.8877005347593585, 1.9222222222222225, 1.83, 1.855670103092784, 1.8383838383838385, 1.9171270718232043, 1.846938775510204, 1.7980769230769231, 1.8645833333333333, 1.873684210526316, 1.8877005347593585, 1.7867298578199051, 1.805825242718447, 1.8512820512820516, 1.7685185185185186, 1.873684210526316, 1.855670103092784, 1.7942583732057416, 1.7757009345794392, 1.7685185185185186, 1.761467889908257, 1.8177339901477831, 1.869109947643979, 1.9171270718232043, 1.7904761904761906, 1.809756097560976, 1.8258706467661687, 1.8177339901477831, 1.8426395939086293, 1.772093023255814, 1.912087912087912, 1.9222222222222225, 1.805825242718447, 1.855670103092784, 1.8426395939086293, 1.8512820512820516, 1.846938775510204, 1.7757009345794392, 1.809756097560976, 1.7980769230769231, 1.7830188679245282, 1.8019323671497585, 1.7942583732057416, 1.8829787234042556, 1.7867298578199051, 1.9171270718232043, 1.805825242718447, 1.761467889908257, 1.873684210526316, 1.805825242718447, 1.805825242718447, 1.8217821782178216, 1.907103825136612, 1.869109947643979, 1.873684210526316]"
First by Anonymous,"[2.3365384615384617, 2.3317073170731706, 2.341708542713568, 2.3484848484848486, 2.333333333333333, 2.330188679245283, 2.3582089552238807, 2.360655737704918, 2.342857142857143, 2.3365384615384617, 2.360655737704918, 2.330188679245283, 2.357142857142857, 2.3301435406698565, 2.310185185185185, 2.3582089552238807, 2.3365384615384617, 2.341708542713568, 2.342857142857143, 2.3386243386243386, 2.341836734693877, 2.333333333333333, 2.3365384615384617, 2.330188679245283, 2.364130434782609, 2.3271028037383177, 2.3626943005181347, 2.3484848484848486, 2.3697916666666665, 2.334975369458128, 2.3364928909952605, 2.3664921465968587, 2.3664921465968587, 2.338235294117647, 2.3529411764705883, 2.310185185185185, 2.355, 2.355, 2.330188679245283, 2.304147465437788, 2.342857142857143, 2.3227272727272728, 2.2981651376146788, 2.334975369458128, 2.365979381443299, 2.3666666666666667, 2.3701657458563536, 2.333333333333333, 2.310185185185185, 2.3446601941747574, 2.3227272727272728, 2.3526315789473684, 2.342857142857143, 2.355, 2.3386243386243386, 2.3666666666666667, 2.3529411764705883, 2.341708542713568, 2.3465346534653464, 2.365979381443299, 2.360655737704918, 2.333333333333333, 2.338235294117647, 2.3271028037383177, 2.310185185185185, 2.3365384615384617, 2.341836734693877, 2.3666666666666667, 2.3446601941747574, 2.3626943005181347, 2.330188679245283, 2.3526315789473684, 2.310502283105023, 2.304147465437788, 2.3446601941747574, 2.3697916666666665, 2.3697916666666665, 2.355, 2.338235294117647, 2.357142857142857, 2.342857142857143, 2.330188679245283, 2.334975369458128, 2.316279069767442, 2.3655913978494625, 2.3484848484848486, 2.3465346534653464, 2.3484848484848486, 2.333333333333333, 2.310185185185185, 2.3271028037383177, 2.3626943005181347, 2.355329949238578, 2.3365384615384617, 2.355, 2.310185185185185, 2.310185185185185, 2.3582089552238807, 2.3317073170731706, 2.3664921465968587]"
Random,"[2.0737327188940093, 2.1333333333333333, 2.092896174863388, 2.101941747572816, 2.111111111111111, 2.105555555555556, 2.130653266331658, 2.111111111111111, 2.097826086956522, 2.092896174863388, 2.09478672985782, 2.111111111111111, 2.098901098901099, 2.092896174863388, 2.0694444444444446, 2.147959183673469, 2.114427860696517, 2.105555555555556, 2.1333333333333333, 2.1133004926108376, 2.130653266331658, 2.088785046728972, 2.101941747572816, 2.117647058823529, 2.141414141414141, 2.117647058823529, 2.1133004926108376, 2.0790697674418603, 2.117647058823529, 2.0737327188940093, 2.098901098901099, 2.098901098901099, 2.0938967136150235, 2.117021276595745, 2.09478672985782, 2.101941747572816, 2.1243523316062176, 2.104761904761905, 2.110497237569061, 2.110047846889952, 2.068493150684932, 2.12, 2.117021276595745, 2.141414141414141, 2.10752688172043, 2.101941747572816, 2.1243523316062176, 2.0938967136150235, 2.109375, 2.1243523316062176, 2.1052631578947367, 2.092896174863388, 2.0737327188940093, 2.089622641509434, 2.1052631578947367, 2.1333333333333333, 2.105769230769231, 2.111111111111111, 2.092896174863388, 2.105555555555556, 2.110047846889952, 2.1204188481675392, 2.107317073170732, 2.092896174863388, 2.114427860696517, 2.1391752577319587, 2.118811881188119, 2.1333333333333333, 2.110047846889952, 2.117647058823529, 2.0727272727272728, 2.114427860696517, 2.1052631578947367, 2.0790697674418603, 2.110047846889952, 2.110047846889952, 2.092896174863388, 2.1243523316062176, 2.1333333333333333, 2.107317073170732, 2.0938967136150235, 2.068493150684932, 2.114427860696517, 2.118811881188119, 2.097826086956522, 2.1135135135135137, 2.0737327188940093, 2.101941747572816, 2.114427860696517, 2.09478672985782, 2.111111111111111, 2.0790697674418603, 2.092896174863388, 2.1243523316062176, 2.130653266331658, 2.104761904761905, 2.1016042780748663, 2.097826086956522, 2.114427860696517, 2.068493150684932]"
Second by Appold,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Black,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Borufsen,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Cave,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
Second by Champion,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
