,Tit For Tat,First by Tideman and Chieruzzi,First by Nydegger,First by Grofman,First by Shubik,First by Stein and Rapoport,Grudger,First by Davis,First by Graaskamp,First by Downing,First by Feld,First by Joss,First by Tullock,First by Anonymous,Random,Second by Appold,Second by Black,Second by Borufsen,Second by Cave,Second by Champion,Second by Colbert,Second by Eatherley,Second by Getzler,Second by Gladstein,Second by GraaskampKatzen,Second by Harrington,Second by Kluepfel,Second by Leyvraz,Second by Mikkelson,Second by Grofman,Second by Tideman and Chieruzzi,Second by RichardHufford,Second by Rowsam,Second by Tester,Second by Tranquilizer,Second by Weiner,Second by White,Second by WmAdams,Second by Yamachi
Second by Kluepfel,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 89, 11]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Leyvraz,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Mikkelson,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Grofman,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 95, 5]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Tideman and Chieruzzi,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 1, 99]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by RichardHufford,"[3, 0, 97]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 99, 1]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[5, 0, 95]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[1, 0, 99]","[3, 0, 97]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[1, 0, 99]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[43, 3, 54]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Second by Rowsam,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Tester,"[0, 0, 100]","[0, 100, 0]","[0, 46, 54]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 13, 87]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 60, 40]","[0, 52, 48]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Second by Tranquilizer,"[4, 0, 96]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[54, 26, 20]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[2, 82, 16]","[3, 0, 97]","[5, 0, 95]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[95, 0, 5]","[0, 100, 0]","[3, 43, 54]","[100, 0, 0]","[0, 0, 100]","[37, 37, 25]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Second by Weiner,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by White,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by WmAdams,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Yamachi,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
