Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
0,Tit For Tat,Tit For Tat,477,0,3.0,"[0, 0, 1]"
0,Tit For Tat,Tit For Tat,477,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,618,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,618,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,486,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,486,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,444,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,444,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,435,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,435,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,507,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,507,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,630,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,630,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,735,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,735,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,453,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,453,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,552,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,552,0,3.0,"[0, 0, 1]"
10,First by Shubik,Grudger,600,0,3.0,"[0, 0, 1]"
10,Grudger,First by Shubik,600,0,3.0,"[0, 0, 1]"
11,First by Shubik,Grudger,597,0,3.0,"[0, 0, 1]"
11,Grudger,First by Shubik,597,0,3.0,"[0, 0, 1]"
12,First by Shubik,Grudger,444,0,3.0,"[0, 0, 1]"
12,Grudger,First by Shubik,444,0,3.0,"[0, 0, 1]"
13,First by Shubik,Grudger,441,0,3.0,"[0, 0, 1]"
13,Grudger,First by Shubik,441,0,3.0,"[0, 0, 1]"
14,First by Shubik,Grudger,663,0,3.0,"[0, 0, 1]"
14,Grudger,First by Shubik,663,0,3.0,"[0, 0, 1]"
15,First by Shubik,Grudger,540,0,3.0,"[0, 0, 1]"
15,Grudger,First by Shubik,540,0,3.0,"[0, 0, 1]"
16,First by Shubik,Grudger,432,0,3.0,"[0, 0, 1]"
16,Grudger,First by Shubik,432,0,3.0,"[0, 0, 1]"
17,First by Shubik,Grudger,687,0,3.0,"[0, 0, 1]"
17,Grudger,First by Shubik,687,0,3.0,"[0, 0, 1]"
18,First by Shubik,Grudger,741,0,3.0,"[0, 0, 1]"
18,Grudger,First by Shubik,741,0,3.0,"[0, 0, 1]"
19,First by Shubik,Grudger,714,0,3.0,"[0, 0, 1]"
19,Grudger,First by Shubik,714,0,3.0,"[0, 0, 1]"
20,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",718,-5,2.979253112033195,"[0, 1, 0]"
20,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,723,5,3.0,"[0, 1, 0]"
21,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",520,-5,2.9714285714285715,"[0, 1, 0]"
21,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,525,5,3.0,"[0, 1, 0]"
22,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",763,-5,2.98046875,"[0, 1, 0]"
22,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,768,5,3.0,"[0, 1, 0]"
23,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",673,-5,2.97787610619469,"[0, 1, 0]"
23,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,678,5,3.0,"[0, 1, 0]"
24,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",607,-5,2.9754901960784315,"[0, 1, 0]"
24,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,612,5,3.0,"[0, 1, 0]"
25,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",436,-5,2.9659863945578238,"[0, 1, 0]"
25,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,441,5,3.0,"[0, 1, 0]"
26,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",511,-5,2.9709302325581395,"[0, 1, 0]"
26,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,516,5,3.0,"[0, 1, 0]"
27,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",727,-5,2.9795081967213117,"[0, 1, 0]"
27,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,732,5,3.0,"[0, 1, 0]"
28,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",742,-5,2.97991967871486,"[0, 1, 0]"
28,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,747,5,3.0,"[0, 1, 0]"
29,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",610,-5,2.975609756097561,"[0, 1, 0]"
29,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,615,5,3.0,"[0, 1, 0]"
30,First by Shubik,First by Davis: 10,756,0,3.0,"[0, 0, 1]"
30,First by Davis: 10,First by Shubik,756,0,3.0,"[0, 0, 1]"
31,First by Shubik,First by Davis: 10,492,0,3.0,"[0, 0, 1]"
31,First by Davis: 10,First by Shubik,492,0,3.0,"[0, 0, 1]"
32,First by Shubik,First by Davis: 10,594,0,3.0,"[0, 0, 1]"
32,First by Davis: 10,First by Shubik,594,0,3.0,"[0, 0, 1]"
33,First by Shubik,First by Davis: 10,705,0,3.0,"[0, 0, 1]"
33,First by Davis: 10,First by Shubik,705,0,3.0,"[0, 0, 1]"
34,First by Shubik,First by Davis: 10,657,0,3.0,"[0, 0, 1]"
34,First by Davis: 10,First by Shubik,657,0,3.0,"[0, 0, 1]"
35,First by Shubik,First by Davis: 10,534,0,3.0,"[0, 0, 1]"
35,First by Davis: 10,First by Shubik,534,0,3.0,"[0, 0, 1]"
36,First by Shubik,First by Davis: 10,546,0,3.0,"[0, 0, 1]"
36,First by Davis: 10,First by Shubik,546,0,3.0,"[0, 0, 1]"
37,First by Shubik,First by Davis: 10,669,0,3.0,"[0, 0, 1]"
37,First by Davis: 10,First by Shubik,669,0,3.0,"[0, 0, 1]"
38,First by Shubik,First by Davis: 10,522,0,3.0,"[0, 0, 1]"
38,First by Davis: 10,First by Shubik,522,0,3.0,"[0, 0, 1]"
39,First by Shubik,First by Davis: 10,429,0,3.0,"[0, 0, 1]"
39,First by Davis: 10,First by Shubik,429,0,3.0,"[0, 0, 1]"
40,Tit For Tat,First by Nydegger,576,0,3.0,"[0, 0, 1]"
40,First by Nydegger,Tit For Tat,576,0,3.0,"[0, 0, 1]"
41,Tit For Tat,First by Nydegger,561,0,3.0,"[0, 0, 1]"
41,First by Nydegger,Tit For Tat,561,0,3.0,"[0, 0, 1]"
42,Tit For Tat,First by Nydegger,663,0,3.0,"[0, 0, 1]"
42,First by Nydegger,Tit For Tat,663,0,3.0,"[0, 0, 1]"
43,Tit For Tat,First by Nydegger,468,0,3.0,"[0, 0, 1]"
43,First by Nydegger,Tit For Tat,468,0,3.0,"[0, 0, 1]"
44,Tit For Tat,First by Nydegger,450,0,3.0,"[0, 0, 1]"
44,First by Nydegger,Tit For Tat,450,0,3.0,"[0, 0, 1]"
45,Tit For Tat,First by Nydegger,621,0,3.0,"[0, 0, 1]"
45,First by Nydegger,Tit For Tat,621,0,3.0,"[0, 0, 1]"
46,Tit For Tat,First by Nydegger,534,0,3.0,"[0, 0, 1]"
46,First by Nydegger,Tit For Tat,534,0,3.0,"[0, 0, 1]"
47,Tit For Tat,First by Nydegger,645,0,3.0,"[0, 0, 1]"
47,First by Nydegger,Tit For Tat,645,0,3.0,"[0, 0, 1]"
48,Tit For Tat,First by Nydegger,444,0,3.0,"[0, 0, 1]"
48,First by Nydegger,Tit For Tat,444,0,3.0,"[0, 0, 1]"
49,Tit For Tat,First by Nydegger,669,0,3.0,"[0, 0, 1]"
49,First by Nydegger,Tit For Tat,669,0,3.0,"[0, 0, 1]"
50,First by Shubik,First by Graaskamp: 0.05,676,290,3.115207373271889,"[1, 0, 0]"
50,First by Graaskamp: 0.05,First by Shubik,386,-290,1.7788018433179724,"[1, 0, 0]"
51,First by Shubik,First by Graaskamp: 0.05,607,270,3.508670520231214,"[1, 0, 0]"
51,First by Graaskamp: 0.05,First by Shubik,337,-270,1.9479768786127167,"[1, 0, 0]"
52,First by Shubik,First by Graaskamp: 0.05,575,255,3.506097560975609,"[1, 0, 0]"
52,First by Graaskamp: 0.05,First by Shubik,320,-255,1.951219512195122,"[1, 0, 0]"
53,First by Shubik,First by Graaskamp: 0.05,663,295,3.2660098522167487,"[1, 0, 0]"
53,First by Graaskamp: 0.05,First by Shubik,368,-295,1.812807881773399,"[1, 0, 0]"
54,First by Shubik,First by Graaskamp: 0.05,674,290,3.1348837209302327,"[1, 0, 0]"
54,First by Graaskamp: 0.05,First by Shubik,384,-290,1.786046511627907,"[1, 0, 0]"
