P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[477, 618, 486, 444, 435, 507, 630, 735, 453, 552]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[477, 618, 486, 444, 435, 507, 630, 735, 453, 552]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",533.7,3.0,533.7,3.0
"First by Shubik,Grudger","[0, 0, 10]","[600, 597, 444, 441, 663, 540, 432, 687, 741, 714]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 597, 444, 441, 663, 540, 432, 687, 741, 714]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",585.9,3.0,585.9,3.0
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[718, 520, 763, 673, 607, 436, 511, 727, 742, 610]","[2.9793, 2.9714, 2.9805, 2.9779, 2.9755, 2.966, 2.9709, 2.9795, 2.9799, 2.9756]","[723, 525, 768, 678, 612, 441, 516, 732, 747, 615]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",630.7,2.97565,635.7,3.0
"First by Shubik,First by Davis: 10","[0, 0, 10]","[756, 492, 594, 705, 657, 534, 546, 669, 522, 429]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[756, 492, 594, 705, 657, 534, 546, 669, 522, 429]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",590.4,3.0,590.4,3.0
"Tit For Tat,First by Nydegger","[0, 0, 10]","[576, 561, 663, 468, 450, 621, 534, 645, 444, 669]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[576, 561, 663, 468, 450, 621, 534, 645, 444, 669]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",563.1,3.0,563.1,3.0
"First by Shubik,First by Graaskamp: 0.05","[10, 0, 0]","[676, 607, 575, 663, 674, 675, 670, 506, 702, 685]","[3.1152, 3.5087, 3.5061, 3.266, 3.1349, 3.125, 3.1754, 3.4422, 2.8653, 3.031]","[386, 337, 320, 368, 384, 385, 380, 301, 422, 395]","[1.7788, 1.948, 1.9512, 1.8128, 1.786, 1.7824, 1.8009, 2.0476, 1.7224, 1.7478]",643.3,3.21698,367.8,1.83779
"Tit For Tat,First by Grofman","[0, 0, 10]","[735, 552, 420, 645, 729, 432, 525, 756, 612, 735]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[735, 552, 420, 645, 729, 432, 525, 756, 612, 735]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",614.1,3.0,614.1,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Davis: 10","[10, 0, 0]","[735, 504, 603, 687, 606, 780, 741, 618, 693, 513]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[730, 499, 598, 682, 601, 775, 736, 613, 688, 508]","[2.9796, 2.9702, 2.9751, 2.9782, 2.9752, 2.9808, 2.9798, 2.9757, 2.9784, 2.9708]",648.0,3.0,643.0,2.97638
"Tit For Tat,First by Shubik","[0, 0, 10]","[585, 693, 765, 489, 666, 729, 429, 450, 465, 654]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[585, 693, 765, 489, 666, 729, 429, 450, 465, 654]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",592.5,3.0,592.5,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Downing","[10, 0, 0]","[496, 391, 396, 537, 533, 518, 495, 328, 506, 401]","[2.5436, 2.3554, 2.3713, 2.3553, 2.3795, 2.4319, 2.5515, 2.3429, 2.5174, 2.3869]","[216, 206, 206, 247, 243, 233, 215, 158, 221, 206]","[1.1077, 1.241, 1.2335, 1.0833, 1.0848, 1.0939, 1.1082, 1.1286, 1.0995, 1.2262]",460.1,2.4235700000000002,215.1,1.14067
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[526, 718, 517, 514, 559, 565, 535, 622, 517, 556]","[2.9718, 2.9793, 2.9713, 2.9711, 2.9734, 2.9737, 2.9722, 2.9761, 2.9713, 2.9733]","[531, 723, 522, 519, 564, 570, 540, 627, 522, 561]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",562.9,2.97335,567.9,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[286, 281, 263, 291, 259, 326, 223, 308, 242, 299]","[1.3364, 1.3445, 1.377, 1.3288, 1.385, 1.2835, 1.4768, 1.3051, 1.4235, 1.3172]","[291, 286, 268, 296, 264, 331, 228, 313, 247, 304]","[1.3598, 1.3684, 1.4031, 1.3516, 1.4118, 1.3031, 1.5099, 1.3263, 1.4529, 1.3392]",277.8,1.35778,282.8,1.38261
"Tit For Tat,Grudger","[0, 0, 10]","[744, 588, 534, 627, 750, 777, 678, 663, 750, 705]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[744, 588, 534, 627, 750, 777, 678, 663, 750, 705]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",681.6,3.0,681.6,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Joss: 0.9","[0, 10, 0]","[227, 171, 207, 226, 190, 187, 231, 240, 191, 279]","[1.1019, 1.14, 1.1129, 1.1024, 1.1243, 1.1265, 1.1, 1.0959, 1.1235, 1.0814]","[232, 176, 212, 231, 195, 192, 236, 245, 196, 284]","[1.1262, 1.1733, 1.1398, 1.1268, 1.1538, 1.1566, 1.1238, 1.1187, 1.1529, 1.1008]",214.9,1.11088,219.9,1.13727
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[537, 480, 429, 711, 744, 591, 462, 762, 627, 741]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[537, 480, 429, 711, 744, 591, 462, 762, 627, 741]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",608.4,3.0,608.4,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Tullock","[0, 10, 0]","[204, 268, 270, 303, 264, 201, 224, 218, 270, 271]","[1.4167, 1.2885, 1.2857, 1.2469, 1.2941, 1.4255, 1.3659, 1.3797, 1.2857, 1.2844]","[209, 273, 275, 308, 269, 206, 229, 223, 275, 276]","[1.4514, 1.3125, 1.3095, 1.2675, 1.3186, 1.461, 1.3963, 1.4114, 1.3095, 1.3081]",249.3,1.32731,254.3,1.3545800000000001
"Tit For Tat,First by Graaskamp: 0.05","[0, 6, 4]","[470, 440, 465, 405, 535, 450, 405, 510, 585, 375]","[2.6257, 2.6347, 2.6271, 2.6645, 2.6098, 2.6471, 2.6471, 2.6289, 2.6, 2.6786]","[475, 445, 470, 405, 540, 450, 410, 510, 590, 375]","[2.6536, 2.6647, 2.6554, 2.6645, 2.6341, 2.6471, 2.6797, 2.6289, 2.6222, 2.6786]",464.0,2.63635,467.0,2.65288
"First by Stein and Rapoport: 0.05: (D, D),First by Anonymous","[10, 0, 0]","[770, 718, 726, 701, 496, 448, 544, 636, 691, 476]","[2.9845, 2.9669, 2.9512, 2.9578, 2.9524, 2.9474, 2.9565, 2.9444, 2.9404, 2.975]","[165, 158, 161, 156, 121, 113, 129, 146, 156, 116]","[0.6395, 0.6529, 0.6545, 0.6582, 0.7202, 0.7434, 0.7011, 0.6759, 0.6638, 0.725]",620.6,2.95765,142.1,0.68345
"Tit For Tat,First by Downing","[0, 0, 10]","[570, 465, 477, 417, 534, 561, 489, 522, 609, 753]","[2.9843, 2.9808, 2.9813, 2.9786, 2.9832, 2.984, 2.9817, 2.9829, 2.9853, 2.9881]","[570, 465, 477, 417, 534, 561, 489, 522, 609, 753]","[2.9843, 2.9808, 2.9813, 2.9786, 2.9832, 2.984, 2.9817, 2.9829, 2.9853, 2.9881]",539.7,2.9830200000000002,539.7,2.9830200000000002
"First by Stein and Rapoport: 0.05: (D, D),Random: 0.5","[10, 0, 0]","[567, 437, 660, 526, 577, 415, 716, 408, 403, 706]","[2.9227, 2.875, 3.0137, 2.9061, 2.9439, 2.8425, 3.0339, 2.8531, 2.838, 3.0431]","[222, 202, 230, 216, 222, 200, 256, 198, 198, 246]","[1.1443, 1.3289, 1.0502, 1.1934, 1.1327, 1.3699, 1.0847, 1.3846, 1.3944, 1.0603]",541.5,2.9272,219.0,1.21434
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[312, 275, 264, 347, 280, 273, 358, 320, 244, 325]","[1.4928, 1.5988, 1.6398, 1.4221, 1.5819, 1.6059, 1.4039, 1.4747, 1.7305, 1.464]","[317, 280, 269, 352, 285, 278, 363, 325, 249, 330]","[1.5167, 1.6279, 1.6708, 1.4426, 1.6102, 1.6353, 1.4235, 1.4977, 1.766, 1.4865]",299.8,1.54144,304.8,1.56772
"Grudger,First by Davis: 10","[0, 0, 10]","[702, 654, 582, 732, 780, 744, 690, 753, 486, 615]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[702, 654, 582, 732, 780, 744, 690, 753, 486, 615]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",673.8,3.0,673.8,3.0
"Tit For Tat,First by Joss: 0.9","[0, 10, 0]","[185, 181, 253, 251, 259, 218, 256, 200, 238, 156]","[1.0571, 1.0585, 1.0412, 1.0415, 1.0402, 1.0481, 1.0407, 1.0526, 1.0439, 1.0685]","[190, 186, 258, 256, 264, 223, 261, 205, 243, 161]","[1.0857, 1.0877, 1.0617, 1.0622, 1.0602, 1.0721, 1.061, 1.0789, 1.0658, 1.1027]",219.7,1.04923,224.7,1.0738
"Grudger,First by Downing","[10, 0, 0]","[205, 232, 232, 220, 268, 181, 193, 222, 253, 182]","[1.0567, 1.0498, 1.0498, 1.0526, 1.0428, 1.0647, 1.0604, 1.0521, 1.0455, 1.0643]","[195, 222, 222, 210, 258, 171, 183, 212, 243, 172]","[1.0052, 1.0045, 1.0045, 1.0048, 1.0039, 1.0059, 1.0055, 1.0047, 1.0041, 1.0058]",218.8,1.05387,208.8,1.00489
"Tit For Tat,First by Tullock","[0, 10, 0]","[335, 265, 243, 348, 361, 257, 304, 331, 310, 279]","[1.4378, 1.6258, 1.7234, 1.4146, 1.3938, 1.6581, 1.505, 1.4454, 1.4904, 1.5763]","[340, 270, 248, 353, 366, 262, 309, 336, 315, 284]","[1.4592, 1.6564, 1.7589, 1.435, 1.4131, 1.6903, 1.5297, 1.4672, 1.5144, 1.6045]",303.3,1.52706,308.3,1.55287
"Grudger,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[199, 291, 252, 193, 297, 217, 244, 238, 217, 197]","[1.3267, 1.2025, 1.2414, 1.3403, 1.1976, 1.2917, 1.2513, 1.2593, 1.2917, 1.3311]","[199, 291, 252, 193, 297, 217, 244, 238, 217, 197]","[1.3267, 1.2025, 1.2414, 1.3403, 1.1976, 1.2917, 1.2513, 1.2593, 1.2917, 1.3311]",234.5,1.27336,234.5,1.27336
"Tit For Tat,First by Anonymous","[0, 7, 3]","[375, 515, 576, 526, 478, 582, 458, 539, 356, 484]","[2.3292, 2.3303, 2.2767, 2.2969, 2.3317, 2.2734, 2.3487, 2.2936, 2.3117, 2.3269]","[375, 520, 581, 531, 483, 587, 458, 539, 361, 489]","[2.3292, 2.3529, 2.2964, 2.3188, 2.3561, 2.293, 2.3487, 2.2936, 2.3442, 2.351]",488.9,2.31191,492.4,2.32839
