P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Grudger,First by Joss: 0.9","[0, 0, 10]","[206, 258, 235, 193, 197, 195, 221, 206, 212, 272]","[1.1016, 1.0795, 1.088, 1.1092, 1.1067, 1.108, 1.0941, 1.1016, 1.0984, 1.0751]","[206, 258, 235, 193, 197, 195, 221, 206, 212, 272]","[1.1016, 1.0795, 1.088, 1.1092, 1.1067, 1.108, 1.0941, 1.1016, 1.0984, 1.0751]",219.5,1.09622,219.5,1.09622
"Tit For Tat,Random: 0.5","[0, 5, 5]","[411, 496, 387, 473, 456, 499, 474, 408, 368, 341]","[2.322, 2.2857, 2.3036, 2.2961, 2.303, 2.289, 2.2899, 2.3182, 2.2716, 2.2733]","[411, 496, 387, 478, 461, 499, 479, 408, 373, 346]","[2.322, 2.2857, 2.3036, 2.3204, 2.3283, 2.289, 2.314, 2.3182, 2.3025, 2.3067]",431.3,2.2952399999999997,433.8,2.30904
"Grudger,First by Tullock","[10, 0, 0]","[244, 302, 225, 198, 236, 299, 238, 207, 269, 262]","[1.2261, 1.1751, 1.25, 1.2941, 1.2356, 1.1772, 1.2332, 1.2778, 1.2009, 1.2074]","[219, 277, 200, 173, 211, 274, 213, 182, 244, 237]","[1.1005, 1.0778, 1.1111, 1.1307, 1.1047, 1.0787, 1.1036, 1.1235, 1.0893, 1.0922]",248.0,1.22774,223.0,1.10121
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[440, 563, 731, 614, 674, 584, 473, 701, 485, 533]","[2.973, 2.9788, 2.9837, 2.9806, 2.9823, 2.9796, 2.9748, 2.983, 2.9755, 2.9777]","[440, 563, 731, 614, 674, 584, 473, 701, 485, 533]","[2.973, 2.9788, 2.9837, 2.9806, 2.9823, 2.9796, 2.9748, 2.983, 2.9755, 2.9777]",579.8,2.9789,579.8,2.9789
"Grudger,First by Anonymous","[10, 0, 0]","[582, 621, 633, 633, 440, 452, 669, 619, 649, 736]","[3.0155, 2.9856, 2.9858, 2.9858, 3.0769, 3.0748, 2.9342, 3.0049, 2.95, 2.9798]","[102, 111, 113, 113, 75, 77, 124, 109, 119, 131]","[0.5285, 0.5337, 0.533, 0.533, 0.5245, 0.5238, 0.5439, 0.5291, 0.5409, 0.5304]",603.4,2.99933,107.4,0.53208
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[772, 466, 754, 523, 601, 496, 457, 433, 490, 766]","[3.0156, 3.026, 3.016, 3.0231, 3.0201, 3.0244, 3.0265, 3.028, 3.0247, 3.0157]","[762, 456, 744, 513, 591, 486, 447, 423, 480, 756]","[2.9766, 2.961, 2.976, 2.9653, 2.9698, 2.9634, 2.9603, 2.958, 2.963, 2.9764]",575.8,3.02201,565.8,2.96698
"Grudger,Random: 0.5","[10, 0, 0]","[681, 540, 613, 550, 648, 383, 695, 649, 577, 580]","[2.9353, 2.8272, 2.8915, 2.8497, 2.9058, 2.6972, 2.9202, 2.8973, 2.885, 2.8571]","[126, 110, 118, 110, 123, 88, 130, 124, 112, 115]","[0.5431, 0.5759, 0.5566, 0.5699, 0.5516, 0.6197, 0.5462, 0.5536, 0.56, 0.5665]",591.6,2.86663,115.6,0.56431
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[582, 498, 663, 534, 630, 516, 681, 609, 567, 441]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[577, 493, 658, 529, 625, 511, 676, 604, 562, 436]","[2.9742, 2.9699, 2.9774, 2.9719, 2.9762, 2.9709, 2.978, 2.9754, 2.9735, 2.966]",572.1,3.0,567.1,2.97334
"First by Davis: 10,First by Davis: 10","[0, 0, 10]","[765, 663, 720, 513, 645, 597, 636, 549, 714, 426]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[765, 663, 720, 513, 645, 597, 636, 549, 714, 426]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",622.8,3.0,622.8,3.0
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[624, 639, 471, 723, 759, 492, 672, 771, 435, 636]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[619, 634, 466, 718, 754, 487, 667, 766, 430, 631]","[2.976, 2.9765, 2.9682, 2.9793, 2.9802, 2.9695, 2.9777, 2.9805, 2.9655, 2.9764]",622.2,3.0,617.2,2.97498
"First by Davis: 10,First by Graaskamp: 0.05","[10, 0, 0]","[378, 436, 406, 455, 409, 405, 378, 441, 365, 466]","[2.2105, 1.9039, 2.0402, 1.8347, 2.0248, 2.0455, 2.2105, 1.8846, 2.3101, 1.7992]","[248, 306, 276, 325, 279, 275, 248, 311, 235, 336]","[1.4503, 1.3362, 1.3869, 1.3105, 1.3812, 1.3889, 1.4503, 1.3291, 1.4873, 1.2973]",413.9,2.0264,283.9,1.3818
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[749, 437, 758, 539, 419, 515, 695, 707, 458, 428]","[2.9841, 2.9728, 2.9843, 2.9779, 2.9716, 2.9769, 2.9828, 2.9831, 2.974, 2.9722]","[749, 437, 758, 539, 419, 515, 695, 707, 458, 428]","[2.9841, 2.9728, 2.9843, 2.9779, 2.9716, 2.9769, 2.9828, 2.9831, 2.974, 2.9722]",570.5,2.97797,570.5,2.97797
"First by Graaskamp: 0.05,First by Downing","[10, 0, 0]","[813, 644, 731, 789, 673, 545, 766, 650, 702, 606]","[3.1512, 3.1415, 3.1509, 3.156, 3.1449, 3.1322, 3.1523, 3.1401, 3.148, 3.1399]","[708, 564, 636, 684, 588, 480, 666, 570, 612, 531]","[2.7442, 2.7512, 2.7414, 2.736, 2.7477, 2.7586, 2.7407, 2.7536, 2.7444, 2.7513]",691.9,3.1457,603.9,2.74691
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[771, 441, 765, 732, 729, 732, 567, 618, 456, 636]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[766, 436, 760, 727, 724, 727, 562, 613, 451, 631]","[2.9805, 2.966, 2.9804, 2.9795, 2.9794, 2.9795, 2.9735, 2.9757, 2.9671, 2.9764]",644.7,3.0,639.7,2.9758
"First by Graaskamp: 0.05,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[264, 302, 312, 320, 331, 314, 221, 298, 284, 326]","[1.4118, 1.3422, 1.3277, 1.3169, 1.3031, 1.3249, 1.5347, 1.3484, 1.372, 1.3092]","[269, 307, 317, 325, 336, 319, 226, 303, 289, 331]","[1.4385, 1.3644, 1.3489, 1.3374, 1.3228, 1.346, 1.5694, 1.371, 1.3961, 1.3293]",297.2,1.35909,302.2,1.38238
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[513, 534, 543, 606, 618, 627, 507, 546, 744, 477]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[508, 529, 538, 601, 613, 622, 502, 541, 739, 472]","[2.9708, 2.9719, 2.9724, 2.9752, 2.9757, 2.9761, 2.9704, 2.9725, 2.9798, 2.9686]",571.5,3.0,566.5,2.97334
"First by Graaskamp: 0.05,First by Tullock","[0, 10, 0]","[243, 296, 256, 306, 217, 296, 307, 294, 261, 236]","[1.2462, 1.1935, 1.2308, 1.186, 1.284, 1.1935, 1.1853, 1.1951, 1.2254, 1.2553]","[248, 301, 261, 311, 222, 301, 312, 299, 266, 241]","[1.2718, 1.2137, 1.2548, 1.2054, 1.3136, 1.2137, 1.2046, 1.2154, 1.2488, 1.2819]",271.2,1.21951,276.2,1.24237
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[684, 574, 719, 632, 719, 730, 422, 456, 545, 594]","[2.9739, 2.9436, 2.9711, 2.9533, 2.9711, 2.9555, 2.9929, 2.961, 2.9781, 2.97]","[639, 549, 674, 602, 674, 690, 392, 431, 510, 559]","[2.7783, 2.8154, 2.7851, 2.8131, 2.7851, 2.7935, 2.7801, 2.7987, 2.7869, 2.795]",607.5,2.96705,572.0,2.79312
"First by Graaskamp: 0.05,Random: 0.5","[10, 0, 0]","[680, 739, 499, 728, 560, 547, 495, 596, 515, 650]","[2.8452, 2.8643, 2.8678, 2.8549, 2.9319, 2.9409, 2.9118, 2.936, 2.8933, 2.8889]","[230, 239, 194, 238, 200, 197, 190, 206, 195, 220]","[0.9623, 0.9264, 1.1149, 0.9333, 1.0471, 1.0591, 1.1176, 1.0148, 1.0955, 0.9778]",600.9,2.8935,210.9,1.02488
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[231, 193, 198, 285, 186, 291, 190, 233, 201, 247]","[1.1667, 1.2063, 1.2, 1.131, 1.2157, 1.1279, 1.2102, 1.165, 1.1964, 1.1542]","[201, 163, 168, 255, 156, 261, 160, 203, 171, 217]","[1.0152, 1.0188, 1.0182, 1.0119, 1.0196, 1.0116, 1.0191, 1.015, 1.0179, 1.014]",225.5,1.17734,195.5,1.01613
"First by Downing,Random: 0.5","[10, 0, 0]","[727, 576, 561, 473, 648, 502, 430, 699, 533, 571]","[2.9433, 2.88, 2.8477, 2.7988, 2.9455, 2.8202, 2.7922, 2.9745, 2.8201, 2.8693]","[147, 126, 126, 113, 133, 117, 105, 139, 123, 126]","[0.5951, 0.63, 0.6396, 0.6686, 0.6045, 0.6573, 0.6818, 0.5915, 0.6508, 0.6332]",572.0,2.86916,125.5,0.63524
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[208, 284, 225, 215, 204, 173, 177, 267, 242, 176]","[1.1429, 1.1008, 1.1307, 1.1376, 1.1461, 1.1769, 1.1722, 1.1079, 1.1204, 1.1733]","[213, 289, 230, 220, 209, 178, 182, 272, 247, 181]","[1.1703, 1.1202, 1.1558, 1.164, 1.1742, 1.2109, 1.2053, 1.1286, 1.1435, 1.2067]",217.1,1.1408800000000001,222.1,1.16795
"First by Feld: 1.0, 0.5, 200,First by Joss: 0.9","[0, 10, 0]","[158, 263, 218, 181, 278, 265, 167, 269, 200, 180]","[1.1286, 1.0735, 1.09, 1.1104, 1.0692, 1.0729, 1.1208, 1.0717, 1.0989, 1.1111]","[163, 268, 223, 186, 283, 270, 172, 274, 205, 185]","[1.1643, 1.0939, 1.115, 1.1411, 1.0885, 1.0931, 1.1544, 1.0916, 1.1264, 1.142]",217.9,1.09471,222.9,1.12103
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 0, 10]","[178, 219, 207, 160, 182, 163, 265, 234, 158, 159]","[1.0595, 1.0478, 1.0508, 1.0667, 1.0581, 1.0654, 1.0392, 1.0446, 1.0676, 1.0671]","[178, 219, 207, 160, 182, 163, 265, 234, 158, 159]","[1.0595, 1.0478, 1.0508, 1.0667, 1.0581, 1.0654, 1.0392, 1.0446, 1.0676, 1.0671]",192.5,1.05668,192.5,1.05668
"First by Feld: 1.0, 0.5, 200,First by Anonymous","[10, 0, 0]","[337, 524, 337, 324, 371, 582, 579, 536, 344, 371]","[2.3082, 2.4037, 2.3241, 2.2979, 2.3188, 2.3755, 2.4025, 2.4036, 2.3087, 2.3333]","[312, 424, 307, 299, 336, 467, 459, 436, 314, 331]","[2.137, 1.945, 2.1172, 2.1206, 2.1, 1.9061, 1.9046, 1.9552, 2.1074, 2.0818]",430.5,2.34763,368.5,2.03749
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[10, 0, 0]","[275, 229, 251, 213, 263, 241, 309, 284, 307, 313]","[1.3158, 1.4049, 1.3568, 1.449, 1.335, 1.3771, 1.2716, 1.3028, 1.2739, 1.2672]","[260, 214, 236, 198, 248, 226, 294, 269, 292, 298]","[1.244, 1.3129, 1.2757, 1.3469, 1.2589, 1.2914, 1.2099, 1.2339, 1.2116, 1.2065]",268.5,1.33541,253.5,1.25917
"First by Joss: 0.9,First by Joss: 0.9","[5, 5, 0]","[264, 208, 206, 237, 194, 280, 234, 290, 278, 234]","[1.133, 1.1751, 1.1771, 1.1505, 1.1902, 1.1245, 1.1527, 1.1197, 1.1255, 1.1527]","[269, 213, 211, 242, 199, 285, 239, 295, 283, 239]","[1.1545, 1.2034, 1.2057, 1.1748, 1.2209, 1.1446, 1.1773, 1.139, 1.1457, 1.1773]",242.5,1.1501000000000001,247.5,1.17432
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[560, 623, 415, 549, 417, 403, 484, 403, 616, 604]","[2.8571, 2.8843, 2.8425, 2.8446, 2.8176, 2.838, 2.881, 2.838, 2.892, 2.9038]","[170, 183, 130, 169, 132, 128, 144, 128, 181, 174]","[0.8673, 0.8472, 0.8904, 0.8756, 0.8919, 0.9014, 0.8571, 0.9014, 0.8498, 0.8365]",507.4,2.85989,153.9,0.87186
"First by Joss: 0.9,First by Anonymous","[10, 0, 0]","[350, 375, 562, 347, 419, 478, 542, 316, 534, 542]","[2.2436, 2.2866, 2.2753, 2.268, 2.2287, 2.2762, 2.2583, 2.2411, 2.2627, 2.2678]","[325, 345, 517, 322, 389, 443, 502, 296, 489, 497]","[2.0833, 2.1037, 2.0931, 2.1046, 2.0691, 2.1095, 2.0917, 2.0993, 2.072, 2.0795]",446.5,2.26083,412.5,2.09058
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[706, 445, 678, 415, 632, 632, 557, 720, 465, 563]","[2.9664, 2.8896, 2.9478, 2.8621, 2.9259, 2.9259, 2.9471, 2.9508, 2.943, 2.9476]","[171, 125, 168, 115, 162, 162, 147, 175, 125, 148]","[0.7185, 0.8117, 0.7304, 0.7931, 0.75, 0.75, 0.7778, 0.7172, 0.7911, 0.7749]",581.3,2.9306200000000002,149.8,0.76147
"First by Tullock,First by Anonymous","[10, 0, 0]","[407, 358, 358, 413, 407, 622, 536, 475, 348, 432]","[2.528, 2.5035, 2.5035, 2.5337, 2.528, 2.5388, 2.493, 2.4611, 2.4857, 2.5116]","[327, 293, 293, 333, 327, 507, 436, 395, 288, 362]","[2.0311, 2.049, 2.049, 2.0429, 2.0311, 2.0694, 2.0279, 2.0466, 2.0571, 2.1047]",435.6,2.50869,356.1,2.05088
"First by Nydegger,First by Nydegger","[0, 0, 10]","[441, 636, 729, 726, 780, 732, 621, 429, 648, 480]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[441, 636, 729, 726, 780, 732, 621, 429, 648, 480]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",622.2,3.0,622.2,3.0
"First by Anonymous,First by Anonymous","[5, 5, 0]","[461, 587, 466, 529, 400, 518, 466, 453, 387, 557]","[2.4392, 2.4458, 2.4526, 2.4605, 2.4096, 2.4434, 2.4526, 2.4225, 2.3742, 2.4537]","[416, 532, 416, 474, 365, 468, 416, 413, 362, 502]","[2.2011, 2.2167, 2.1895, 2.2047, 2.1988, 2.2075, 2.1895, 2.2086, 2.2209, 2.2115]",482.4,2.43541,436.4,2.2048799999999997
