Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
35,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
35,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
36,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
36,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
37,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
37,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
38,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
38,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
39,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
39,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
40,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
40,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
41,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
41,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
42,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
42,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
43,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
43,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
44,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
44,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
45,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
45,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
46,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
46,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
47,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
47,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
48,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
48,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
49,Grudger,First by Joss: 0.9,209,0,1.045,"[0, 0, 1]"
49,First by Joss: 0.9,Grudger,209,0,1.045,"[0, 0, 1]"
50,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
