P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Graaskamp: 0.05,Random: 0.5","[10, 0, 0]","[530, 530, 530, 530, 530, 530, 530, 530, 530, 530]","[2.65, 2.65, 2.65, 2.65, 2.65, 2.65, 2.65, 2.65, 2.65, 2.65]","[205, 205, 205, 205, 205, 205, 205, 205, 205, 205]","[1.025, 1.025, 1.025, 1.025, 1.025, 1.025, 1.025, 1.025, 1.025, 1.025]",530,2.65,205,1.025
"Tit For Tat,First by Graaskamp: 0.05","[0, 0, 10]","[525, 525, 525, 525, 525, 525, 525, 525, 525, 525]","[2.625, 2.625, 2.625, 2.625, 2.625, 2.625, 2.625, 2.625, 2.625, 2.625]","[525, 525, 525, 525, 525, 525, 525, 525, 525, 525]","[2.625, 2.625, 2.625, 2.625, 2.625, 2.625, 2.625, 2.625, 2.625, 2.625]",525,2.625,525,2.625
"First by Downing,First by Joss: 0.9","[0, 10, 0]","[555, 555, 555, 555, 555, 555, 555, 555, 555, 555]","[2.775, 2.775, 2.775, 2.775, 2.775, 2.775, 2.775, 2.775, 2.775, 2.775]","[625, 625, 625, 625, 625, 625, 625, 625, 625, 625]","[3.125, 3.125, 3.125, 3.125, 3.125, 3.125, 3.125, 3.125, 3.125, 3.125]",555,2.775,625,3.125
"Tit For Tat,First by Downing","[0, 0, 10]","[597, 597, 597, 597, 597, 597, 597, 597, 597, 597]","[2.985, 2.985, 2.985, 2.985, 2.985, 2.985, 2.985, 2.985, 2.985, 2.985]","[597, 597, 597, 597, 597, 597, 597, 597, 597, 597]","[2.985, 2.985, 2.985, 2.985, 2.985, 2.985, 2.985, 2.985, 2.985, 2.985]",597,2.985,597,2.985
"First by Downing,First by Anonymous","[10, 0, 0]","[603, 603, 603, 603, 603, 603, 603, 603, 603, 603]","[3.015, 3.015, 3.015, 3.015, 3.015, 3.015, 3.015, 3.015, 3.015, 3.015]","[103, 103, 103, 103, 103, 103, 103, 103, 103, 103]","[0.515, 0.515, 0.515, 0.515, 0.515, 0.515, 0.515, 0.515, 0.515, 0.515]",603,3.015,103,0.515
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[239, 239, 239, 239, 239, 239, 239, 239, 239, 239]","[1.195, 1.195, 1.195, 1.195, 1.195, 1.195, 1.195, 1.195, 1.195, 1.195]","[244, 244, 244, 244, 244, 244, 244, 244, 244, 244]","[1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22]",239,1.195,244,1.22
"First by Feld: 1.0, 0.5, 200,First by Feld: 1.0, 0.5, 200","[5, 5, 0]","[268, 268, 268, 268, 268, 268, 268, 268, 268, 268]","[1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34]","[263, 263, 263, 263, 263, 263, 263, 263, 263, 263]","[1.315, 1.315, 1.315, 1.315, 1.315, 1.315, 1.315, 1.315, 1.315, 1.315]",268,1.34,263,1.315
"Tit For Tat,First by Joss: 0.9","[0, 10, 0]","[258, 258, 258, 258, 258, 258, 258, 258, 258, 258]","[1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29]","[263, 263, 263, 263, 263, 263, 263, 263, 263, 263]","[1.315, 1.315, 1.315, 1.315, 1.315, 1.315, 1.315, 1.315, 1.315, 1.315]",258,1.29,263,1.315
"First by Feld: 1.0, 0.5, 200,First by Tullock","[10, 0, 0]","[292, 292, 292, 292, 292, 292, 292, 292, 292, 292]","[1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46, 1.46]","[277, 277, 277, 277, 277, 277, 277, 277, 277, 277]","[1.385, 1.385, 1.385, 1.385, 1.385, 1.385, 1.385, 1.385, 1.385, 1.385]",292,1.46,277,1.385
"Tit For Tat,First by Tullock","[0, 10, 0]","[286, 286, 286, 286, 286, 286, 286, 286, 286, 286]","[1.43, 1.43, 1.43, 1.43, 1.43, 1.43, 1.43, 1.43, 1.43, 1.43]","[291, 291, 291, 291, 291, 291, 291, 291, 291, 291]","[1.455, 1.455, 1.455, 1.455, 1.455, 1.455, 1.455, 1.455, 1.455, 1.455]",286,1.43,291,1.455
"First by Feld: 1.0, 0.5, 200,Random: 0.5","[10, 0, 0]","[471, 471, 471, 471, 471, 471, 471, 471, 471, 471]","[2.355, 2.355, 2.355, 2.355, 2.355, 2.355, 2.355, 2.355, 2.355, 2.355]","[351, 351, 351, 351, 351, 351, 351, 351, 351, 351]","[1.755, 1.755, 1.755, 1.755, 1.755, 1.755, 1.755, 1.755, 1.755, 1.755]",471,2.355,351,1.755
"Tit For Tat,First by Anonymous","[0, 10, 0]","[456, 456, 456, 456, 456, 456, 456, 456, 456, 456]","[2.28, 2.28, 2.28, 2.28, 2.28, 2.28, 2.28, 2.28, 2.28, 2.28]","[461, 461, 461, 461, 461, 461, 461, 461, 461, 461]","[2.305, 2.305, 2.305, 2.305, 2.305, 2.305, 2.305, 2.305, 2.305, 2.305]",456,2.28,461,2.305
"First by Joss: 0.9,First by Tullock","[10, 0, 0]","[267, 267, 267, 267, 267, 267, 267, 267, 267, 267]","[1.335, 1.335, 1.335, 1.335, 1.335, 1.335, 1.335, 1.335, 1.335, 1.335]","[257, 257, 257, 257, 257, 257, 257, 257, 257, 257]","[1.285, 1.285, 1.285, 1.285, 1.285, 1.285, 1.285, 1.285, 1.285, 1.285]",267,1.335,257,1.285
"Tit For Tat,Random: 0.5","[0, 10, 0]","[458, 458, 458, 458, 458, 458, 458, 458, 458, 458]","[2.29, 2.29, 2.29, 2.29, 2.29, 2.29, 2.29, 2.29, 2.29, 2.29]","[463, 463, 463, 463, 463, 463, 463, 463, 463, 463]","[2.315, 2.315, 2.315, 2.315, 2.315, 2.315, 2.315, 2.315, 2.315, 2.315]",458,2.29,463,2.315
"First by Joss: 0.9,Random: 0.5","[10, 0, 0]","[461, 461, 461, 461, 461, 461, 461, 461, 461, 461]","[2.305, 2.305, 2.305, 2.305, 2.305, 2.305, 2.305, 2.305, 2.305, 2.305]","[401, 401, 401, 401, 401, 401, 401, 401, 401, 401]","[2.005, 2.005, 2.005, 2.005, 2.005, 2.005, 2.005, 2.005, 2.005, 2.005]",461,2.305,401,2.005
