P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[672, 780, 741, 423, 738, 681, 516, 495, 522, 519]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[672, 780, 741, 423, 738, 681, 516, 495, 522, 519]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",608.7,3.0,608.7,3.0
"First by Grofman,Random: 0.5","[0, 10, 0]","[520, 339, 334, 550, 541, 465, 386, 452, 501, 445]","[2.1224, 2.1187, 2.1548, 2.1318, 2.1216, 2.0667, 2.0423, 2.0452, 2.141, 2.0794]","[695, 449, 434, 730, 721, 655, 546, 647, 661, 620]","[2.8367, 2.8062, 2.8, 2.8295, 2.8275, 2.9111, 2.8889, 2.9276, 2.8248, 2.8972]",453.3,2.1023899999999998,615.8,2.85495
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[700, 643, 700, 484, 715, 607, 595, 697, 424, 472]","[2.9787, 2.9769, 2.9787, 2.9693, 2.9792, 2.9755, 2.975, 2.9786, 2.965, 2.9686]","[705, 648, 705, 489, 720, 612, 600, 702, 429, 477]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",603.7,2.97455,608.7,3.0
"First by Shubik,Grudger","[0, 0, 10]","[519, 507, 627, 774, 705, 531, 597, 567, 720, 771]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[519, 507, 627, 774, 705, 531, 597, 567, 720, 771]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",631.8,3.0,631.8,3.0
"Tit For Tat,First by Nydegger","[0, 0, 10]","[645, 450, 570, 651, 681, 564, 489, 600, 648, 513]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[645, 450, 570, 651, 681, 564, 489, 600, 648, 513]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",581.1,3.0,581.1,3.0
"First by Shubik,First by Davis: 10","[0, 0, 10]","[699, 450, 636, 771, 741, 651, 732, 435, 573, 699]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[699, 450, 636, 771, 741, 651, 732, 435, 573, 699]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",638.7,3.0,638.7,3.0
"Tit For Tat,First by Grofman","[0, 0, 10]","[624, 426, 534, 432, 699, 621, 552, 630, 432, 612]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[624, 426, 534, 432, 699, 621, 552, 630, 432, 612]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",556.2,3.0,556.2,3.0
"First by Shubik,First by Graaskamp: 0.05","[10, 0, 0]","[690, 680, 642, 636, 674, 683, 662, 606, 699, 636]","[2.7711, 2.8571, 3.2424, 3.3298, 2.9052, 2.8223, 3.0228, 3.5233, 2.7093, 3.3298]","[425, 410, 362, 351, 404, 418, 387, 331, 434, 351]","[1.7068, 1.7227, 1.8283, 1.8377, 1.7414, 1.7273, 1.7671, 1.9244, 1.6822, 1.8377]",660.8,3.05131,387.3,1.77756
"Tit For Tat,First by Shubik","[0, 0, 10]","[621, 651, 525, 552, 720, 669, 546, 684, 495, 420]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[621, 651, 525, 552, 720, 669, 546, 684, 495, 420]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",588.3,3.0,588.3,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Davis: 10","[10, 0, 0]","[471, 471, 450, 438, 453, 423, 699, 738, 615, 636]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[466, 466, 445, 433, 448, 418, 694, 733, 610, 631]","[2.9682, 2.9682, 2.9667, 2.9658, 2.9669, 2.9645, 2.9785, 2.9797, 2.9756, 2.9764]",539.4,3.0,534.4,2.97105
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[439, 748, 502, 487, 598, 598, 706, 568, 694, 628]","[2.9662, 2.9801, 2.9704, 2.9695, 2.9751, 2.9751, 2.9789, 2.9738, 2.9785, 2.9763]","[444, 753, 507, 492, 603, 603, 711, 573, 699, 633]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",596.8,2.97439,601.8,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Downing","[10, 0, 0]","[504, 401, 536, 416, 492, 519, 569, 486, 494, 533]","[2.5327, 2.3869, 2.3612, 2.4327, 2.5759, 2.4252, 2.2851, 2.627, 2.5596, 2.3795]","[219, 206, 246, 206, 212, 234, 269, 206, 214, 243]","[1.1005, 1.2262, 1.0837, 1.2047, 1.1099, 1.0935, 1.0803, 1.1135, 1.1088, 1.0848]",495.0,2.4565799999999998,225.5,1.12059
"Tit For Tat,Grudger","[0, 0, 10]","[552, 438, 702, 651, 429, 447, 480, 699, 660, 489]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[552, 438, 702, 651, 429, 447, 480, 699, 660, 489]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",554.7,3.0,554.7,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[254, 290, 246, 292, 210, 252, 282, 188, 217, 209]","[1.2212, 1.1885, 1.23, 1.187, 1.2805, 1.2233, 1.1949, 1.3239, 1.269, 1.2822]","[264, 300, 256, 302, 220, 262, 292, 198, 227, 219]","[1.2692, 1.2295, 1.28, 1.2276, 1.3415, 1.2718, 1.2373, 1.3944, 1.3275, 1.3436]",244.0,1.24005,254.0,1.29224
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[522, 666, 759, 600, 429, 576, 441, 678, 588, 546]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[522, 666, 759, 600, 429, 576, 441, 678, 588, 546]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",580.5,3.0,580.5,3.0
