Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
37,First by Shubik,Grudger,567,0,3.0,"[0, 0, 1]"
37,Grudger,First by Shubik,567,0,3.0,"[0, 0, 1]"
38,First by Shubik,Grudger,720,0,3.0,"[0, 0, 1]"
38,Grudger,First by Shubik,720,0,3.0,"[0, 0, 1]"
39,First by Shubik,Grudger,771,0,3.0,"[0, 0, 1]"
39,Grudger,First by Shubik,771,0,3.0,"[0, 0, 1]"
40,Tit For Tat,First by Nydegger,645,0,3.0,"[0, 0, 1]"
40,First by Nydegger,Tit For Tat,645,0,3.0,"[0, 0, 1]"
41,Tit For Tat,First by Nydegger,450,0,3.0,"[0, 0, 1]"
41,First by Nydegger,Tit For Tat,450,0,3.0,"[0, 0, 1]"
42,Tit For Tat,First by Nydegger,570,0,3.0,"[0, 0, 1]"
42,First by Nydegger,Tit For Tat,570,0,3.0,"[0, 0, 1]"
43,Tit For Tat,First by Nydegger,651,0,3.0,"[0, 0, 1]"
43,First by Nydegger,Tit For Tat,651,0,3.0,"[0, 0, 1]"
44,Tit For Tat,First by Nydegger,681,0,3.0,"[0, 0, 1]"
44,First by Nydegger,Tit For Tat,681,0,3.0,"[0, 0, 1]"
45,Tit For Tat,First by Nydegger,564,0,3.0,"[0, 0, 1]"
45,First by Nydegger,Tit For Tat,564,0,3.0,"[0, 0, 1]"
46,Tit For Tat,First by Nydegger,489,0,3.0,"[0, 0, 1]"
46,First by Nydegger,Tit For Tat,489,0,3.0,"[0, 0, 1]"
47,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
47,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
48,Tit For Tat,First by Nydegger,648,0,3.0,"[0, 0, 1]"
48,First by Nydegger,Tit For Tat,648,0,3.0,"[0, 0, 1]"
49,Tit For Tat,First by Nydegger,513,0,3.0,"[0, 0, 1]"
49,First by Nydegger,Tit For Tat,513,0,3.0,"[0, 0, 1]"
50,First by Shubik,First by Davis: 10,699,0,3.0,"[0, 0, 1]"
50,First by Davis: 10,First by Shubik,699,0,3.0,"[0, 0, 1]"
51,First by Shubik,First by Davis: 10,450,0,3.0,"[0, 0, 1]"
51,First by Davis: 10,First by Shubik,450,0,3.0,"[0, 0, 1]"
52,First by Shubik,First by Davis: 10,636,0,3.0,"[0, 0, 1]"
52,First by Davis: 10,First by Shubik,636,0,3.0,"[0, 0, 1]"
53,First by Shubik,First by Davis: 10,771,0,3.0,"[0, 0, 1]"
53,First by Davis: 10,First by Shubik,771,0,3.0,"[0, 0, 1]"
54,First by Shubik,First by Davis: 10,741,0,3.0,"[0, 0, 1]"
54,First by Davis: 10,First by Shubik,741,0,3.0,"[0, 0, 1]"
55,First by Shubik,First by Davis: 10,651,0,3.0,"[0, 0, 1]"
55,First by Davis: 10,First by Shubik,651,0,3.0,"[0, 0, 1]"
56,First by Shubik,First by Davis: 10,732,0,3.0,"[0, 0, 1]"
56,First by Davis: 10,First by Shubik,732,0,3.0,"[0, 0, 1]"
57,First by Shubik,First by Davis: 10,435,0,3.0,"[0, 0, 1]"
57,First by Davis: 10,First by Shubik,435,0,3.0,"[0, 0, 1]"
58,First by Shubik,First by Davis: 10,573,0,3.0,"[0, 0, 1]"
58,First by Davis: 10,First by Shubik,573,0,3.0,"[0, 0, 1]"
59,First by Shubik,First by Davis: 10,699,0,3.0,"[0, 0, 1]"
59,First by Davis: 10,First by Shubik,699,0,3.0,"[0, 0, 1]"
60,Tit For Tat,First by Grofman,624,0,3.0,"[0, 0, 1]"
60,First by Grofman,Tit For Tat,624,0,3.0,"[0, 0, 1]"
61,Tit For Tat,First by Grofman,426,0,3.0,"[0, 0, 1]"
61,First by Grofman,Tit For Tat,426,0,3.0,"[0, 0, 1]"
62,Tit For Tat,First by Grofman,534,0,3.0,"[0, 0, 1]"
62,First by Grofman,Tit For Tat,534,0,3.0,"[0, 0, 1]"
63,Tit For Tat,First by Grofman,432,0,3.0,"[0, 0, 1]"
63,First by Grofman,Tit For Tat,432,0,3.0,"[0, 0, 1]"
64,Tit For Tat,First by Grofman,699,0,3.0,"[0, 0, 1]"
64,First by Grofman,Tit For Tat,699,0,3.0,"[0, 0, 1]"
65,Tit For Tat,First by Grofman,621,0,3.0,"[0, 0, 1]"
65,First by Grofman,Tit For Tat,621,0,3.0,"[0, 0, 1]"
66,Tit For Tat,First by Grofman,552,0,3.0,"[0, 0, 1]"
66,First by Grofman,Tit For Tat,552,0,3.0,"[0, 0, 1]"
67,Tit For Tat,First by Grofman,630,0,3.0,"[0, 0, 1]"
67,First by Grofman,Tit For Tat,630,0,3.0,"[0, 0, 1]"
68,Tit For Tat,First by Grofman,432,0,3.0,"[0, 0, 1]"
68,First by Grofman,Tit For Tat,432,0,3.0,"[0, 0, 1]"
69,Tit For Tat,First by Grofman,612,0,3.0,"[0, 0, 1]"
