Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
0,Tit For Tat,Tit For Tat,639,0,3.0,"[0, 0, 1]"
0,Tit For Tat,Tit For Tat,639,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,564,0,3.0,"[0, 0, 1]"
1,Tit For Tat,Tit For Tat,564,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,420,0,3.0,"[0, 0, 1]"
2,Tit For Tat,Tit For Tat,420,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,711,0,3.0,"[0, 0, 1]"
3,Tit For Tat,Tit For Tat,711,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,669,0,3.0,"[0, 0, 1]"
4,Tit For Tat,Tit For Tat,669,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,486,0,3.0,"[0, 0, 1]"
5,Tit For Tat,Tit For Tat,486,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,462,0,3.0,"[0, 0, 1]"
6,Tit For Tat,Tit For Tat,462,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,699,0,3.0,"[0, 0, 1]"
7,Tit For Tat,Tit For Tat,699,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,558,0,3.0,"[0, 0, 1]"
8,Tit For Tat,Tit For Tat,558,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,726,0,3.0,"[0, 0, 1]"
9,Tit For Tat,Tit For Tat,726,0,3.0,"[0, 0, 1]"
10,First by Shubik,First by Davis: 10,573,0,3.0,"[0, 0, 1]"
10,First by Davis: 10,First by Shubik,573,0,3.0,"[0, 0, 1]"
11,First by Shubik,First by Davis: 10,453,0,3.0,"[0, 0, 1]"
11,First by Davis: 10,First by Shubik,453,0,3.0,"[0, 0, 1]"
12,First by Shubik,First by Davis: 10,474,0,3.0,"[0, 0, 1]"
12,First by Davis: 10,First by Shubik,474,0,3.0,"[0, 0, 1]"
13,First by Shubik,First by Davis: 10,516,0,3.0,"[0, 0, 1]"
13,First by Davis: 10,First by Shubik,516,0,3.0,"[0, 0, 1]"
14,First by Shubik,First by Davis: 10,663,0,3.0,"[0, 0, 1]"
14,First by Davis: 10,First by Shubik,663,0,3.0,"[0, 0, 1]"
15,First by Shubik,First by Davis: 10,459,0,3.0,"[0, 0, 1]"
15,First by Davis: 10,First by Shubik,459,0,3.0,"[0, 0, 1]"
16,First by Shubik,First by Davis: 10,540,0,3.0,"[0, 0, 1]"
16,First by Davis: 10,First by Shubik,540,0,3.0,"[0, 0, 1]"
17,First by Shubik,First by Davis: 10,564,0,3.0,"[0, 0, 1]"
17,First by Davis: 10,First by Shubik,564,0,3.0,"[0, 0, 1]"
18,First by Shubik,First by Davis: 10,438,0,3.0,"[0, 0, 1]"
18,First by Davis: 10,First by Shubik,438,0,3.0,"[0, 0, 1]"
19,First by Shubik,First by Davis: 10,435,0,3.0,"[0, 0, 1]"
19,First by Davis: 10,First by Shubik,435,0,3.0,"[0, 0, 1]"
20,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",604,-5,2.9753694581280787,"[0, 1, 0]"
20,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,609,5,3.0,"[0, 1, 0]"
21,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",460,-5,2.967741935483871,"[0, 1, 0]"
21,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,465,5,3.0,"[0, 1, 0]"
22,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",520,-5,2.9714285714285715,"[0, 1, 0]"
22,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,525,5,3.0,"[0, 1, 0]"
23,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",676,-5,2.9779735682819384,"[0, 1, 0]"
23,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,681,5,3.0,"[0, 1, 0]"
24,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",448,-5,2.966887417218543,"[0, 1, 0]"
24,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,453,5,3.0,"[0, 1, 0]"
25,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",415,-5,2.9642857142857144,"[0, 1, 0]"
25,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,420,5,3.0,"[0, 1, 0]"
26,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",484,-5,2.9693251533742333,"[0, 1, 0]"
26,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,489,5,3.0,"[0, 1, 0]"
27,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",556,-5,2.9732620320855614,"[0, 1, 0]"
27,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,561,5,3.0,"[0, 1, 0]"
28,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",502,-5,2.970414201183432,"[0, 1, 0]"
28,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,507,5,3.0,"[0, 1, 0]"
29,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",532,-5,2.972067039106145,"[0, 1, 0]"
29,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,537,5,3.0,"[0, 1, 0]"
30,First by Shubik,First by Graaskamp: 0.05,838,395,3.4771784232365146,"[1, 0, 0]"
30,First by Graaskamp: 0.05,First by Shubik,443,-395,1.838174273858921,"[1, 0, 0]"
31,First by Shubik,First by Graaskamp: 0.05,601,250,3.454022988505747,"[1, 0, 0]"
31,First by Graaskamp: 0.05,First by Shubik,351,-250,2.0172413793103448,"[1, 0, 0]"
32,First by Shubik,First by Graaskamp: 0.05,668,295,3.4791666666666665,"[1, 0, 0]"
32,First by Graaskamp: 0.05,First by Shubik,373,-295,1.9427083333333333,"[1, 0, 0]"
33,First by Shubik,First by Graaskamp: 0.05,777,350,3.5,"[1, 0, 0]"
33,First by Graaskamp: 0.05,First by Shubik,427,-350,1.9234234234234235,"[1, 0, 0]"
34,First by Shubik,First by Graaskamp: 0.05,848,395,3.3784860557768925,"[1, 0, 0]"
34,First by Graaskamp: 0.05,First by Shubik,453,-395,1.804780876494024,"[1, 0, 0]"
35,First by Shubik,First by Graaskamp: 0.05,662,295,3.4842105263157896,"[1, 0, 0]"
35,First by Graaskamp: 0.05,First by Shubik,367,-295,1.931578947368421,"[1, 0, 0]"
36,First by Shubik,First by Graaskamp: 0.05,589,250,3.4647058823529413,"[1, 0, 0]"
36,First by Graaskamp: 0.05,First by Shubik,339,-250,1.994117647058824,"[1, 0, 0]"
37,First by Shubik,First by Graaskamp: 0.05,855,390,3.301158301158301,"[1, 0, 0]"
37,First by Graaskamp: 0.05,First by Shubik,465,-390,1.795366795366795,"[1, 0, 0]"
38,First by Shubik,First by Graaskamp: 0.05,823,390,3.532188841201717,"[1, 0, 0]"
38,First by Graaskamp: 0.05,First by Shubik,433,-390,1.8583690987124464,"[1, 0, 0]"
39,First by Shubik,First by Graaskamp: 0.05,749,350,3.5330188679245285,"[1, 0, 0]"
39,First by Graaskamp: 0.05,First by Shubik,399,-350,1.8820754716981127,"[1, 0, 0]"
40,Tit For Tat,First by Nydegger,750,0,3.0,"[0, 0, 1]"
40,First by Nydegger,Tit For Tat,750,0,3.0,"[0, 0, 1]"
41,Tit For Tat,First by Nydegger,702,0,3.0,"[0, 0, 1]"
41,First by Nydegger,Tit For Tat,702,0,3.0,"[0, 0, 1]"
42,Tit For Tat,First by Nydegger,513,0,3.0,"[0, 0, 1]"
42,First by Nydegger,Tit For Tat,513,0,3.0,"[0, 0, 1]"
43,Tit For Tat,First by Nydegger,627,0,3.0,"[0, 0, 1]"
43,First by Nydegger,Tit For Tat,627,0,3.0,"[0, 0, 1]"
44,Tit For Tat,First by Nydegger,636,0,3.0,"[0, 0, 1]"
44,First by Nydegger,Tit For Tat,636,0,3.0,"[0, 0, 1]"
45,Tit For Tat,First by Nydegger,702,0,3.0,"[0, 0, 1]"
45,First by Nydegger,Tit For Tat,702,0,3.0,"[0, 0, 1]"
46,Tit For Tat,First by Nydegger,600,0,3.0,"[0, 0, 1]"
46,First by Nydegger,Tit For Tat,600,0,3.0,"[0, 0, 1]"
47,Tit For Tat,First by Nydegger,729,0,3.0,"[0, 0, 1]"
47,First by Nydegger,Tit For Tat,729,0,3.0,"[0, 0, 1]"
48,Tit For Tat,First by Nydegger,567,0,3.0,"[0, 0, 1]"
48,First by Nydegger,Tit For Tat,567,0,3.0,"[0, 0, 1]"
49,Tit For Tat,First by Nydegger,468,0,3.0,"[0, 0, 1]"
49,First by Nydegger,Tit For Tat,468,0,3.0,"[0, 0, 1]"
50,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,456,5,3.0,"[1, 0, 0]"
50,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",451,-5,2.9671052631578947,"[1, 0, 0]"
51,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,636,5,3.0,"[1, 0, 0]"
51,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",631,-5,2.9764150943396226,"[1, 0, 0]"
52,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,630,5,3.0,"[1, 0, 0]"
52,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",625,-5,2.9761904761904763,"[1, 0, 0]"
53,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,654,5,3.0,"[1, 0, 0]"
53,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",649,-5,2.977064220183486,"[1, 0, 0]"
54,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,603,5,3.0,"[1, 0, 0]"
54,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",598,-5,2.9751243781094527,"[1, 0, 0]"
55,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,753,5,3.0,"[1, 0, 0]"
55,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",748,-5,2.9800796812749004,"[1, 0, 0]"
56,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,756,5,3.0,"[1, 0, 0]"
56,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",751,-5,2.9801587301587302,"[1, 0, 0]"
57,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,609,5,3.0,"[1, 0, 0]"
57,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",604,-5,2.9753694581280787,"[1, 0, 0]"
58,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,576,5,3.0,"[1, 0, 0]"
58,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",571,-5,2.973958333333333,"[1, 0, 0]"
59,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,753,5,3.0,"[1, 0, 0]"
59,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",748,-5,2.9800796812749004,"[1, 0, 0]"
60,Tit For Tat,First by Grofman,420,0,3.0,"[0, 0, 1]"
60,First by Grofman,Tit For Tat,420,0,3.0,"[0, 0, 1]"
61,Tit For Tat,First by Grofman,621,0,3.0,"[0, 0, 1]"
61,First by Grofman,Tit For Tat,621,0,3.0,"[0, 0, 1]"
62,Tit For Tat,First by Grofman,642,0,3.0,"[0, 0, 1]"
62,First by Grofman,Tit For Tat,642,0,3.0,"[0, 0, 1]"
63,Tit For Tat,First by Grofman,738,0,3.0,"[0, 0, 1]"
63,First by Grofman,Tit For Tat,738,0,3.0,"[0, 0, 1]"
64,Tit For Tat,First by Grofman,429,0,3.0,"[0, 0, 1]"
64,First by Grofman,Tit For Tat,429,0,3.0,"[0, 0, 1]"
65,Tit For Tat,First by Grofman,780,0,3.0,"[0, 0, 1]"
65,First by Grofman,Tit For Tat,780,0,3.0,"[0, 0, 1]"
66,Tit For Tat,First by Grofman,615,0,3.0,"[0, 0, 1]"
66,First by Grofman,Tit For Tat,615,0,3.0,"[0, 0, 1]"
67,Tit For Tat,First by Grofman,708,0,3.0,"[0, 0, 1]"
67,First by Grofman,Tit For Tat,708,0,3.0,"[0, 0, 1]"
68,Tit For Tat,First by Grofman,594,0,3.0,"[0, 0, 1]"
68,First by Grofman,Tit For Tat,594,0,3.0,"[0, 0, 1]"
69,Tit For Tat,First by Grofman,669,0,3.0,"[0, 0, 1]"
69,First by Grofman,Tit For Tat,669,0,3.0,"[0, 0, 1]"
70,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,616,0,2.59915611814346,"[0, 0, 1]"
70,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",616,0,2.59915611814346,"[0, 0, 1]"
71,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,606,0,2.6008583690987126,"[0, 0, 1]"
71,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",606,0,2.6008583690987126,"[0, 0, 1]"
72,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,416,0,2.64968152866242,"[0, 0, 1]"
72,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",416,0,2.64968152866242,"[0, 0, 1]"
73,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,646,0,2.5943775100401605,"[0, 0, 1]"
73,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",646,0,2.5943775100401605,"[0, 0, 1]"
74,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,606,0,2.6008583690987126,"[0, 0, 1]"
74,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",606,0,2.6008583690987126,"[0, 0, 1]"
75,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,461,5,2.6494252873563218,"[1, 0, 0]"
75,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",456,-5,2.6206896551724137,"[1, 0, 0]"
76,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,561,0,2.609302325581395,"[0, 0, 1]"
76,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",561,0,2.609302325581395,"[0, 0, 1]"
77,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,601,0,2.601731601731602,"[0, 0, 1]"
77,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",601,0,2.601731601731602,"[0, 0, 1]"
78,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,651,0,2.593625498007968,"[0, 0, 1]"
78,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",651,0,2.593625498007968,"[0, 0, 1]"
79,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,456,0,2.6358381502890174,"[0, 0, 1]"
79,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",456,0,2.6358381502890174,"[0, 0, 1]"
80,Tit For Tat,First by Shubik,762,0,3.0,"[0, 0, 1]"
80,First by Shubik,Tit For Tat,762,0,3.0,"[0, 0, 1]"
