P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[438, 432, 585, 771, 774, 669, 528, 651, 624, 696]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[438, 432, 585, 771, 774, 669, 528, 651, 624, 696]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",616.8,3.0,616.8,3.0
"First by Graaskamp: 0.05,First by Anonymous","[10, 0, 0]","[455, 668, 661, 450, 662, 522, 466, 536, 536, 392]","[2.6453, 2.6403, 2.644, 2.6316, 2.6375, 2.6769, 2.6629, 2.6667, 2.6667, 2.6309]","[180, 228, 226, 180, 227, 192, 181, 196, 196, 167]","[1.0465, 0.9012, 0.904, 1.0526, 0.9044, 0.9846, 1.0343, 0.9751, 0.9751, 1.1208]",534.8,2.65028,197.3,0.98986
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[631, 763, 625, 520, 775, 583, 499, 691, 769, 523]","[2.9764, 2.9805, 2.9762, 2.9714, 2.9808, 2.9745, 2.9702, 2.9784, 2.9806, 2.9716]","[636, 768, 630, 525, 780, 588, 504, 696, 774, 528]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",637.9,2.97606,642.9,3.0
"First by Downing,First by Downing","[0, 0, 10]","[146, 186, 161, 201, 247, 203, 256, 203, 153, 236]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[146, 186, 161, 201, 247, 203, 256, 203, 153, 236]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",199.2,1.0,199.2,1.0
"Tit For Tat,First by Nydegger","[0, 0, 10]","[678, 759, 765, 480, 420, 645, 654, 477, 726, 579]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[678, 759, 765, 480, 420, 645, 654, 477, 726, 579]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",618.3,3.0,618.3,3.0
"First by Downing,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[399, 480, 549, 534, 507, 531, 489, 429, 432, 450]","[2.4329, 2.3077, 2.196, 2.1885, 2.2735, 2.2125, 2.285, 2.3315, 2.3226, 2.3316]","[549, 715, 879, 859, 772, 841, 739, 629, 637, 660]","[3.3476, 3.4375, 3.516, 3.5205, 3.4619, 3.5042, 3.4533, 3.4185, 3.4247, 3.4197]",480.0,2.28818,728.0,3.45039
"Tit For Tat,First by Grofman","[0, 0, 10]","[477, 702, 645, 588, 498, 675, 432, 519, 534, 594]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[477, 702, 645, 588, 498, 675, 432, 519, 534, 594]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",566.4,3.0,566.4,3.0
"First by Downing,First by Joss: 0.9","[0, 10, 0]","[441, 672, 432, 582, 651, 396, 519, 537, 690, 564]","[2.7911, 2.7541, 2.8052, 2.7847, 2.7702, 2.7887, 2.7754, 2.768, 2.76, 2.7783]","[491, 767, 477, 652, 736, 441, 584, 607, 785, 634]","[3.1076, 3.1434, 3.0974, 3.1196, 3.1319, 3.1056, 3.123, 3.1289, 3.14, 3.1232]",548.4,2.77757,617.4,3.1220600000000003
"Tit For Tat,First by Shubik","[0, 0, 10]","[735, 609, 765, 486, 450, 522, 525, 552, 669, 774]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[735, 609, 765, 486, 450, 522, 525, 552, 669, 774]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",608.7,3.0,608.7,3.0
"First by Downing,First by Tullock","[10, 0, 0]","[243, 221, 249, 228, 292, 272, 211, 252, 241, 263]","[1.1854, 1.2143, 1.1801, 1.2, 1.1496, 1.1624, 1.2267, 1.1776, 1.1872, 1.1689]","[213, 186, 219, 198, 262, 242, 176, 222, 211, 233]","[1.039, 1.022, 1.0379, 1.0421, 1.0315, 1.0342, 1.0233, 1.0374, 1.0394, 1.0356]",247.2,1.18522,216.2,1.03424
