P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[745, 727, 733, 448, 448, 769, 556, 685, 430, 697]","[2.98, 2.9795, 2.9797, 2.9669, 2.9669, 2.9806, 2.9733, 2.9783, 2.9655, 2.9786]","[750, 732, 738, 453, 453, 774, 561, 690, 435, 702]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",623.8,2.97493,628.8,3.0
"First by Downing,First by Anonymous","[10, 0, 0]","[438, 562, 438, 432, 469, 770, 563, 557, 567, 431]","[2.8442, 2.8969, 2.8442, 2.8421, 2.8424, 2.9845, 2.8872, 2.886, 2.8492, 2.8543]","[113, 132, 113, 112, 119, 160, 133, 132, 137, 111]","[0.7338, 0.6804, 0.7338, 0.7368, 0.7212, 0.6202, 0.6821, 0.6839, 0.6884, 0.7351]",522.7,2.8731,126.2,0.70157
"Tit For Tat,Grudger","[0, 0, 10]","[465, 660, 450, 612, 681, 621, 762, 465, 456, 663]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[465, 660, 450, 612, 681, 621, 762, 465, 456, 663]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",583.5,3.0,583.5,3.0
"First by Feld: 1.0, 0.5, 200,First by Tullock","[0, 10, 0]","[270, 271, 250, 187, 284, 198, 200, 247, 261, 235]","[1.2, 1.1991, 1.2195, 1.3169, 1.1883, 1.2941, 1.2903, 1.2228, 1.2083, 1.2368]","[275, 276, 255, 192, 289, 203, 205, 252, 266, 240]","[1.2222, 1.2212, 1.2439, 1.3521, 1.2092, 1.3268, 1.3226, 1.2475, 1.2315, 1.2632]",240.3,1.23761,245.3,1.26402
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[546, 765, 504, 711, 615, 513, 648, 690, 450, 756]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[546, 765, 504, 711, 615, 513, 648, 690, 450, 756]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",619.8,3.0,619.8,3.0
"First by Feld: 1.0, 0.5, 200,Random: 0.5","[10, 0, 0]","[486, 553, 566, 584, 409, 395, 374, 466, 409, 308]","[2.3254, 2.3836, 2.4085, 2.4033, 2.2228, 2.2067, 2.1871, 2.3069, 2.2108, 2.169]","[376, 408, 411, 419, 329, 320, 309, 366, 334, 273]","[1.799, 1.7586, 1.7489, 1.7243, 1.788, 1.7877, 1.807, 1.8119, 1.8054, 1.9225]",455.0,2.28241,354.5,1.7953299999999999
"Tit For Tat,First by Graaskamp: 0.05","[0, 5, 5]","[435, 620, 500, 540, 435, 375, 410, 630, 550, 675]","[2.6524, 2.605, 2.6178, 2.6087, 2.6524, 2.6596, 2.6623, 2.5926, 2.6066, 2.5962]","[435, 620, 505, 545, 435, 380, 410, 635, 555, 675]","[2.6524, 2.605, 2.644, 2.6329, 2.6524, 2.695, 2.6623, 2.6132, 2.6303, 2.5962]",517.0,2.62536,519.5,2.63837
"First by Joss: 0.9,First by Joss: 0.9","[5, 5, 0]","[189, 191, 248, 268, 237, 165, 170, 264, 260, 220]","[1.0925, 1.0914, 1.069, 1.0635, 1.0724, 1.1074, 1.1039, 1.0645, 1.0656, 1.0784]","[194, 196, 253, 273, 242, 170, 175, 269, 265, 225]","[1.1214, 1.12, 1.0905, 1.0833, 1.095, 1.1409, 1.1364, 1.0847, 1.0861, 1.1029]",221.2,1.08086,226.2,1.10612
"Tit For Tat,First by Downing","[0, 0, 10]","[591, 684, 441, 753, 696, 480, 657, 633, 588, 564]","[2.9848, 2.9869, 2.9797, 2.9881, 2.9871, 2.9814, 2.9864, 2.9858, 2.9848, 2.9841]","[591, 684, 441, 753, 696, 480, 657, 633, 588, 564]","[2.9848, 2.9869, 2.9797, 2.9881, 2.9871, 2.9814, 2.9864, 2.9858, 2.9848, 2.9841]",608.7,2.98491,608.7,2.98491
"First by Joss: 0.9,First by Anonymous","[10, 0, 0]","[469, 558, 523, 496, 569, 424, 582, 480, 402, 424]","[2.3929, 2.4052, 2.4101, 2.3961, 2.4008, 2.382, 2.3951, 2.4121, 2.3647, 2.3955]","[424, 503, 473, 451, 514, 389, 522, 430, 372, 384]","[2.1633, 2.1681, 2.1797, 2.1787, 2.1688, 2.1854, 2.1481, 2.1608, 2.1882, 2.1695]",492.7,2.39545,446.2,2.17106
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[334, 333, 246, 317, 245, 269, 294, 267, 349, 351]","[1.4153, 1.417, 1.6622, 1.4475, 1.6667, 1.5731, 1.5, 1.5799, 1.3904, 1.3874]","[339, 338, 251, 322, 250, 274, 299, 272, 354, 356]","[1.4364, 1.4383, 1.6959, 1.4703, 1.7007, 1.6023, 1.5255, 1.6095, 1.4104, 1.4071]",300.5,1.5039500000000001,305.5,1.52964
"First by Tullock,First by Tullock","[5, 5, 0]","[285, 278, 224, 286, 245, 242, 294, 249, 238, 249]","[1.3443, 1.3561, 1.4834, 1.3427, 1.4244, 1.432, 1.3303, 1.4148, 1.4424, 1.4148]","[305, 298, 244, 306, 265, 262, 314, 269, 258, 269]","[1.4387, 1.4537, 1.6159, 1.4366, 1.5407, 1.5503, 1.4208, 1.5284, 1.5636, 1.5284]",259.0,1.39852,279.0,1.50771
"Tit For Tat,First by Joss: 0.9","[0, 10, 0]","[177, 242, 188, 188, 221, 175, 202, 195, 159, 174]","[1.1132, 1.0804, 1.1059, 1.1059, 1.0887, 1.1146, 1.0978, 1.1017, 1.1277, 1.1154]","[182, 247, 193, 193, 226, 180, 207, 200, 164, 179]","[1.1447, 1.1027, 1.1353, 1.1353, 1.1133, 1.1465, 1.125, 1.1299, 1.1631, 1.1474]",192.1,1.10513,197.1,1.13432
"First by Tullock,Random: 0.5","[10, 0, 0]","[553, 476, 470, 350, 343, 350, 350, 538, 575, 504]","[2.3532, 2.3333, 2.35, 2.2876, 2.302, 2.2727, 2.2876, 2.37, 2.3566, 2.3886]","[453, 406, 395, 310, 303, 315, 310, 443, 465, 414]","[1.9277, 1.9902, 1.975, 2.0261, 2.0336, 2.0455, 2.0261, 1.9515, 1.9057, 1.9621]",450.9,2.33016,381.4,1.98435
"Tit For Tat,First by Tullock","[0, 10, 0]","[303, 216, 227, 329, 321, 265, 317, 315, 266, 237]","[1.3348, 1.5429, 1.5033, 1.3004, 1.3102, 1.4021, 1.3154, 1.318, 1.4, 1.472]","[308, 221, 232, 334, 326, 270, 322, 320, 271, 242]","[1.3568, 1.5786, 1.5364, 1.3202, 1.3306, 1.4286, 1.3361, 1.3389, 1.4263, 1.5031]",279.6,1.38991,284.6,1.41556
"First by Anonymous,Random: 0.5","[10, 0, 0]","[477, 406, 532, 487, 449, 483, 530, 418, 459, 562]","[2.5105, 2.586, 2.4744, 2.4721, 2.5511, 2.5026, 2.4883, 2.5802, 2.5642, 2.412]","[367, 306, 422, 387, 334, 373, 420, 313, 339, 472]","[1.9316, 1.949, 1.9628, 1.9645, 1.8977, 1.9326, 1.9718, 1.9321, 1.8939, 2.0258]",480.3,2.5141400000000003,373.3,1.94618
"Tit For Tat,First by Anonymous","[0, 6, 4]","[477, 327, 417, 363, 328, 373, 376, 500, 351, 303]","[2.0921, 2.1373, 2.0542, 2.0862, 2.1161, 2.0838, 2.0889, 2.1008, 2.0769, 2.1489]","[482, 327, 422, 363, 333, 373, 376, 505, 356, 308]","[2.114, 2.1373, 2.0788, 2.0862, 2.1484, 2.0838, 2.0889, 2.1218, 2.1065, 2.1844]",381.5,2.09852,384.5,2.11501
"Random: 0.5,Random: 0.5","[5, 5, 0]","[561, 395, 581, 605, 515, 515, 552, 460, 486, 367]","[2.3872, 2.2832, 2.3909, 2.3725, 2.3409, 2.3409, 2.3793, 2.359, 2.3592, 2.2242]","[491, 365, 511, 540, 460, 460, 487, 400, 426, 357]","[2.0894, 2.1098, 2.1029, 2.1176, 2.0909, 2.0909, 2.0991, 2.0513, 2.068, 2.1636]",503.7,2.34373,449.7,2.09835
"Tit For Tat,Random: 0.5","[0, 7, 3]","[489, 527, 359, 515, 472, 477, 537, 422, 419, 468]","[2.1261, 2.151, 2.1497, 2.1369, 2.1261, 2.1295, 2.1394, 2.1531, 2.1823, 2.1567]","[494, 527, 364, 520, 477, 482, 542, 427, 419, 468]","[2.1478, 2.151, 2.1796, 2.1577, 2.1486, 2.1518, 2.1594, 2.1786, 2.1823, 2.1567]",468.5,2.14508,472.0,2.16135
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[635, 542, 713, 452, 488, 680, 746, 470, 428, 530]","[2.9812, 2.978, 2.9833, 2.9737, 2.9756, 2.9825, 2.984, 2.9747, 2.9722, 2.9775]","[635, 542, 713, 452, 488, 680, 746, 470, 428, 530]","[2.9812, 2.978, 2.9833, 2.9737, 2.9756, 2.9825, 2.984, 2.9747, 2.9722, 2.9775]",568.4,2.97827,568.4,2.97827
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[583, 592, 781, 613, 658, 571, 481, 430, 673, 733]","[3.0207, 3.0204, 3.0154, 3.0197, 3.0183, 3.0212, 3.0252, 3.0282, 3.0179, 3.0165]","[573, 582, 771, 603, 648, 561, 471, 420, 663, 723]","[2.9689, 2.9694, 2.9768, 2.9704, 2.9725, 2.9683, 2.9623, 2.9577, 2.9731, 2.9753]",611.5,3.02035,601.5,2.96947
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[639, 657, 453, 714, 630, 465, 747, 543, 489, 669]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[634, 652, 448, 709, 625, 460, 742, 538, 484, 664]","[2.9765, 2.9772, 2.9669, 2.979, 2.9762, 2.9677, 2.9799, 2.9724, 2.9693, 2.9776]",600.6,3.0,595.6,2.9742699999999997
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[480, 435, 774, 675, 588, 747, 777, 435, 489, 687]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[475, 430, 769, 670, 583, 742, 772, 430, 484, 682]","[2.9688, 2.9655, 2.9806, 2.9778, 2.9745, 2.9799, 2.9807, 2.9655, 2.9693, 2.9782]",608.7,3.0,603.7,2.97408
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[479, 461, 623, 512, 587, 722, 533, 521, 443, 584]","[2.9752, 2.9742, 2.9809, 2.9767, 2.9797, 2.9835, 2.9777, 2.9771, 2.9732, 2.9796]","[479, 461, 623, 512, 587, 722, 533, 521, 443, 584]","[2.9752, 2.9742, 2.9809, 2.9767, 2.9797, 2.9835, 2.9777, 2.9771, 2.9732, 2.9796]",546.5,2.97778,546.5,2.97778
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[525, 435, 744, 690, 522, 498, 432, 699, 438, 429]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[520, 430, 739, 685, 517, 493, 427, 694, 433, 424]","[2.9714, 2.9655, 2.9798, 2.9783, 2.9713, 2.9699, 2.9653, 2.9785, 2.9658, 2.965]",541.2,3.0,536.2,2.97108
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[525, 585, 648, 441, 447, 609, 639, 579, 564, 519]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[520, 580, 643, 436, 442, 604, 634, 574, 559, 514]","[2.9714, 2.9744, 2.9769, 2.966, 2.9664, 2.9754, 2.9765, 2.9741, 2.9734, 2.9711]",555.6,3.0,550.6,2.97256
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[744, 749, 664, 507, 562, 702, 740, 568, 745, 695]","[2.976, 2.9605, 2.9776, 3.0, 2.9894, 2.962, 2.9839, 2.9895, 2.992, 2.9574]","[694, 704, 619, 457, 517, 662, 685, 523, 685, 655]","[2.776, 2.7826, 2.7758, 2.7041, 2.75, 2.7932, 2.7621, 2.7526, 2.751, 2.7872]",667.6,2.97883,620.1,2.76346
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[207, 241, 217, 249, 227, 245, 272, 180, 277, 189]","[1.1897, 1.1587, 1.1793, 1.1528, 1.1701, 1.1557, 1.1381, 1.2245, 1.1352, 1.2115]","[177, 211, 187, 219, 197, 215, 242, 150, 247, 159]","[1.0172, 1.0144, 1.0163, 1.0139, 1.0155, 1.0142, 1.0126, 1.0204, 1.0123, 1.0192]",230.4,1.17156,200.4,1.0156
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[308, 271, 264, 310, 243, 246, 207, 213, 265, 251]","[1.1938, 1.2262, 1.2336, 1.1923, 1.2591, 1.2551, 1.3185, 1.3067, 1.2326, 1.2488]","[308, 271, 264, 310, 243, 246, 207, 213, 265, 251]","[1.1938, 1.2262, 1.2336, 1.1923, 1.2591, 1.2551, 1.3185, 1.3067, 1.2326, 1.2488]",257.8,1.24667,257.8,1.24667
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 0, 10]","[269, 266, 303, 255, 277, 241, 298, 224, 249, 321]","[1.2995, 1.3039, 1.2573, 1.3212, 1.2884, 1.3464, 1.2627, 1.3827, 1.3316, 1.2394]","[269, 266, 303, 255, 277, 241, 298, 224, 249, 321]","[1.2995, 1.3039, 1.2573, 1.3212, 1.2884, 1.3464, 1.2627, 1.3827, 1.3316, 1.2394]",270.3,1.30331,270.3,1.30331
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[10, 0, 0]","[227, 265, 211, 306, 245, 215, 301, 261, 269, 236]","[1.2611, 1.2156, 1.2866, 1.1815, 1.2374, 1.2798, 1.185, 1.2196, 1.2117, 1.2487]","[217, 255, 201, 296, 235, 205, 291, 251, 259, 226]","[1.2056, 1.1697, 1.2256, 1.1429, 1.1869, 1.2202, 1.1457, 1.1729, 1.1667, 1.1958]",253.6,1.2327,243.6,1.1832
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[433, 423, 539, 668, 641, 613, 620, 513, 607, 534]","[2.7062, 2.6772, 2.7085, 2.7377, 2.7511, 2.7738, 2.7679, 2.7287, 2.7717, 2.697]","[148, 148, 174, 198, 191, 183, 185, 163, 182, 174]","[0.925, 0.9367, 0.8744, 0.8115, 0.8197, 0.8281, 0.8259, 0.867, 0.8311, 0.8788]",559.1,2.73198,174.6,0.85982
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[431, 721, 442, 551, 500, 545, 469, 649, 571, 501]","[2.817, 2.9429, 2.8333, 2.9153, 2.8736, 2.9144, 2.8773, 2.9234, 2.8985, 2.8629]","[141, 196, 142, 156, 150, 155, 144, 179, 161, 151]","[0.9216, 0.8, 0.9103, 0.8254, 0.8621, 0.8289, 0.8834, 0.8063, 0.8173, 0.8629]",538.0,2.88586,157.5,0.85182
"First by Nydegger,First by Nydegger","[0, 0, 10]","[483, 648, 450, 768, 612, 570, 726, 777, 732, 504]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[483, 648, 450, 768, 612, 570, 726, 777, 732, 504]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",627.0,3.0,627.0,3.0
"First by Nydegger,First by Grofman","[0, 0, 10]","[489, 669, 714, 720, 633, 492, 531, 735, 444, 618]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[489, 669, 714, 720, 633, 492, 531, 735, 444, 618]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",604.5,3.0,604.5,3.0
"First by Nydegger,First by Shubik","[0, 0, 10]","[513, 588, 681, 432, 453, 600, 645, 774, 681, 723]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[513, 588, 681, 432, 453, 600, 645, 774, 681, 723]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",609.0,3.0,609.0,3.0
"First by Nydegger,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[747, 453, 576, 477, 510, 540, 489, 714, 633, 453]","[2.9761, 2.9608, 2.9691, 2.9627, 2.9651, 2.967, 2.9636, 2.975, 2.9718, 2.9608]","[757, 463, 586, 487, 520, 550, 499, 724, 643, 463]","[3.0159, 3.0261, 3.0206, 3.0248, 3.0233, 3.022, 3.0242, 3.0167, 3.0188, 3.0261]",559.2,2.9672,569.2,3.02185
"First by Nydegger,Grudger","[0, 0, 10]","[759, 429, 546, 684, 711, 573, 732, 561, 756, 549]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[759, 429, 546, 684, 711, 573, 732, 561, 756, 549]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",630.0,3.0,630.0,3.0
"First by Nydegger,First by Davis: 10","[0, 0, 10]","[726, 759, 570, 432, 612, 456, 453, 549, 777, 456]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[726, 759, 570, 432, 612, 456, 453, 549, 777, 456]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",579.0,3.0,579.0,3.0
"First by Nydegger,First by Graaskamp: 0.05","[0, 10, 0]","[420, 444, 432, 513, 444, 492, 693, 582, 426, 486]","[2.7632, 2.7578, 2.7692, 2.7433, 2.775, 2.7486, 2.7283, 2.7324, 2.7662, 2.7458]","[480, 509, 492, 593, 504, 567, 808, 677, 486, 561]","[3.1579, 3.1615, 3.1538, 3.1711, 3.15, 3.1676, 3.1811, 3.1784, 3.1558, 3.1695]",493.2,2.75298,567.7,3.16467
"First by Nydegger,First by Downing","[0, 10, 0]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[0.0872, 0.0735, 0.0688, 0.0633, 0.1007, 0.1064, 0.0685, 0.0857, 0.0636, 0.0612]","[840, 1000, 1070, 1165, 725, 685, 1075, 855, 1160, 1205]","[4.8837, 4.902, 4.9083, 4.9156, 4.8658, 4.8582, 4.9087, 4.8857, 4.9153, 4.9184]",15.0,0.07789,978.0,4.89617
"First by Nydegger,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[384, 366, 480, 405, 492, 540, 435, 393, 513, 522]","[2.4935, 2.5775, 2.2222, 2.4251, 2.2162, 2.1094, 2.3262, 2.5032, 2.1375, 2.1134]","[514, 466, 760, 565, 782, 920, 645, 523, 858, 887]","[3.3377, 3.2817, 3.5185, 3.3832, 3.5225, 3.5938, 3.4492, 3.3312, 3.575, 3.5911]",453.0,2.31242,692.0,3.45839
"First by Nydegger,First by Joss: 0.9","[0, 10, 0]","[577, 622, 607, 553, 532, 391, 610, 505, 628, 589]","[2.6837, 2.6695, 2.674, 2.6715, 2.6869, 2.6781, 2.6754, 2.6862, 2.6498, 2.6895]","[687, 747, 727, 663, 632, 466, 730, 600, 763, 699]","[3.1953, 3.206, 3.2026, 3.2029, 3.1919, 3.1918, 3.2018, 3.1915, 3.2194, 3.1918]",561.4,2.67646,671.4,3.1995
"First by Nydegger,First by Tullock","[0, 10, 0]","[561, 444, 486, 600, 630, 393, 498, 477, 501, 387]","[2.6093, 2.6747, 2.6129, 2.6201, 2.6033, 2.7103, 2.6211, 2.6209, 2.6094, 2.7063]","[701, 534, 606, 745, 790, 463, 618, 592, 626, 457]","[3.2605, 3.2169, 3.2581, 3.2533, 3.2645, 3.1931, 3.2526, 3.2527, 3.2604, 3.1958]",497.7,2.63883,613.2,3.24079
"First by Nydegger,First by Anonymous","[0, 10, 0]","[305, 314, 230, 338, 203, 347, 347, 230, 317, 296]","[1.4806, 1.4882, 1.4024, 1.476, 1.4397, 1.4829, 1.4893, 1.411, 1.4676, 1.4874]","[815, 834, 655, 908, 558, 927, 922, 650, 857, 786]","[3.9563, 3.9526, 3.9939, 3.9651, 3.9574, 3.9615, 3.9571, 3.9877, 3.9676, 3.9497]",292.7,1.46251,791.2,3.96489
"First by Nydegger,Random: 0.5","[0, 10, 0]","[391, 409, 364, 262, 262, 400, 367, 238, 298, 373]","[1.6429, 1.6492, 1.6323, 1.5879, 1.6074, 1.6461, 1.6311, 1.619, 1.6284, 1.6432]","[921, 959, 864, 642, 632, 940, 872, 568, 708, 878]","[3.8697, 3.8669, 3.8744, 3.8909, 3.8773, 3.8683, 3.8756, 3.8639, 3.8689, 3.8678]",336.4,1.62875,798.4,3.87237
"First by Grofman,First by Grofman","[0, 0, 10]","[420, 642, 663, 735, 492, 528, 444, 630, 675, 717]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[420, 642, 663, 735, 492, 528, 444, 630, 675, 717]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",594.6,3.0,594.6,3.0
"First by Grofman,First by Shubik","[0, 0, 10]","[495, 477, 516, 498, 696, 624, 519, 579, 696, 438]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[495, 477, 516, 498, 696, 624, 519, 579, 696, 438]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",553.8,3.0,553.8,3.0
"First by Grofman,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[468, 483, 444, 603, 672, 420, 732, 654, 768, 735]","[2.962, 2.9632, 2.96, 2.9704, 2.9735, 2.9577, 2.9756, 2.9727, 2.9767, 2.9757]","[478, 493, 454, 613, 682, 430, 742, 664, 778, 745]","[3.0253, 3.0245, 3.0267, 3.0197, 3.0177, 3.0282, 3.0163, 3.0182, 3.0155, 3.0162]",597.9,2.96875,607.9,3.02083
"First by Grofman,Grudger","[0, 0, 10]","[516, 636, 456, 453, 486, 702, 624, 717, 729, 477]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[516, 636, 456, 453, 486, 702, 624, 717, 729, 477]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",579.6,3.0,579.6,3.0
