P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[717, 489, 477, 729, 672, 645, 522, 663, 528, 543]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[717, 489, 477, 729, 672, 645, 522, 663, 528, 543]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",598.5,3.0,598.5,3.0
"First by Grofman,First by Tullock","[0, 10, 0]","[419, 633, 386, 542, 392, 512, 503, 446, 639, 623]","[2.7566, 2.5219, 2.7571, 2.581, 2.7413, 2.6256, 2.6335, 2.7702, 2.5157, 2.5121]","[454, 723, 421, 607, 432, 572, 558, 481, 729, 718]","[2.9868, 2.8805, 3.0071, 2.8905, 3.021, 2.9333, 2.9215, 2.9876, 2.8701, 2.8952]",509.5,2.6415,569.5,2.9393599999999998
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[670, 697, 436, 712, 424, 547, 760, 580, 544, 595]","[2.9778, 2.9786, 2.966, 2.9791, 2.965, 2.9728, 2.9804, 2.9744, 2.9727, 2.975]","[675, 702, 441, 717, 429, 552, 765, 585, 549, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",596.5,2.97418,601.5,3.0
"First by Grofman,Random: 0.5","[0, 10, 0]","[350, 321, 385, 296, 267, 395, 466, 421, 482, 359]","[1.9337, 1.8994, 1.9347, 1.9097, 1.9071, 1.9175, 1.902, 1.8711, 1.8902, 1.9405]","[515, 486, 565, 446, 407, 590, 696, 651, 727, 524]","[2.8453, 2.8757, 2.8392, 2.8774, 2.9071, 2.8641, 2.8408, 2.8933, 2.851, 2.8324]",374.2,1.91059,560.7,2.8626300000000002
"Tit For Tat,First by Nydegger","[0, 0, 10]","[582, 714, 717, 471, 681, 567, 708, 435, 672, 714]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[582, 714, 717, 471, 681, 567, 708, 435, 672, 714]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",626.1,3.0,626.1,3.0
"First by Shubik,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[586, 703, 484, 613, 457, 748, 661, 538, 751, 499]","[2.9746, 2.9788, 2.9693, 2.9757, 2.9675, 2.9801, 2.9775, 2.9724, 2.9802, 2.9702]","[591, 708, 489, 618, 462, 753, 666, 543, 756, 504]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",604.0,2.97463,609.0,3.0
"Tit For Tat,First by Grofman","[0, 0, 10]","[660, 732, 756, 597, 510, 495, 501, 552, 684, 519]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[660, 732, 756, 597, 510, 495, 501, 552, 684, 519]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600.6,3.0,600.6,3.0
"First by Shubik,First by Graaskamp: 0.05","[10, 0, 0]","[484, 655, 689, 494, 661, 484, 632, 682, 577, 643]","[3.4085, 3.134, 2.8008, 3.4306, 3.0602, 3.4085, 3.4162, 2.8655, 3.4759, 3.264]","[299, 375, 424, 299, 386, 299, 347, 412, 327, 363]","[2.1056, 1.7943, 1.7236, 2.0764, 1.787, 2.1056, 1.8757, 1.7311, 1.9699, 1.8426]",600.1,3.22642,353.1,1.90118
"Tit For Tat,First by Shubik","[0, 0, 10]","[768, 504, 618, 444, 672, 450, 468, 552, 468, 570]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[768, 504, 618, 444, 672, 450, 468, 552, 468, 570]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",551.4,3.0,551.4,3.0
"First by Stein and Rapoport: 0.05: (D, D),Grudger","[10, 0, 0]","[549, 771, 429, 513, 420, 636, 609, 780, 519, 711]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[544, 766, 424, 508, 415, 631, 604, 775, 514, 706]","[2.9727, 2.9805, 2.965, 2.9708, 2.9643, 2.9764, 2.9754, 2.9808, 2.9711, 2.9789]",593.7,3.0,588.7,2.97359
