P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[652, 670, 685, 463, 733, 451, 730, 502, 673, 757]","[2.9772, 2.9778, 2.9783, 2.9679, 2.9797, 2.9671, 2.9796, 2.9704, 2.9779, 2.9803]","[657, 675, 690, 468, 738, 456, 735, 507, 678, 762]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",631.6,2.97562,636.6,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Graaskamp: 0.05","[5, 0, 5]","[586, 491, 656, 386, 546, 671, 466, 571, 531, 646]","[2.6044, 2.6398, 2.6032, 2.6621, 2.625, 2.6008, 2.6328, 2.6073, 2.6287, 2.5944]","[586, 486, 651, 386, 541, 666, 466, 571, 526, 646]","[2.6044, 2.6129, 2.5833, 2.6621, 2.601, 2.5814, 2.6328, 2.6073, 2.604, 2.5944]",555.0,2.61985,552.5,2.60836
"Tit For Tat,Grudger","[0, 0, 10]","[705, 669, 510, 567, 525, 492, 660, 465, 456, 765]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[705, 669, 510, 567, 525, 492, 660, 465, 456, 765]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",581.4,3.0,581.4,3.0
"Grudger,First by Downing","[10, 0, 0]","[269, 270, 228, 160, 250, 221, 227, 169, 193, 242]","[1.0426, 1.0425, 1.0507, 1.0738, 1.046, 1.0524, 1.0509, 1.0696, 1.0604, 1.0476]","[259, 260, 218, 150, 240, 211, 217, 159, 183, 232]","[1.0039, 1.0039, 1.0046, 1.0067, 1.0042, 1.0048, 1.0046, 1.0063, 1.0055, 1.0043]",222.9,1.05365,212.9,1.00488
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[753, 588, 447, 585, 513, 606, 762, 468, 597, 714]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[753, 588, 447, 585, 513, 606, 762, 468, 597, 714]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",603.3,3.0,603.3,3.0
"Grudger,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[243, 241, 224, 215, 154, 153, 261, 206, 261, 178]","[1.0565, 1.057, 1.0616, 1.0644, 1.0922, 1.0929, 1.0524, 1.0674, 1.0524, 1.0788]","[243, 241, 224, 215, 154, 153, 261, 206, 261, 178]","[1.0565, 1.057, 1.0616, 1.0644, 1.0922, 1.0929, 1.0524, 1.0674, 1.0524, 1.0788]",213.6,1.06756,213.6,1.06756
"Tit For Tat,First by Graaskamp: 0.05","[0, 3, 7]","[555, 635, 560, 445, 660, 475, 605, 675, 525, 405]","[2.6056, 2.6025, 2.6047, 2.6488, 2.5984, 2.6389, 2.6078, 2.5962, 2.6119, 2.6645]","[560, 635, 565, 445, 660, 475, 605, 675, 530, 405]","[2.6291, 2.6025, 2.6279, 2.6488, 2.5984, 2.6389, 2.6078, 2.5962, 2.6368, 2.6645]",554.0,2.61793,555.5,2.62509
"Grudger,First by Joss: 0.9","[0, 0, 10]","[256, 217, 243, 201, 200, 246, 191, 210, 168, 169]","[1.0987, 1.1186, 1.1045, 1.1292, 1.1299, 1.1031, 1.1369, 1.123, 1.1586, 1.1575]","[256, 217, 243, 201, 200, 246, 191, 210, 168, 169]","[1.0987, 1.1186, 1.1045, 1.1292, 1.1299, 1.1031, 1.1369, 1.123, 1.1586, 1.1575]",210.1,1.126,210.1,1.126
"Tit For Tat,First by Downing","[0, 0, 10]","[528, 432, 549, 456, 624, 597, 726, 720, 645, 741]","[2.9831, 2.9793, 2.9837, 2.9804, 2.9856, 2.985, 2.9877, 2.9876, 2.9861, 2.9879]","[528, 432, 549, 456, 624, 597, 726, 720, 645, 741]","[2.9831, 2.9793, 2.9837, 2.9804, 2.9856, 2.985, 2.9877, 2.9876, 2.9861, 2.9879]",601.8,2.9846399999999997,601.8,2.9846399999999997
"Grudger,First by Tullock","[10, 0, 0]","[305, 232, 283, 283, 199, 216, 265, 266, 253, 277]","[1.1731, 1.2406, 1.1891, 1.1891, 1.2922, 1.2632, 1.2045, 1.2036, 1.2163, 1.194]","[280, 207, 258, 258, 174, 191, 240, 241, 228, 252]","[1.0769, 1.107, 1.084, 1.084, 1.1299, 1.117, 1.0909, 1.0905, 1.0962, 1.0862]",257.9,1.21657,232.9,1.09626
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[335, 311, 389, 389, 351, 303, 356, 314, 355, 356]","[1.8306, 1.956, 1.6414, 1.6414, 1.7638, 2.0066, 1.7451, 1.9383, 1.7488, 1.7451]","[340, 316, 394, 394, 356, 308, 361, 319, 360, 361]","[1.8579, 1.9874, 1.6624, 1.6624, 1.7889, 2.0397, 1.7696, 1.9691, 1.7734, 1.7696]",345.9,1.80171,350.9,1.82804
"Grudger,First by Anonymous","[10, 0, 0]","[508, 673, 658, 531, 560, 759, 588, 582, 699, 702]","[2.9708, 2.9518, 2.9244, 2.9176, 2.9319, 2.9419, 2.9548, 2.9543, 2.937, 2.9129]","[93, 123, 123, 101, 105, 139, 108, 107, 129, 132]","[0.5439, 0.5395, 0.5467, 0.5549, 0.5497, 0.5388, 0.5427, 0.5431, 0.542, 0.5477]",626.0,2.93974,116.0,0.5448999999999999
"Tit For Tat,First by Joss: 0.9","[0, 10, 0]","[212, 272, 307, 290, 199, 299, 205, 221, 227, 280]","[1.3677, 1.2651, 1.228, 1.2446, 1.4014, 1.2355, 1.3851, 1.3476, 1.3353, 1.2556]","[217, 277, 312, 295, 204, 304, 210, 226, 232, 285]","[1.4, 1.2884, 1.248, 1.2661, 1.4366, 1.2562, 1.4189, 1.378, 1.3647, 1.278]",251.2,1.30659,256.2,1.33349
"Grudger,Random: 0.5","[10, 0, 0]","[427, 497, 497, 686, 612, 718, 497, 487, 700, 762]","[2.9247, 2.9583, 2.9583, 2.9442, 2.9005, 2.9306, 2.9583, 3.0062, 2.9289, 2.965]","[82, 92, 92, 126, 117, 133, 92, 87, 130, 137]","[0.5616, 0.5476, 0.5476, 0.5408, 0.5545, 0.5429, 0.5476, 0.537, 0.5439, 0.5331]",588.3,2.9475,108.8,0.54566
"Tit For Tat,First by Tullock","[0, 10, 0]","[238, 340, 276, 239, 315, 234, 322, 258, 306, 291]","[1.6081, 1.36, 1.4839, 1.604, 1.4, 1.625, 1.3879, 1.5357, 1.4167, 1.4478]","[243, 345, 281, 244, 320, 239, 327, 263, 311, 296]","[1.6419, 1.38, 1.5108, 1.6376, 1.4222, 1.6597, 1.4095, 1.5655, 1.4398, 1.4726]",281.9,1.48691,286.9,1.51396
"First by Davis: 10,First by Davis: 10","[0, 0, 10]","[630, 498, 549, 510, 708, 567, 456, 669, 603, 546]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[630, 498, 549, 510, 708, 567, 456, 669, 603, 546]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",573.6,3.0,573.6,3.0
"Tit For Tat,First by Anonymous","[0, 4, 6]","[569, 446, 560, 440, 393, 480, 368, 513, 505, 492]","[2.276, 2.3109, 2.2857, 2.3037, 2.2849, 2.2749, 2.2716, 2.2599, 2.2748, 2.2778]","[574, 446, 560, 445, 398, 480, 373, 513, 505, 492]","[2.296, 2.3109, 2.2857, 2.3298, 2.314, 2.2749, 2.3025, 2.2599, 2.2748, 2.2778]",476.6,2.28202,478.6,2.29263
"First by Davis: 10,First by Graaskamp: 0.05","[10, 0, 0]","[359, 427, 374, 351, 387, 365, 363, 372, 397, 414]","[2.4257, 1.9769, 2.2945, 2.5071, 2.1989, 2.3701, 2.3882, 2.3106, 2.1344, 2.0394]","[224, 292, 239, 216, 252, 230, 228, 237, 262, 279]","[1.5135, 1.3519, 1.4663, 1.5429, 1.4318, 1.4935, 1.5, 1.472, 1.4086, 1.3744]",380.9,2.26458,245.9,1.45549
"Tit For Tat,Random: 0.5","[0, 4, 6]","[539, 556, 405, 367, 544, 354, 556, 505, 460, 429]","[2.1304, 2.1467, 2.1316, 2.1337, 2.1417, 2.1325, 2.1467, 2.1398, 2.1198, 2.1238]","[544, 556, 410, 372, 544, 354, 556, 505, 460, 434]","[2.1502, 2.1467, 2.1579, 2.1628, 2.1417, 2.1325, 2.1467, 2.1398, 2.1198, 2.1485]",471.5,2.13467,473.5,2.14466
"First by Graaskamp: 0.05,First by Downing","[10, 0, 0]","[678, 791, 736, 501, 695, 718, 463, 437, 472, 478]","[3.1535, 3.164, 3.1588, 3.1313, 3.1591, 3.163, 3.1284, 3.1214, 3.1258, 3.1242]","[588, 681, 636, 441, 600, 618, 408, 387, 417, 423]","[2.7349, 2.724, 2.7296, 2.7563, 2.7273, 2.7225, 2.7568, 2.7643, 2.7616, 2.7647]",596.9,3.14295,519.9,2.7442
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[707, 542, 725, 689, 677, 533, 665, 419, 662, 746]","[2.9831, 2.978, 2.9835, 2.9827, 2.9824, 2.9777, 2.9821, 2.9716, 2.982, 2.984]","[707, 542, 725, 689, 677, 533, 665, 419, 662, 746]","[2.9831, 2.978, 2.9835, 2.9827, 2.9824, 2.9777, 2.9821, 2.9716, 2.982, 2.984]",636.5,2.98071,636.5,2.98071
"First by Graaskamp: 0.05,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[417, 355, 441, 401, 420, 378, 341, 347, 472, 407]","[2.1832, 2.415, 2.194, 2.2402, 2.1762, 2.319, 2.4184, 2.4266, 2.1071, 2.212]","[622, 455, 656, 576, 630, 518, 436, 442, 742, 597]","[3.2565, 3.0952, 3.2637, 3.2179, 3.2642, 3.1779, 3.0922, 3.0909, 3.3125, 3.2446]",397.9,2.26917,567.4,3.20156
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[466, 436, 763, 496, 709, 505, 433, 526, 754, 475]","[3.026, 3.0278, 3.0158, 3.0244, 3.017, 3.024, 3.028, 3.023, 3.016, 3.0255]","[456, 426, 753, 486, 699, 495, 423, 516, 744, 465]","[2.961, 2.9583, 2.9763, 2.9634, 2.9745, 2.9641, 2.958, 2.9655, 2.976, 2.9618]",556.3,3.02275,546.3,2.96589
"First by Graaskamp: 0.05,First by Joss: 0.9","[0, 10, 0]","[239, 305, 303, 263, 240, 234, 261, 287, 282, 283]","[1.4937, 1.3496, 1.3527, 1.4293, 1.4907, 1.5097, 1.4341, 1.3798, 1.3892, 1.3873]","[244, 310, 308, 268, 245, 239, 266, 292, 287, 288]","[1.525, 1.3717, 1.375, 1.4565, 1.5217, 1.5419, 1.4615, 1.4038, 1.4138, 1.4118]",269.7,1.42161,274.7,1.44827
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[453, 432, 612, 456, 687, 768, 750, 753, 438, 678]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[448, 427, 607, 451, 682, 763, 745, 748, 433, 673]","[2.9669, 2.9653, 2.9755, 2.9671, 2.9782, 2.9805, 2.98, 2.9801, 2.9658, 2.9779]",602.7,3.0,597.7,2.97373
"First by Graaskamp: 0.05,First by Anonymous","[10, 0, 0]","[447, 588, 686, 543, 445, 483, 640, 529, 685, 611]","[2.7764, 2.7477, 2.7661, 2.7015, 2.7987, 2.7919, 2.735, 2.7128, 2.7733, 2.7156]","[172, 203, 221, 198, 170, 178, 215, 194, 220, 211]","[1.0683, 0.9486, 0.8911, 0.9851, 1.0692, 1.0289, 0.9188, 0.9949, 0.8907, 0.9378]",565.7,2.7519,198.2,0.97334
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[453, 603, 699, 600, 552, 660, 768, 432, 762, 474]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[448, 598, 694, 595, 547, 655, 763, 427, 757, 469]","[2.9669, 2.9751, 2.9785, 2.975, 2.9728, 2.9773, 2.9805, 2.9653, 2.9803, 2.9684]",600.3,3.0,595.3,2.97401
"First by Downing,First by Downing","[0, 0, 10]","[248, 157, 253, 192, 217, 202, 188, 147, 244, 190]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[248, 157, 253, 192, 217, 202, 188, 147, 244, 190]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",203.8,1.0,203.8,1.0
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[515, 674, 581, 437, 533, 578, 572, 536, 665, 740]","[2.9769, 2.9823, 2.9795, 2.9728, 2.9777, 2.9794, 2.9792, 2.9778, 2.9821, 2.9839]","[515, 674, 581, 437, 533, 578, 572, 536, 665, 740]","[2.9769, 2.9823, 2.9795, 2.9728, 2.9777, 2.9794, 2.9792, 2.9778, 2.9821, 2.9839]",583.1,2.97916,583.1,2.97916
"First by Downing,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[372, 450, 399, 333, 387, 498, 462, 408, 333, 399]","[2.241, 2.0, 2.0781, 2.3786, 2.1381, 2.0244, 2.0, 2.0816, 2.3786, 2.089]","[577, 820, 689, 473, 642, 893, 842, 703, 473, 684]","[3.4759, 3.6444, 3.5885, 3.3786, 3.547, 3.6301, 3.645, 3.5867, 3.3786, 3.5812]",404.1,2.14094,679.6,3.5456
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[780, 636, 582, 507, 780, 561, 477, 537, 537, 555]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[775, 631, 577, 502, 775, 556, 472, 532, 532, 550]","[2.9808, 2.9764, 2.9742, 2.9704, 2.9808, 2.9733, 2.9686, 2.9721, 2.9721, 2.973]",595.2,3.0,590.2,2.97417
"First by Downing,First by Tullock","[10, 0, 0]","[285, 256, 209, 253, 200, 233, 262, 292, 289, 284]","[1.1538, 1.1743, 1.2294, 1.1767, 1.2422, 1.1949, 1.1696, 1.1496, 1.1514, 1.1545]","[255, 226, 174, 223, 165, 203, 232, 262, 259, 254]","[1.0324, 1.0367, 1.0235, 1.0372, 1.0248, 1.041, 1.0357, 1.0315, 1.0319, 1.0325]",256.3,1.17964,225.3,1.03272
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[777, 573, 642, 555, 768, 621, 609, 495, 513, 492]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[772, 568, 637, 550, 763, 616, 604, 490, 508, 487]","[2.9807, 2.9738, 2.9766, 2.973, 2.9805, 2.9758, 2.9754, 2.9697, 2.9708, 2.9695]",604.5,3.0,599.5,2.97458
"First by Downing,Random: 0.5","[10, 0, 0]","[412, 606, 413, 542, 367, 410, 637, 424, 412, 389]","[2.4524, 2.5041, 2.4438, 2.5327, 2.4305, 2.4699, 2.5582, 2.4651, 2.4524, 2.4777]","[107, 151, 108, 132, 97, 105, 152, 109, 107, 99]","[0.6369, 0.624, 0.6391, 0.6168, 0.6424, 0.6325, 0.6104, 0.6337, 0.6369, 0.6306]",461.2,2.4786799999999998,116.7,0.6303300000000001
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[440, 582, 630, 696, 772, 607, 513, 667, 683, 510]","[2.973, 2.9543, 2.9577, 2.9617, 2.9807, 2.961, 2.9483, 2.9777, 2.9825, 2.948]","[415, 557, 600, 656, 717, 577, 493, 622, 633, 490]","[2.8041, 2.8274, 2.8169, 2.7915, 2.7683, 2.8146, 2.8333, 2.7768, 2.7642, 2.8324]",610.0,2.96449,576.0,2.80295
"First by Feld: 1.0, 0.5, 200,First by Joss: 0.9","[0, 10, 0]","[247, 195, 246, 245, 264, 221, 174, 180, 219, 201]","[1.1542, 1.2037, 1.1549, 1.1557, 1.1429, 1.1755, 1.234, 1.2245, 1.1774, 1.1964]","[252, 200, 251, 250, 269, 226, 179, 185, 224, 206]","[1.1776, 1.2346, 1.1784, 1.1792, 1.1645, 1.2021, 1.2695, 1.2585, 1.2043, 1.2262]",219.2,1.1819199999999999,224.2,1.20949
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[176, 238, 251, 259, 241, 205, 233, 283, 266, 271]","[1.2308, 1.161, 1.1514, 1.146, 1.1587, 1.1919, 1.165, 1.132, 1.1416, 1.1387]","[146, 208, 221, 229, 211, 175, 203, 253, 236, 241]","[1.021, 1.0146, 1.0138, 1.0133, 1.0144, 1.0174, 1.015, 1.012, 1.0129, 1.0126]",242.3,1.16171,212.3,1.0147
"First by Feld: 1.0, 0.5, 200,First by Anonymous","[10, 0, 0]","[356, 494, 391, 401, 559, 584, 537, 349, 529, 420]","[2.3268, 2.3084, 2.3136, 2.3314, 2.3004, 2.3175, 2.3147, 2.3904, 2.31, 2.3464]","[286, 374, 306, 311, 419, 434, 407, 279, 399, 325]","[1.8693, 1.7477, 1.8107, 1.8081, 1.7243, 1.7222, 1.7543, 1.911, 1.7424, 1.8156]",462.0,2.32596,354.0,1.79056
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[312, 252, 312, 245, 227, 242, 218, 243, 210, 227]","[1.2188, 1.2857, 1.2188, 1.2963, 1.3275, 1.3011, 1.3457, 1.2995, 1.3636, 1.3275]","[312, 252, 312, 245, 227, 242, 218, 243, 210, 227]","[1.2188, 1.2857, 1.2188, 1.2963, 1.3275, 1.3011, 1.3457, 1.2995, 1.3636, 1.3275]",248.8,1.2984499999999999,248.8,1.2984499999999999
"First by Joss: 0.9,First by Joss: 0.9","[0, 0, 10]","[211, 189, 215, 266, 220, 215, 192, 267, 274, 259]","[1.1657, 1.1887, 1.1622, 1.1271, 1.1579, 1.1622, 1.1852, 1.1266, 1.123, 1.131]","[211, 189, 215, 266, 220, 215, 192, 267, 274, 259]","[1.1657, 1.1887, 1.1622, 1.1271, 1.1579, 1.1622, 1.1852, 1.1266, 1.123, 1.131]",230.8,1.15296,230.8,1.15296
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 0, 10]","[156, 232, 150, 171, 255, 216, 267, 253, 190, 256]","[1.0541, 1.0357, 1.0563, 1.0491, 1.0324, 1.0385, 1.0309, 1.0327, 1.044, 1.0323]","[156, 232, 150, 171, 255, 216, 267, 253, 190, 256]","[1.0541, 1.0357, 1.0563, 1.0491, 1.0324, 1.0385, 1.0309, 1.0327, 1.044, 1.0323]",214.6,1.0406,214.6,1.0406
"First by Joss: 0.9,First by Tullock","[10, 0, 0]","[304, 253, 268, 299, 198, 247, 223, 211, 240, 291]","[1.2063, 1.2587, 1.2407, 1.2105, 1.3562, 1.2667, 1.3041, 1.327, 1.2766, 1.2176]","[284, 233, 248, 279, 178, 227, 203, 191, 220, 271]","[1.127, 1.1592, 1.1481, 1.1296, 1.2192, 1.1641, 1.1871, 1.2013, 1.1702, 1.1339]",253.4,1.26644,233.4,1.16397
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[10, 0, 0]","[258, 235, 331, 272, 293, 339, 243, 262, 334, 320]","[1.4494, 1.5161, 1.3187, 1.4167, 1.3756, 1.3089, 1.4908, 1.4396, 1.315, 1.3333]","[238, 215, 311, 252, 273, 319, 223, 242, 314, 300]","[1.3371, 1.3871, 1.239, 1.3125, 1.2817, 1.2317, 1.3681, 1.3297, 1.2362, 1.25]",288.7,1.39641,268.7,1.29731
"First by Joss: 0.9,First by Anonymous","[10, 0, 0]","[477, 458, 453, 397, 517, 364, 586, 466, 378, 436]","[2.3382, 2.3367, 2.3231, 2.3353, 2.3394, 2.3185, 2.3162, 2.33, 2.3333, 2.3316]","[412, 393, 393, 337, 452, 304, 516, 406, 318, 371]","[2.0196, 2.0051, 2.0154, 1.9824, 2.0452, 1.9363, 2.0395, 2.03, 1.963, 1.984]",453.2,2.33023,390.2,2.00205
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[680, 567, 741, 596, 434, 675, 643, 465, 493, 654]","[2.9825, 2.9077, 2.964, 2.9216, 2.9726, 2.9736, 2.9361, 3.0392, 2.9345, 2.9459]","[175, 162, 196, 166, 124, 175, 173, 125, 143, 174]","[0.7675, 0.8308, 0.784, 0.8137, 0.8493, 0.7709, 0.79, 0.817, 0.8512, 0.7838]",594.8,2.95777,161.3,0.80582
"First by Tullock,First by Tullock","[0, 0, 10]","[256, 283, 276, 265, 310, 268, 314, 217, 270, 288]","[1.3763, 1.3286, 1.3398, 1.359, 1.2917, 1.3535, 1.2869, 1.4762, 1.35, 1.3211]","[256, 283, 276, 265, 310, 268, 314, 217, 270, 288]","[1.3763, 1.3286, 1.3398, 1.359, 1.2917, 1.3535, 1.2869, 1.4762, 1.35, 1.3211]",274.7,1.3483100000000001,274.7,1.3483100000000001
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[475, 565, 660, 619, 705, 580, 705, 705, 478, 445]","[2.7616, 2.7561, 2.7966, 2.8265, 2.8313, 2.7885, 2.8313, 2.8313, 2.7314, 2.764]","[150, 180, 195, 184, 200, 180, 200, 200, 153, 140]","[0.8721, 0.878, 0.8263, 0.8402, 0.8032, 0.8654, 0.8032, 0.8032, 0.8743, 0.8696]",593.7,2.79186,178.2,0.84355
"First by Tullock,Random: 0.5","[10, 0, 0]","[589, 567, 431, 391, 509, 451, 355, 425, 573, 451]","[2.356, 2.3527, 2.3552, 2.4136, 2.3897, 2.3862, 2.3826, 2.4011, 2.3484, 2.3862]","[514, 502, 386, 326, 444, 391, 295, 370, 508, 391]","[2.056, 2.083, 2.1093, 2.0123, 2.0845, 2.0688, 1.9799, 2.0904, 2.082, 2.0688]",474.2,2.37717,412.7,2.0635
"First by Nydegger,First by Nydegger","[0, 0, 10]","[618, 537, 423, 711, 675, 474, 438, 561, 498, 420]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[618, 537, 423, 711, 675, 474, 438, 561, 498, 420]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",535.5,3.0,535.5,3.0
"First by Anonymous,Random: 0.5","[10, 0, 0]","[608, 499, 334, 610, 510, 518, 561, 364, 449, 373]","[2.3843, 2.495, 2.3194, 2.3735, 2.5123, 2.4785, 2.4933, 2.3636, 2.427, 2.3608]","[518, 384, 279, 520, 390, 408, 436, 299, 359, 308]","[2.0314, 1.92, 1.9375, 2.0233, 1.9212, 1.9522, 1.9378, 1.9416, 1.9405, 1.9494]",482.6,2.42077,390.1,1.95549
