P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"Tit For Tat,Tit For Tat","[0, 0, 10]","[432, 525, 627, 429, 489, 732, 420, 504, 579, 558]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[432, 525, 627, 429, 489, 732, 420, 504, 579, 558]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",529.5,3.0,529.5,3.0
"First by Grofman,First by Anonymous","[0, 10, 0]","[486, 418, 403, 518, 295, 276, 388, 308, 481, 300]","[1.9918, 1.9905, 1.9659, 2.0394, 1.9281, 1.9301, 1.9695, 1.913, 1.9794, 1.9481]","[696, 603, 593, 708, 450, 421, 573, 473, 696, 450]","[2.8525, 2.8714, 2.8927, 2.7874, 2.9412, 2.9441, 2.9086, 2.9379, 2.8642, 2.9221]",387.3,1.96558,566.3,2.89221
"Tit For Tat,First by Tideman and Chieruzzi: (D, D)","[0, 10, 0]","[775, 415, 547, 481, 751, 541, 595, 700, 478, 700]","[2.9808, 2.9643, 2.9728, 2.9691, 2.9802, 2.9725, 2.975, 2.9787, 2.9689, 2.9787]","[780, 420, 552, 486, 756, 546, 600, 705, 483, 705]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",598.3,2.9741,603.3,3.0
"First by Shubik,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[601, 709, 712, 514, 751, 517, 727, 601, 430, 436]","[2.9752, 2.979, 2.9791, 2.9711, 2.9802, 2.9713, 2.9795, 2.9752, 2.9655, 2.966]","[606, 714, 717, 519, 756, 522, 732, 606, 435, 441]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",599.8,2.97421,604.8,3.0
"Tit For Tat,First by Nydegger","[0, 0, 10]","[573, 543, 432, 690, 780, 549, 426, 630, 729, 573]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[573, 543, 432, 690, 780, 549, 426, 630, 729, 573]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",592.5,3.0,592.5,3.0
"First by Shubik,First by Graaskamp: 0.05","[10, 0, 0]","[473, 565, 621, 618, 478, 473, 554, 609, 672, 639]","[3.3546, 3.4877, 3.2513, 3.3048, 3.3662, 3.3546, 3.4843, 3.4213, 2.7429, 3.0429]","[303, 315, 351, 343, 303, 303, 309, 334, 417, 374]","[2.1489, 1.9444, 1.8377, 1.8342, 2.1338, 2.1489, 1.9434, 1.8764, 1.702, 1.781]",570.2,3.28106,335.2,1.9350699999999998
"Tit For Tat,First by Grofman","[0, 0, 10]","[699, 735, 498, 654, 567, 630, 666, 738, 600, 516]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[699, 735, 498, 654, 567, 630, 666, 738, 600, 516]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",630.3,3.0,630.3,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[659, 419, 770, 638, 536, 443, 752, 536, 677, 581]","[2.9819, 2.9716, 2.9845, 2.9813, 2.9778, 2.9732, 2.9841, 2.9778, 2.9824, 2.9795]","[659, 419, 770, 638, 536, 443, 752, 536, 677, 581]","[2.9819, 2.9716, 2.9845, 2.9813, 2.9778, 2.9732, 2.9841, 2.9778, 2.9824, 2.9795]",601.1,2.97941,601.1,2.97941
"Tit For Tat,First by Shubik","[0, 0, 10]","[540, 675, 573, 600, 648, 573, 768, 759, 564, 423]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[540, 675, 573, 600, 648, 573, 768, 759, 564, 423]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",612.3,3.0,612.3,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Downing","[10, 0, 0]","[441, 568, 540, 373, 543, 336, 603, 329, 537, 536]","[2.5057, 2.2903, 2.3377, 2.3312, 2.3205, 2.2703, 2.3282, 2.3333, 2.3553, 2.3612]","[206, 268, 250, 188, 253, 166, 298, 159, 247, 246]","[1.1705, 1.0806, 1.0823, 1.175, 1.0812, 1.1216, 1.1506, 1.1277, 1.0833, 1.0837]",480.6,2.34337,228.1,1.11565
"Tit For Tat,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[706, 544, 562, 547, 763, 616, 754, 568, 637, 769]","[2.9789, 2.9727, 2.9735, 2.9728, 2.9805, 2.9758, 2.9802, 2.9738, 2.9766, 2.9806]","[711, 549, 567, 552, 768, 621, 759, 573, 642, 774]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",646.6,2.97654,651.6,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[280, 343, 291, 334, 281, 264, 348, 261, 251, 262]","[1.466, 1.3504, 1.4406, 1.3633, 1.4635, 1.5086, 1.3436, 1.5174, 1.5494, 1.5145]","[285, 348, 296, 339, 286, 269, 353, 266, 256, 267]","[1.4921, 1.3701, 1.4653, 1.3837, 1.4896, 1.5371, 1.3629, 1.5465, 1.5802, 1.5434]",291.5,1.45173,296.5,1.47709
"Tit For Tat,Grudger","[0, 0, 10]","[522, 633, 468, 585, 738, 462, 516, 744, 453, 669]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[522, 633, 468, 585, 738, 462, 516, 744, 453, 669]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",579.0,3.0,579.0,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Joss: 0.9","[0, 0, 10]","[247, 243, 272, 336, 349, 313, 327, 305, 263, 275]","[1.6577, 1.6759, 1.5632, 1.4118, 1.3904, 1.4558, 1.4279, 1.4734, 1.5939, 1.5537]","[247, 243, 272, 336, 349, 313, 327, 305, 263, 275]","[1.6577, 1.6759, 1.5632, 1.4118, 1.3904, 1.4558, 1.4279, 1.4734, 1.5939, 1.5537]",293.0,1.52037,293.0,1.52037
"Tit For Tat,First by Davis: 10","[0, 0, 10]","[681, 468, 423, 549, 537, 711, 525, 606, 624, 627]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[681, 468, 423, 549, 537, 711, 525, 606, 624, 627]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",575.1,3.0,575.1,3.0
"First by Stein and Rapoport: 0.05: (D, D),First by Tullock","[0, 10, 0]","[397, 289, 278, 348, 308, 336, 334, 371, 284, 341]","[1.5328, 1.9139, 1.9857, 1.6571, 1.8118, 1.697, 1.7041, 1.5923, 1.9452, 1.6798]","[402, 294, 283, 353, 313, 341, 339, 376, 289, 346]","[1.5521, 1.947, 2.0214, 1.681, 1.8412, 1.7222, 1.7296, 1.6137, 1.9795, 1.7044]",328.6,1.75197,333.6,1.77921
"Tit For Tat,First by Graaskamp: 0.05","[0, 1, 9]","[515, 600, 665, 545, 475, 605, 500, 560, 480, 395]","[2.6276, 2.6087, 2.5977, 2.6202, 2.6389, 2.6078, 2.6178, 2.6168, 2.6374, 2.6689]","[515, 600, 665, 545, 475, 605, 505, 560, 480, 395]","[2.6276, 2.6087, 2.5977, 2.6202, 2.6389, 2.6078, 2.644, 2.6168, 2.6374, 2.6689]",534.0,2.62418,534.5,2.6268000000000002
