P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Stein and Rapoport: 0.05: (D, D),First by Anonymous","[10, 0, 0]","[460, 472, 545, 642, 479, 416, 583, 717, 661, 582]","[2.8049, 2.8095, 2.7665, 2.7913, 2.8012, 2.7368, 2.8164, 2.7899, 2.789, 2.8252]","[115, 117, 135, 152, 119, 111, 138, 167, 156, 137]","[0.7012, 0.6964, 0.6853, 0.6609, 0.6959, 0.7303, 0.6667, 0.6498, 0.6582, 0.665]",555.7,2.79307,134.7,0.68097
"Tit For Tat,First by Downing","[0, 0, 10]","[564, 678, 606, 678, 540, 477, 594, 744, 705, 516]","[2.9841, 2.9868, 2.9852, 2.9868, 2.9834, 2.9813, 2.9849, 2.988, 2.9873, 2.9827]","[564, 678, 606, 678, 540, 477, 594, 744, 705, 516]","[2.9841, 2.9868, 2.9852, 2.9868, 2.9834, 2.9813, 2.9849, 2.988, 2.9873, 2.9827]",610.2,2.98505,610.2,2.98505
"First by Stein and Rapoport: 0.05: (D, D),Random: 0.5","[10, 0, 0]","[580, 759, 685, 602, 725, 725, 603, 636, 775, 753]","[3.0208, 3.0729, 3.0444, 2.9802, 3.0591, 3.0591, 2.9704, 3.0, 3.0876, 3.0735]","[140, 164, 155, 147, 160, 160, 148, 151, 165, 163]","[0.7292, 0.664, 0.6889, 0.7277, 0.6751, 0.6751, 0.7291, 0.7123, 0.6574, 0.6653]",684.3,3.0368,155.3,0.69241
"Tit For Tat,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[268, 287, 296, 313, 308, 256, 250, 280, 281, 228]","[1.2642, 1.2424, 1.2333, 1.2179, 1.2222, 1.28, 1.2887, 1.25, 1.2489, 1.3256]","[273, 292, 301, 318, 313, 261, 255, 285, 286, 233]","[1.2877, 1.2641, 1.2542, 1.2374, 1.2421, 1.305, 1.3144, 1.2723, 1.2711, 1.3547]",276.7,1.25732,281.7,1.2803
"Grudger,Grudger","[0, 0, 10]","[756, 705, 741, 567, 660, 678, 426, 639, 672, 627]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[756, 705, 741, 567, 660, 678, 426, 639, 672, 627]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",647.1,3.0,647.1,3.0
"Tit For Tat,First by Joss: 0.9","[0, 10, 0]","[279, 210, 233, 224, 210, 216, 212, 315, 299, 266]","[1.2682, 1.3907, 1.3391, 1.3576, 1.3907, 1.3758, 1.3856, 1.2305, 1.2458, 1.285]","[284, 215, 238, 229, 215, 221, 217, 320, 304, 271]","[1.2909, 1.4238, 1.3678, 1.3879, 1.4238, 1.4076, 1.4183, 1.25, 1.2667, 1.3092]",246.4,1.3269,251.4,1.3546
"Grudger,First by Davis: 10","[0, 0, 10]","[507, 702, 672, 609, 525, 618, 420, 759, 648, 453]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[507, 702, 672, 609, 525, 618, 420, 759, 648, 453]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",591.3,3.0,591.3,3.0
"Tit For Tat,First by Tullock","[0, 10, 0]","[294, 267, 285, 270, 177, 183, 182, 247, 228, 275]","[1.1351, 1.1509, 1.14, 1.1489, 1.2465, 1.2365, 1.2381, 1.1651, 1.1813, 1.1458]","[299, 272, 290, 275, 182, 188, 187, 252, 233, 280]","[1.1544, 1.1724, 1.16, 1.1702, 1.2817, 1.2703, 1.2721, 1.1887, 1.2073, 1.1667]",240.8,1.17882,245.8,1.20438
"Grudger,First by Downing","[10, 0, 0]","[201, 270, 244, 229, 238, 156, 270, 245, 201, 207]","[1.0579, 1.0425, 1.0472, 1.0505, 1.0485, 1.0759, 1.0425, 1.047, 1.0579, 1.0561]","[191, 260, 234, 219, 228, 146, 260, 235, 191, 197]","[1.0053, 1.0039, 1.0043, 1.0046, 1.0044, 1.0069, 1.0039, 1.0043, 1.0053, 1.0051]",226.1,1.0526,216.1,1.0048
"Tit For Tat,First by Anonymous","[0, 4, 6]","[562, 331, 439, 533, 458, 515, 375, 509, 321, 418]","[2.257, 2.2215, 2.2284, 2.2681, 2.2451, 2.2687, 2.2455, 2.2622, 2.2292, 2.2116]","[567, 331, 444, 538, 458, 515, 375, 509, 321, 423]","[2.2771, 2.2215, 2.2538, 2.2894, 2.2451, 2.2687, 2.2455, 2.2622, 2.2292, 2.2381]",446.1,2.24373,448.1,2.25306
"Grudger,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[279, 278, 276, 209, 220, 290, 265, 315, 215, 299]","[1.2455, 1.2466, 1.2489, 1.3571, 1.3333, 1.234, 1.2619, 1.2115, 1.3438, 1.2254]","[279, 278, 276, 209, 220, 290, 265, 315, 215, 299]","[1.2455, 1.2466, 1.2489, 1.3571, 1.3333, 1.234, 1.2619, 1.2115, 1.3438, 1.2254]",264.6,1.2708,264.6,1.2708
"Tit For Tat,Random: 0.5","[0, 6, 4]","[318, 319, 337, 423, 346, 384, 381, 364, 510, 571]","[2.1781, 2.1701, 2.1883, 2.1917, 2.1625, 2.1818, 2.1897, 2.1796, 2.1983, 2.2218]","[323, 324, 342, 428, 351, 389, 381, 364, 510, 571]","[2.2123, 2.2041, 2.2208, 2.2176, 2.1938, 2.2102, 2.1897, 2.1796, 2.1983, 2.2218]",395.3,2.18619,398.3,2.2048200000000002
"Grudger,First by Joss: 0.9","[0, 0, 10]","[272, 212, 234, 204, 278, 250, 236, 253, 207, 165]","[1.0751, 1.0984, 1.0884, 1.1027, 1.0734, 1.0823, 1.0876, 1.0812, 1.1011, 1.1301]","[272, 212, 234, 204, 278, 250, 236, 253, 207, 165]","[1.0751, 1.0984, 1.0884, 1.1027, 1.0734, 1.0823, 1.0876, 1.0812, 1.1011, 1.1301]",231.1,1.09203,231.1,1.09203
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[638, 572, 494, 626, 440, 536, 473, 752, 587, 419]","[2.9813, 2.9792, 2.9759, 2.981, 2.973, 2.9778, 2.9748, 2.9841, 2.9797, 2.9716]","[638, 572, 494, 626, 440, 536, 473, 752, 587, 419]","[2.9813, 2.9792, 2.9759, 2.981, 2.973, 2.9778, 2.9748, 2.9841, 2.9797, 2.9716]",553.7,2.97784,553.7,2.97784
"Grudger,First by Tullock","[10, 0, 0]","[261, 282, 307, 311, 247, 240, 250, 308, 327, 234]","[1.3737, 1.3365, 1.3008, 1.2958, 1.4034, 1.4201, 1.3966, 1.2996, 1.2773, 1.4356]","[236, 257, 282, 286, 222, 215, 225, 283, 302, 209]","[1.2421, 1.218, 1.1949, 1.1917, 1.2614, 1.2722, 1.257, 1.1941, 1.1797, 1.2822]",276.7,1.35394,251.7,1.22933
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[571, 571, 586, 646, 550, 547, 430, 502, 442, 754]","[3.0212, 3.0212, 3.0206, 3.0187, 3.022, 3.0221, 3.0282, 3.0241, 3.0274, 3.016]","[561, 561, 576, 636, 540, 537, 420, 492, 432, 744]","[2.9683, 2.9683, 2.9691, 2.972, 2.967, 2.9669, 2.9577, 2.9639, 2.9589, 2.976]",559.9,3.02215,549.9,2.96681
"Grudger,First by Anonymous","[10, 0, 0]","[519, 519, 549, 687, 583, 577, 754, 407, 772, 704]","[3.0174, 3.0174, 3.0843, 3.1227, 3.0365, 3.0368, 3.1548, 2.9071, 3.151, 3.1289]","[89, 89, 89, 107, 98, 97, 114, 77, 117, 109]","[0.5174, 0.5174, 0.5, 0.4864, 0.5104, 0.5105, 0.477, 0.55, 0.4776, 0.4844]",607.1,3.06569,98.6,0.50311
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[690, 483, 696, 777, 777, 690, 684, 450, 543, 711]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[685, 478, 691, 772, 772, 685, 679, 445, 538, 706]","[2.9783, 2.9689, 2.9784, 2.9807, 2.9807, 2.9783, 2.9781, 2.9667, 2.9724, 2.9789]",650.1,3.0,645.1,2.97614
"Grudger,Random: 0.5","[10, 0, 0]","[679, 663, 556, 437, 687, 555, 521, 747, 759, 705]","[3.1147, 3.1571, 3.1771, 3.1214, 3.0946, 3.1897, 3.1768, 3.0868, 3.0854, 3.0921]","[109, 103, 86, 72, 112, 85, 81, 122, 124, 115]","[0.5, 0.4905, 0.4914, 0.5143, 0.5045, 0.4885, 0.4939, 0.5041, 0.5041, 0.5044]",630.9,3.12957,100.9,0.49956999999999996
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[603, 636, 702, 744, 747, 534, 492, 684, 423, 681]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[598, 631, 697, 739, 742, 529, 487, 679, 418, 676]","[2.9751, 2.9764, 2.9786, 2.9798, 2.9799, 2.9719, 2.9695, 2.9781, 2.9645, 2.978]",624.6,3.0,619.6,2.97518
"First by Davis: 10,First by Davis: 10","[0, 0, 10]","[672, 708, 504, 774, 660, 561, 570, 609, 537, 597]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[672, 708, 504, 774, 660, 561, 570, 609, 537, 597]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",619.2,3.0,619.2,3.0
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[683, 524, 605, 773, 617, 545, 521, 623, 773, 737]","[2.9825, 2.9773, 2.9803, 2.9846, 2.9807, 2.9781, 2.9771, 2.9809, 2.9846, 2.9838]","[683, 524, 605, 773, 617, 545, 521, 623, 773, 737]","[2.9825, 2.9773, 2.9803, 2.9846, 2.9807, 2.9781, 2.9771, 2.9809, 2.9846, 2.9838]",640.1,2.9809900000000003,640.1,2.9809900000000003
"First by Davis: 10,First by Graaskamp: 0.05","[10, 0, 0]","[403, 450, 361, 401, 447, 368, 404, 396, 402, 385]","[2.099, 1.8828, 2.4067, 2.1105, 1.8941, 2.3439, 2.0933, 2.1405, 2.1047, 2.2126]","[268, 315, 226, 266, 312, 233, 269, 261, 267, 250]","[1.3958, 1.318, 1.5067, 1.4, 1.322, 1.4841, 1.3938, 1.4108, 1.3979, 1.4368]",401.7,2.12881,266.7,1.40659
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[765, 507, 717, 687, 765, 480, 468, 768, 561, 480]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[760, 502, 712, 682, 760, 475, 463, 763, 556, 475]","[2.9804, 2.9704, 2.9791, 2.9782, 2.9804, 2.9688, 2.9679, 2.9805, 2.9733, 2.9688]",619.8,3.0,614.8,2.97478
"First by Graaskamp: 0.05,First by Downing","[10, 0, 0]","[814, 802, 677, 694, 476, 683, 665, 537, 514, 703]","[3.1429, 3.1451, 3.1343, 3.1403, 3.1111, 3.133, 3.1368, 3.1221, 3.1152, 3.1384]","[714, 702, 597, 609, 426, 603, 585, 477, 459, 618]","[2.7568, 2.7529, 2.7639, 2.7557, 2.7843, 2.7661, 2.7594, 2.7733, 2.7818, 2.7589]",656.5,3.13192,579.0,2.76531
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[777, 717, 540, 684, 456, 561, 687, 603, 654, 645]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[772, 712, 535, 679, 451, 556, 682, 598, 649, 640]","[2.9807, 2.9791, 2.9722, 2.9781, 2.9671, 2.9733, 2.9782, 2.9751, 2.9771, 2.9767]",632.4,3.0,627.4,2.97576
"First by Graaskamp: 0.05,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[473, 350, 395, 505, 456, 378, 390, 361, 465, 483]","[2.0929, 2.2876, 2.2067, 1.9882, 2.0727, 2.2235, 2.191, 2.2848, 2.0852, 2.0125]","[743, 475, 570, 850, 726, 538, 570, 491, 735, 803]","[3.2876, 3.1046, 3.1844, 3.3465, 3.3, 3.1647, 3.2022, 3.1076, 3.296, 3.3458]",425.6,2.14451,650.1,3.23394
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[450, 606, 696, 772, 750, 606, 635, 445, 511, 729]","[3.0, 3.0, 3.0, 3.0156, 3.0, 3.0, 2.9953, 2.9866, 3.0237, 3.0]","[410, 551, 636, 697, 685, 551, 580, 410, 456, 664]","[2.7333, 2.7277, 2.7414, 2.7227, 2.74, 2.7277, 2.7358, 2.7517, 2.6982, 2.7325]",620.0,3.00212,564.0,2.7311
"First by Graaskamp: 0.05,First by Tullock","[0, 10, 0]","[321, 285, 321, 259, 212, 271, 286, 284, 294, 259]","[1.2539, 1.2955, 1.2539, 1.3351, 1.4422, 1.3155, 1.2941, 1.2968, 1.2838, 1.3351]","[326, 290, 326, 264, 217, 276, 291, 289, 299, 264]","[1.2734, 1.3182, 1.2734, 1.3608, 1.4762, 1.3398, 1.3167, 1.3196, 1.3057, 1.3608]",279.2,1.31059,284.2,1.33446
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[267, 259, 205, 196, 215, 244, 217, 196, 252, 173]","[1.141, 1.146, 1.1919, 1.2025, 1.1813, 1.1564, 1.1793, 1.2025, 1.1507, 1.2357]","[237, 229, 175, 166, 185, 214, 187, 166, 222, 143]","[1.0128, 1.0133, 1.0174, 1.0184, 1.0165, 1.0142, 1.0163, 1.0184, 1.0137, 1.0214]",222.4,1.17873,192.4,1.01624
"First by Graaskamp: 0.05,Random: 0.5","[10, 0, 0]","[433, 456, 724, 655, 475, 674, 433, 675, 509, 722]","[2.906, 2.9231, 2.873, 2.9372, 2.9141, 2.9304, 2.906, 2.9221, 2.8757, 2.888]","[173, 176, 229, 210, 180, 214, 173, 215, 189, 227]","[1.1611, 1.1282, 0.9087, 0.9417, 1.1043, 0.9304, 1.1611, 0.9307, 1.0678, 0.908]",575.6,2.90756,198.6,1.0242
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[290, 227, 268, 188, 219, 263, 238, 278, 288, 277]","[1.1328, 1.1762, 1.1453, 1.2208, 1.1838, 1.1485, 1.1667, 1.1393, 1.1339, 1.1399]","[290, 227, 268, 188, 219, 263, 238, 278, 288, 277]","[1.1328, 1.1762, 1.1453, 1.2208, 1.1838, 1.1485, 1.1667, 1.1393, 1.1339, 1.1399]",253.6,1.15872,253.6,1.15872
"First by Downing,First by Tullock","[10, 0, 0]","[211, 218, 233, 231, 292, 249, 290, 253, 199, 287]","[1.2267, 1.2179, 1.1949, 1.1969, 1.1496, 1.1801, 1.1508, 1.1767, 1.2437, 1.1526]","[176, 183, 203, 201, 262, 219, 260, 223, 164, 257]","[1.0233, 1.0223, 1.041, 1.0415, 1.0315, 1.0379, 1.0317, 1.0372, 1.025, 1.0321]",246.3,1.18899,214.8,1.03235
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 0, 10]","[216, 163, 165, 238, 227, 181, 194, 247, 165, 272]","[1.08, 1.1088, 1.1074, 1.0721, 1.0758, 1.097, 1.0899, 1.0693, 1.1074, 1.0625]","[216, 163, 165, 238, 227, 181, 194, 247, 165, 272]","[1.08, 1.1088, 1.1074, 1.0721, 1.0758, 1.097, 1.0899, 1.0693, 1.1074, 1.0625]",206.8,1.08702,206.8,1.08702
"First by Downing,Random: 0.5","[10, 0, 0]","[765, 765, 542, 576, 621, 514, 442, 652, 524, 541]","[3.0972, 3.0972, 3.0795, 3.0968, 3.0591, 3.1341, 3.1571, 3.0467, 3.0824, 3.0914]","[120, 120, 87, 91, 101, 79, 67, 107, 84, 86]","[0.4858, 0.4858, 0.4943, 0.4892, 0.4975, 0.4817, 0.4786, 0.5, 0.4941, 0.4914]",594.2,3.09415,94.2,0.48984
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[0, 0, 10]","[261, 299, 253, 325, 291, 263, 307, 258, 275, 265]","[1.5444, 1.4444, 1.5714, 1.3948, 1.4623, 1.538, 1.4279, 1.5542, 1.5027, 1.5318]","[261, 299, 253, 325, 291, 263, 307, 258, 275, 265]","[1.5444, 1.4444, 1.5714, 1.3948, 1.4623, 1.538, 1.4279, 1.5542, 1.5027, 1.5318]",279.7,1.49719,279.7,1.49719
"First by Feld: 1.0, 0.5, 200,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[261, 217, 289, 310, 254, 241, 257, 229, 294, 300]","[1.3737, 1.4863, 1.3257, 1.2971, 1.388, 1.4176, 1.3817, 1.4494, 1.3184, 1.31]","[261, 217, 289, 310, 254, 241, 257, 229, 294, 300]","[1.3737, 1.4863, 1.3257, 1.2971, 1.388, 1.4176, 1.3817, 1.4494, 1.3184, 1.31]",265.2,1.37479,265.2,1.37479
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[534, 589, 370, 378, 534, 496, 491, 422, 536, 449]","[2.7245, 2.7269, 2.6429, 2.625, 2.7245, 2.7253, 2.7127, 2.6375, 2.7071, 2.6886]","[164, 179, 135, 138, 164, 156, 156, 147, 166, 149]","[0.8367, 0.8287, 0.9643, 0.9583, 0.8367, 0.8571, 0.8619, 0.9187, 0.8384, 0.8922]",479.9,2.6915,155.4,0.8793
"First by Feld: 1.0, 0.5, 200,First by Tullock","[0, 10, 0]","[232, 216, 223, 311, 297, 311, 332, 283, 217, 288]","[1.45, 1.5, 1.4768, 1.3013, 1.32, 1.3013, 1.2769, 1.3412, 1.4966, 1.3333]","[237, 221, 228, 316, 302, 316, 337, 288, 222, 293]","[1.4812, 1.5347, 1.5099, 1.3222, 1.3422, 1.3222, 1.2962, 1.3649, 1.531, 1.3565]",271.0,1.37974,276.0,1.4061
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[545, 591, 388, 635, 610, 598, 389, 439, 518, 599]","[2.7387, 2.7235, 2.6759, 2.6907, 2.7232, 2.7182, 2.6644, 2.7437, 2.7701, 2.7104]","[170, 181, 138, 200, 185, 183, 139, 144, 158, 184]","[0.8543, 0.8341, 0.9517, 0.8475, 0.8259, 0.8318, 0.9521, 0.9, 0.8449, 0.8326]",531.2,2.71588,168.2,0.86749
"First by Feld: 1.0, 0.5, 200,Random: 0.5","[10, 0, 0]","[356, 484, 604, 670, 463, 653, 409, 481, 653, 554]","[2.4552, 2.4569, 2.5702, 2.5869, 2.4628, 2.5709, 2.4939, 2.4541, 2.5709, 2.5297]","[286, 359, 404, 435, 343, 433, 314, 356, 433, 389]","[1.9724, 1.8223, 1.7191, 1.6795, 1.8245, 1.7047, 1.9146, 1.8163, 1.7047, 1.7763]",532.7,2.51515,375.2,1.79344
"First by Nydegger,First by Nydegger","[0, 0, 10]","[462, 495, 645, 651, 489, 627, 633, 597, 633, 702]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[462, 495, 645, 651, 489, 627, 633, 597, 633, 702]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",593.4,3.0,593.4,3.0
