,Cooperator,Defector,Tit For Tat
Cooperator,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]"
Defector,"[100, 0, 0]","[0, 0, 100]","[100, 0, 0]"
Tit For Tat,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]"
