,utility_vectors inverse main diagonal
Cooperator,"[387, 747, 369, 426, 657, 462, 519, 477, 579, 759, 663, 834, 549, 621, 402, 705, 630, 525, 480, 396, 837, 768, 594, 705, 795, 483, 492, 471, 669, 459, 669, 435, 546, 726, 693, 726, 375, 441, 522, 498, 378, 567, 840, 816, 492, 459, 819, 459, 756, 405, 576, 429, 531, 429, 432, 447, 741, 795, 669, 759, 570, 537, 402, 813, 570, 450, 813, 699, 411, 393, 798, 435, 735, 693, 714, 642, 672, 561, 759, 618, 810, 480, 798, 525, 630, 483, 711, 459, 705, 468, 651, 591, 699, 702, 429, 777, 513, 762, 750, 702]"
Defector,"[161, 229, 251, 221, 267, 268, 126, 164, 206, 185, 159, 217, 191, 230, 223, 217, 232, 175, 187, 273, 214, 191, 180, 168, 210, 245, 200, 218, 130, 267, 122, 149, 180, 276, 149, 257, 190, 217, 135, 170, 172, 190, 215, 219, 277, 255, 268, 174, 264, 140, 182, 145, 253, 268, 160, 245, 132, 241, 267, 238, 197, 237, 187, 140, 135, 160, 207, 218, 227, 217, 177, 278, 180, 122, 215, 145, 267, 265, 258, 207, 201, 254, 140, 161, 264, 163, 134, 125, 131, 204, 258, 203, 188, 238, 262, 146, 242, 126, 138, 127]"
Tit For Tat,"[615, 840, 636, 546, 393, 588, 531, 510, 663, 372, 543, 372, 510, 798, 564, 378, 384, 753, 552, 603, 627, 429, 705, 420, 552, 834, 816, 615, 471, 801, 681, 558, 408, 609, 606, 720, 729, 399, 396, 693, 630, 747, 615, 366, 459, 816, 714, 399, 654, 390, 768, 810, 639, 462, 714, 648, 504, 390, 441, 687, 696, 783, 744, 693, 675, 444, 381, 396, 423, 693, 729, 744, 741, 831, 672, 684, 558, 495, 678, 813, 834, 534, 381, 786, 630, 372, 699, 483, 576, 768, 486, 651, 609, 573, 363, 528, 834, 561, 774, 654]"
